port	company	operator_or_owner	month	year	imputed_2022	flows_imputed_annual	gap_years_from_prev_annual	K_PathB_central	K_big_central	K_bg_central	K_PIM_real_central	gap_PathB_minus_PIM_central	lumpy_event_month	num_projects_commissioned	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	K_PIM_real_low	K_PIM_real_high	flows_imputed_flag	gap_years_from_prev
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2018-12-01	2018	0	False	0	1171216.3579983243	319142.55250257393	852073.8054957504	1171216.3579983236	6.984919309616089e-10	0	0	1171216.3579983236	1171216.3579983236	1171216.3579983236	1171216.3579983236	1171216.3579983236	False	0.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-01-01	2019	0	False	1	1167173.1392412498	318176.8114146593	848996.3278265904			0	0	1169219.4777684116	1167230.014365784	1165240.5509631569				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-02-01	2019	0	False	1	1163143.9579446279	317213.99270685844	845929.9652377695			0	0	1167222.5975384994	1163243.6707332449	1159264.7439279903				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-03-01	2019	0	False	1	1159423.9552049395	316254.087535905	843169.8676690344			0	0	1165418.9637824495	1159643.1022909512	1153867.2407994526				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-04-01	2019	0	False	1	1155421.6358836805	315297.08708529314	840124.5487983875			0	0	1163422.0835525375	1155656.7586584117	1147891.433764286				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-05-01	2019	0	False	1	1151530.9214397422	314342.98256519594	837187.9388745462			0	0	1161489.618813913	1151799.006755954	1142108.3946979956				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-06-01	2019	0	False	1	1147555.990448325	313391.7652123849	834164.2252359401			0	0	1159492.7385840009	1147812.6631234146	1136132.5876628289				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-07-01	2019	0	False	1	1143691.875590907	312443.4262901497	831248.4493007574			0	0	1157560.2738453762	1143954.9112209573	1130349.5485965386				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-08-01	2019	0	False	1	1139744.1447025489	311497.95708821743	828246.1876143315			0	0	1155563.3936154642	1139968.5675884178	1124373.7415613718				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-09-01	2019	0	False	1	1135810.1182695846	310555.34892267315	825254.7693469116			0	0	1153566.513385552	1135982.2239558783	1118397.934526205				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-10-01	2019	0	False	1	1131985.72906882	309615.5931358798	822370.1359329401			0	0	1151634.048646927	1132124.4720534207	1112614.8954599148				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-11-01	2019	0	False	1	1128078.6215922823	308678.68109639874	819399.9404958835			0	0	1149637.168417015	1128138.1284208817	1106639.088424748				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-12-01	2019	0	False	1	1124280.3765184244	307744.60419891047	816535.7723195138	1124280.376518424	4.656612873077393e-10	0	0	1147704.7036783907	1124280.376518424	1100856.0493584578	1147704.7036783907	1100856.0493584578	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-01-01	2020	0	False	1	1105720.962566052	306813.3538641356	798907.6087019165			0	0	1147896.4235005567	1122646.9387783958	1097476.8151646464				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-02-01	2020	0	False	1	1087544.9404608204	305884.92153875617	781660.0189220642			0	0	1148088.1433227228	1121013.5010383676	1094097.5809708347				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-03-01	2020	0	False	1	1070821.73094924	304959.29869533685	765862.4322539032			0	0	1148267.4941241038	1119485.4463783414	1090936.3618863015				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-04-01	2020	0	False	1	1053364.7305210256	304036.4768322469	749328.2536887786			0	0	1148459.2139462698	1117852.0086383133	1087557.12769249				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-05-01	2020	0	False	1	1036783.8320322388	303116.4474735817	733667.3845586572			0	0	1148644.7492580437	1116271.262438286	1084286.9010533176				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-06-01	2020	0	False	1	1020027.4659759896	302199.2021690854	717828.2638069042			0	0	1148836.4690802095	1114637.824698258	1080907.666859506				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-07-01	2020	0	False	1	1004110.4731183248	301284.73249407276	702825.740624252			0	0	1149022.0043919832	1113057.0784982308	1077637.4402203336				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-08-01	2020	0	False	1	988025.4891464661	300373.03004935244	687652.4590971137			0	0	1149213.7242141492	1111423.6407582026	1074258.2060265222				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-09-01	2020	0	False	1	972270.8395011083	299464.08646114904	672806.7530399592			0	0	1149405.4440363152	1109790.2030181745	1070878.9718327106				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-10-01	2020	0	False	1	957303.0673235068	298557.89338102686	658745.17394248			0	0	1149590.9793480886	1108209.456818147	1067608.7451935385				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-11-01	2020	0	False	1	1119904.2618707232	475380.71556811174	644523.5463026115			1	1	1149782.6991702546	1106576.0190781192	1064229.5109997268				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-12-01	2020	0	False	1	1104995.2728780918	473942.19010096113	631053.0827771307	1104995.272878092	-2.3283064365386963e-10	0	0	1149968.2344820283	1104995.272878092	1060959.2843605543	1149968.2344820283	1060959.2843605543	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-01-01	2021	0	False	1	1105434.9378272223	472508.0176827498	632926.9201444725			0	0	1152158.93797262	1105461.7829528055	1059848.019592361				
