port,company,operator_or_owner,month,year,imputed_2022,flows_imputed_annual,gap_years_from_prev_annual,K_big_central,K_PIM_real_central,gap_PathB_minus_PIM_central,K_bg_low,K_bg_central,K_bg_high,K_PathB_low,K_PathB_central,K_PathB_high,lumpy_event_month,num_projects_commissioned,K_PIM_lin_low,K_PIM_lin_central,K_PIM_lin_high,K_PIM_real_low,K_PIM_real_high,flows_imputed_flag,gap_years_from_prev
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2018-12-01,2018,0,False,0,310032.2707390846,1171216.3579983236,2.3283064365386963e-10,861184.0872592393,861184.0872592393,861184.0872592393,1171216.3579983239,1171216.3579983239,1171216.3579983239,0,0,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,False,0.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-01-01,2019,0,False,1,309094.0978126466,,,860120.5710829977,858078.527137065,855982.7427707664,1169214.6688956444,1167172.6249497116,1165076.840583413,0,0,1169219.4777684116,1167230.014365784,1165240.5509631569,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-02-01,2019,0,False,1,308158.7638437075,,,859058.3682922146,854984.166134587,850812.8131503649,1167217.132135922,1163142.9299782945,1158971.5769940724,0,0,1167222.5975384994,1163243.6707332449,1159264.7439279903,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-03-01,2019,0,False,1,307226.26024144207,,,858100.0868535348,852198.8517093806,846170.0432025505,1165326.3470949768,1159425.1119508226,1153396.3034439925,0,0,1165418.9637824495,1159643.1022909512,1153867.2407994526,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-04-01,2019,0,False,1,306296.57844102115,,,857040.3792524487,849125.6937061317,841059.3799243546,1163336.9576934697,1155422.2721471528,1147355.9583653756,0,0,1163422.0835525375,1155656.7586584117,1147891.433764286,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-05-01,2019,0,False,1,305369.70990353334,,,856016.10182372,846162.2220413139,836142.9683258838,1161385.8117272533,1151531.931944847,1141512.6782294172,0,0,1161489.618813913,1151799.006755954,1142108.3946979956,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-06-01,2019,0,False,1,304445.64611590654,,,854958.9678324165,843110.8330380346,831092.866165127,1159404.613948323,1147556.4791539412,1135538.5122810337,0,0,1159492.7385840009,1147812.6631234146,1136132.5876628289,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-07-01,2019,0,False,1,303524.3785908294,,,853937.1779676218,840168.3533998287,826234.7138109029,1157461.5565584511,1143692.731990658,1129759.0924017322,0,0,1157560.2738453762,1143954.9112209573,1130349.5485965386,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-08-01,2019,0,False,1,302605.89886667364,,,852882.6113358196,837138.5791937872,821244.4551212161,1155488.5102024933,1139744.4780604609,1123850.3539878898,0,0,1155563.3936154642,1139968.5675884178,1124373.7415613718,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-09-01,2019,0,False,1,301690.19850741635,,,851829.3470372682,834119.7308119601,816284.3363922134,1153519.5455446846,1135809.9293193764,1117974.5348996297,0,0,1153566.513385552,1135982.2239558783,1118397.934526205,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-10-01,2019,0,False,1,300777.26910256245,,,850811.2974862555,831208.6303639949,811512.7472810502,1151588.566588818,1131985.8994665574,1112290.0163836125,0,0,1151634.048646927,1132124.4720534207,1112614.8954599148,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-11-01,2019,0,False,1,299867.1022670673,,,849760.5911492568,828211.1662748945,806611.4057237179,1149627.693416324,1128078.268541962,1106478.5079907852,0,0,1149637.168417015,1128138.1284208817,1106639.088424748,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-12-01,2019,0,False,1,298959.68964126,1124280.376518424,0.0,848745.0140371299,825320.6868771638,801896.3597171974,1147704.70367839,1124280.376518424,1100856.0493584573,0,0,1147704.7036783907,1124280.376518424,1100856.0493584578,1147704.7036783907,1100856.0493584578,False,1.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-01-01,2020,0,False,1,298055.02289076627,,,833423.681735294,807682.9879591191,781936.0893913297,1131478.7046260603,1105738.0108498854,1079991.112282096,0,0,1147896.4235005567,1122646.9387783958,1097476.8151646464,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-02-01,2020,0,False,1,297153.09370643215,,,818378.9262847176,790422.2194004745,762472.6568259205,1115532.0199911497,1087575.3131069066,1059625.7505323526,0,0,1148088.1433227228,1121013.5010383676,1094097.5809708347,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-03-01,2020,0,False,1,296253.89380424755,,,804550.7631572005,774609.1483570149,744703.7607355309,1100804.656961448,1070863.0421612624,1040957.6545397784,0,0,1148267.4941241038,1119485.4463783414,1090936.3618863015,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-04-01,2020,0,False,1,295357.41492527025,,,790027.214397375,758055.1916282926,726167.0905077052,1085384.6293226453,1053412.606553563,1021524.5054329755,0,0,1148459.2139462698,1117852.0086383133,1087557.12769249,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-05-01,2020,0,False,1,294463.6488355499,,,776221.8418522701,742372.1475031931,708667.8123226477,1070685.49068782,1036835.7963387431,1003131.4611581976,0,0,1148644.7492580437,1116271.262438286,1084286.9010533176,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-06-01,2020,0,False,1,293572.5873260526,,,762209.6796807449,726507.1187561888,691028.1249318857,1055782.2670067975,1020079.7060822414,984600.7122579383,0,0,1148836.4690802095,1114637.824698258,1080907.666859506,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-07-01,2020,0,False,1,292684.22221258533,,,748890.4061244467,711476.7577396258,674375.6305542788,1041574.6283370319,1004160.979952211,967059.8527668642,0,0,1149022.0043919832,1113057.0784982308,1077637.4402203336,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-08-01,2020,0,False,1,291798.5453357209,,,735371.6241815505,696271.9857767673,657589.5213221731,1027170.1695172713,988070.5311124881,949388.0666578939,0,0,1149213.7242141492,1111423.6407582026,1074258.2060265222,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-09-01,2020,0,False,1,290915.5485607228,,,722096.8799025421,681392.1507678243,641221.2407457684,1013012.4284632648,972307.6993285471,932136.7893064911,0,0,1149405.4440363152,1109790.2030181745,1070878.9718327106,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-10-01,2020,0,False,1,290035.22377747076,,,709478.5595978199,667295.1519146998,625768.9997716796,999513.7833752907,957330.3756921706,915804.2235491504,0,0,1149590.9793480886,1108209.456818147,1067608.7451935385,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-11-01,2020,0,False,1,466883.835982685,,,696671.2304319964,653034.5727651878,610192.7744332886,1163555.0664146813,1119918.4087478728,1077076.6104159737,1,1,1149782.6991702546,1106576.0190781192,1064229.5109997268,,,,
