port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2018-12-01	2018	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-01-01	2019	1169214.6688956444	1167172.6249497116	1165076.840583413	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-02-01	2019	1167217.132135922	1163142.9299782943	1158971.5769940724	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-03-01	2019	1165326.3470949768	1159425.1119508226	1153396.3034439925	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-04-01	2019	1163336.9576934697	1155422.2721471528	1147355.9583653756	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	12962627.699491628	12880068.200114097	12796386.26326612
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-05-01	2019	1161385.8117272533	1151531.931944847	1141512.6782294172	1161385.8117272533	1151531.931944847	1141512.6782294172	11851103.49304688	11757616.145699603	11663063.27190162	13012489.304774133	12909148.07764445	12804575.950131038
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-06-01	2019	1159404.613948323	1147556.4791539412	1135538.5122810337	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-07-01	2019	1157461.5565584511	1143692.731990658	1129759.0924017322	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-08-01	2019	1155488.5102024933	1139744.4780604609	1123850.3539878898	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	13166907.443568692	12999048.533643642	12830053.556154948
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-09-01	2019	1153519.5455446846	1135809.9293193764	1117974.5348996297	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-10-01	2019	1151588.566588818	1131985.8994665574	1112290.0163836123	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-11-01	2019	1149627.693416324	1128078.268541962	1106478.5079907852	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-12-01	2019	1147704.70367839	1124280.376518424	1100856.049358457	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-01-01	2020	1131478.7046260603	1105738.0108498854	1079991.112282096	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-02-01	2020	1115532.0199911497	1087575.3131069066	1059625.7505323526	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	13353083.015992241	13054053.915267166	12755988.772966428
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-03-01	2020	1100804.656961448	1070863.0421612624	1040957.6545397784	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-04-01	2020	1085384.6293226453	1053412.606553563	1021524.5054329756	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-05-01	2020	1070685.49068782	1036835.7963387432	1003131.4611581976	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-06-01	2020	1055782.2670067977	1020079.7060822414	984600.7122579383	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	13313245.095708203	12930104.914265295	12550739.249515355
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-07-01	2020	1041574.628337032	1004160.979952211	967059.8527668642	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	13303979.28518599	12900230.729040321	12501136.258074343
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-08-01	2020	1027170.1695172712	988070.531112488	949388.066657894	1027170.1695172712	988070.531112488	949388.066657894	12267513.305728829	11881666.286669867	11501038.904482858	13294683.4752461	12869736.817782355	12450426.971140752
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-09-01	2020	1013012.4284632648	972307.6993285472	932136.7893064911	1013012.4284632648	972307.6993285472	932136.7893064911	12272624.082926482	11867280.263602065	11468096.034248704	13285636.511389747	12839587.962930612	12400232.823555196
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-10-01	2020	999513.7833752908	957330.3756921706	915804.2235491504	999513.7833752908	957330.3756921706	915804.2235491504	12277572.02362065	11853374.890490582	11436305.682863953	13277085.806995941	12810705.266182752	12352109.906413103
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-11-01	2020	1163555.0664146813	1119918.4087478728	1077076.6104159737	1163555.0664146813	1119918.4087478728	1077076.6104159737	12282686.991387716	11839023.12193462	11403548.230498334	13446242.057802398	12958941.530682493	12480624.840914309
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-12-01	2020	1149968.2344820278	1104995.2728780918	1060959.2843605548	1149968.2344820278	1104995.2728780918	1060959.2843605548	12287638.989133902	11825150.858860925	11371936.810067398	13437607.22361593	12930146.131739017	12432896.094427953
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-01-01	2021	1152064.0201019312	1105436.06117434	1059850.5652088707	1152064.0201019312	1105436.06117434	1059850.5652088707	12279847.952056097	11798551.03074707	11327735.886446549	13431911.972158028	12903987.091921411	12387586.45165542
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-02-01	2021	1154182.0086207944	1105886.459515553	1058746.259317583	1154182.0086207944	1105886.459515553	1058746.259317583	12272061.854923123	11772011.03703737	11283706.764839824	13426243.863543918	12877897.496552924	12342453.024157407
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-03-01	2021	1155978.878956641	1106166.2320146705	1057617.303286408	1155978.878956641	1106166.2320146705	1057617.303286408	12265033.494443685	11748090.746802447	11244085.637967616	13421012.373400327	12854256.978817118	12301702.941254023
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-04-01	2021	1158139.7525758706	1106635.337028686	1056521.770862631	1158139.7525758706	1106635.337028686	1056521.770862631	12257256.790489389	11721664.259879723	11200381.651674788	13415396.54306526	12828299.59690841	12256903.42253742
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-05-01	2021	1160207.454851367	1107053.6423336188	1055420.92037834	1160207.454851367	1107053.6423336188	1055420.92037834	12249735.64281749	11696146.840714809	11158249.217497088	13409943.097668856	12803200.483048428	12213670.137875428
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-06-01	2021	1162412.681626461	1107541.8084293916	1054334.1201777707	1162412.681626461	1107541.8084293916	1054334.1201777707	12241968.638540192	11669837.197880588	11114878.863823617	13404381.320166653	12777379.00630998	12169212.984001387
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-07-01	2021	1164523.7279485466	1107978.835761915	1053241.9669373229	1164523.7279485466	1107978.835761915	1053241.9669373229	12234456.871796705	11644432.603382563	11073068.06516627	13398980.599745251	12752411.439144477	12126310.032103593
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-08-01	2021	1166773.619647259	1108486.0725197622	1052163.8482845596	1166773.619647259	1108486.0725197622	1052163.8482845596	12226699.555098249	11618239.288013466	11030028.797188314	13393473.174745508	12726725.360533228	12082192.645472873
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-09-01	2021	1169046.262361762	1109002.936504404	1051090.0539425882	1169046.262361762	1109002.936504404	1051090.0539425882	12218947.156964058	11592104.892627276	10987156.816052372	13387993.419325821	12701107.829131681	12038246.86999496
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-10-01	2021	1171223.184366132	1109468.1474811663	1050010.8542853626	1171223.184366132	1109468.1474811663	1050010.8542853626	12211449.516379915	11566869.517087532	10945826.468949145	13382672.700746046	12676337.664568698	11995837.323234508
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-11-01	2021	1173540.9701467212	1110004.0982248294	1048945.6660579978	1173540.9701467212	1110004.0982248294	1048945.6660579978	12203706.787606714	11540850.674314007	10903281.768973917	13377247.757753436	12650854.772538837	11952227.435031915
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2021-12-01	2021	1175762.0013873817	1110488.0527900402	1047875.0378963444	1175762.0013873817	1110488.0527900402	1047875.0378963444	12196218.498631213	11515726.876391929	10862266.934324645	13371980.500018595	12626214.929181969	11910141.972220989
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-01-01	2022	1171718.0550274183	1104674.2239139164	1040436.7780558058	1171718.0550274183	1104674.2239139164	1040436.7780558058	12170044.883159224	11471709.399864364	10802270.164606728	13341762.938186642	12576383.62377828	11842706.942662533
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-02-01	2022	1167688.141579984	1098894.5098070288	1033064.3394746468	1167688.141579984	1098894.5098070288	1033064.3394746468	12143927.437404674	11427860.174829796	10742604.781734517	13311615.578984657	12526754.684636824	11775669.121209163
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-03-01	2022	1163929.7716043922	1093572.7979047308	1026330.9370970352	1163929.7716043922	1093572.7979047308	1026330.9370970352	12120385.665198913	11388398.50393877	10688996.779526256	13284315.436803306	12481971.301843502	11715327.716623291
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-04-01	2022	1159926.8252596003	1087857.8152839402	1019082.4065331024	1159926.8252596003	1087857.8152839402	1019082.4065331024	12094374.790286437	11344867.724751802	10629957.052167848	13254301.615546037	12432725.540035743	11649039.45870095
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-05-01	2022	1156023.008910459	1082315.857920626	1012085.403749394	1156023.008910459	1082315.857920626	1012085.403749394	12069256.125603689	11302899.597304452	10573132.34191836	13225279.134514147	12385215.455225078	11585217.745667754
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-06-01	2022	1152047.4783364658	1076666.71463601	1004962.3154650136	1152047.4783364658	1076666.71463601	1004962.3154650136	12043354.976907482	11259695.62737202	10514732.58152295	13195402.455243949	12336362.34200803	11519694.896987965
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-07-01	2022	1148170.3633007435	1071188.3404896797	998085.8123980477	1148170.3633007435	1071188.3404896797	998085.8123980477	12018342.274674816	11218042.577501994	10458523.82833951	13166512.637975559	12289230.917991674	11456609.640737558
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-08-01	2022	1144222.059412583	1065604.2252173063	991085.7858322682	1144222.059412583	1065604.2252173063	991085.7858322682	11992550.389317617	11175162.963289132	10400757.097921994	13136772.4487302	12240767.18850644	11391842.88375426
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-09-01	2022	1140287.4541322174	1060052.783507058	984147.3356404334	1140287.4541322174	1060052.783507058	984147.3356404334	11966813.854468375	11132447.251227856	10343309.436925547	13107101.308600593	12192500.034734914	11327456.772565981
