port	company	operator_or_owner	month	year	K_PIM_lin_central	K_PIM_lin_high	K_PIM_lin_low
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-01-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-02-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-03-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-04-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-05-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-06-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-07-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-08-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-09-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-10-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-11-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-12-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-01-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-02-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-03-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-04-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-05-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-06-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-07-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-08-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-09-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-10-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-11-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-12-01	2019	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-01-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-02-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-03-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-04-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-05-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-06-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-07-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-08-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-09-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-10-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-11-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-12-01	2020	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-01-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-02-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-03-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-04-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-05-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-06-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-07-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-08-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-09-01	2021	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2021-10-01	2021	0.0	0.0	0.0
