port	company	operator_or_owner	month	year	K_PIM_lin_central	K_PIM_lin_high	K_PIM_lin_low
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-01-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-02-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-03-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-04-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-05-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-06-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-07-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-08-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-09-01	2018	0.0	0.0	0.0
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-10-01	2018	0.0	0.0	0.0
