project_id,port,operator_owner,terminal_or_area,project_name_short,project_type,asset_class,asset_life_years,event_type,start_year,start_month,expected_end_year,expected_end_month,commissioning_year,commissioning_month,investment_year_fs,amount_nominal_th_nis,amount_status,relevant_for_K_B,sources,notes
HPC_Kishon_East_Reactivate_2020,Haifa,Haifa Port Company,Kishon East Terminal,Reactivation of Kishon East general-cargo terminal,reactivation_and_infrastructure,"berth_infrastructure + yard + gate + IT (equipment redeployed)",20,addition,2020,,2020,,2020,11,2020,,"Not disclosed separately (bundled in 2020 additions)",TRUE,"HPC 2020 Annual Report (Hebrew) section on Kishon East; Port2Port 29.11.2020 news","Kishon East basin returned to HPC and reopened for operations in Q4 2020 after infrastructure works:contentReference[oaicite:109]{index=109}. Cost included in 2020 PPE additions (no standalone figure).",
HPC_Kishon_West_Rehab_2021,Haifa,"Haifa Port Company (with Israel Ports Company)",Kishon West Terminal,Structural rehabilitation of Kishon West pier,berth_rehabilitation,berth_infrastructure,20,addition,2021,3,2025,12,,,2021–2025,30000,Estimated HPC share of total project cost,TRUE,"IPC 2022 Annual Report (Hebrew) p.X; HPC 2024 FS Note 25A","Joint IPC-HPC project to reinforce Kishon West pier (Mar 2021–Dec 2025). Total ~₪64m+VAT; HPC share ~₪25–30m:contentReference[oaicite:110]{index=110}. As of 2024, ~₪3.5m still uncapitalized:contentReference[oaicite:111]{index=111}. Commission upon completion (~Q4 2025).",
HPC_Kishon_MobileCrane_2023,Haifa,Haifa Port Company,Kishon Pier (West & projects areas),Mobile crane & heavy equipment procurement,equipment_procurement,mobile_crane + heavy_equipment,8,addition,2023,,2026,6,,,2023,36600,Purchased; ~₪9.7m not yet capitalized,TRUE,"HPC 2024 FS Note 25A Commitments","New mobile harbor crane for Kishon and other heavy gear (for projects completing by mid-2026). Value ₪36.6m; ₪9.7m of this was not on books as of 31/12/2024:contentReference[oaicite:112]{index=112}. Deliveries 2023–2026.",
HPC_5STS_4Gantry_Mod_2018,Haifa,Haifa Port Company,"Kishon (STS) & Carmel Terminal (yard)",5 STS cranes (Kishon) + Modify 4 yard cranes,capital_equipment_upgrade,"ship_to_shore_cranes + yard_gantry_cranes",33,addition_and_upgrade,2018,,2024,,,(multi-year),,,"No standalone cost disclosed (part of multi-year capex program)",TRUE,"HPC Q3 2022 Interim Rep – Note on crane projects","Multi-year crane program: purchase of 5 new STS for Kishon and heightening/extension of 4 RTGs at Carmel. Noted in 2022 after supplier insolvency; project continued under administrator:contentReference[oaicite:113]{index=113}. Cost envelope not stated (~could be >₪100m). Commissioning expected 2022–2024 (phased). Included as major capacity upgrade event.",
HPC_Temporary_Passenger_Terminal_2022,Haifa,Haifa Port Company,Passenger Terminal zone,Temporary cruise terminal (structural issues),temporary_facility (leased),leased_operating_equipment (not PPE),N/A,operating_project_not_PPE,2022,,2022,,2022,4,2022,8800,Expense (lease, not capitalized),FALSE,"HPC 2022 Q1/Q3 Reports – material events","After structural faults found in main terminal, a temporary facility was set up nearby in 2022. Estimated cost ~₪7–8.8m:contentReference[oaicite:114]{index=114}:contentReference[oaicite:115]{index=115} as operating expense (equipment rental), not capitalized. Included here for record, but **excluded from K stock**.",
HPC_Sea_Department_Transfer_2020,Haifa,"HPC (seller) / IPC (buyer)",Sea Department (pilotage & tugs),Transfer of Marine Dept to IPC,business_divestiture,"service_fleet + infrastructure + goodwill",N/A,disposal,2020,9,2020,11,2020,11,2020,-,180000,"Sale price (approx); book value of disposed assets TBD",TRUE,"HPC 2020 Annual Report – IPC agreement; HPC 2024 FS Note 1B","Sale of all pilotage/towage operations and assets to IPC, effective Nov 3 2020. IPC paid ~₪180m:contentReference[oaicite:116]{index=116}. Represents a one-time **removal** of HPC capital (tugboats, etc.). For K series, use the assets’ book value (not the payment) once known.",
HPC_Waterfront_Relocation_2024,Haifa,Haifa Port Company,"Main Waterfront -> New Ops Areas","Waterfront redevelopment: land swap & new port infrastructure",relocation_redevelopment,"investment_real_estate + replacement_infrastructure",20 (infra) & N/A (land),relocation,2022,,2025,,2024,7,2024,150000,"Max compensation agreed; actual use in assets ~₪115m so far",TRUE,"Haifa Port privatization roadshow (2020); HPC 2024 FS pp.55-56","City waterfront plan: ~56 dunam port land removed for urban use. HPC to get ₪150m and alternate land to relocate port ops:contentReference[oaicite:117]{index=117}. By 2024, ₪115m received; used ~₪19.9m for investment property, ~₪77.6m for new equipment/yard, ~₪7m expenses:contentReference[oaicite:118]{index=118}. New facilities being developed 2022–25. Only the new port infrastructure counts toward K (land reclassified out).",
HPC_CarmelTerminal_Expansion_2010,Haifa,"IPC (infra) / HPC (cranes)",Carmel Container Terminal (new),New Carmel container terminal (Phase I),new_terminal,"berth_infrastructure + STS & RTG cranes + gate/IT",40 (infra) & 33 (cranes),addition,2005,,2010,10,2010,10,2010,220000,"Approx. HPC share; IPC spent ~₪1.8b on infra",TRUE,"Wikipedia (Namal Hefa):contentReference[oaicite:119]{index=119}; Calcalist 2009:contentReference[oaicite:120]{index=120}","Major expansion: 700m quay, 16m depth, 273 dunam yard:contentReference[oaicite:121]{index=121}. Opened Oct 2010. IPC built civil works (~₪1.8b):contentReference[oaicite:122]{index=122}, HPC invested in 6 new STS and 12 RTG cranes plus systems (est. ~₪200–250m). Hugely increased Haifa’s container capacity (doubling throughput):contentReference[oaicite:123]{index=123}.",
HPC_New_Tug_Ilan1_2011,Haifa,Haifa Port Company,Marine Fleet,Purchase tugboat "Ilan 1" (70t BP),equipment_procurement,service_fleet (ASD tugboat),8 (book) / 25 (useful),addition,2009,,2011,10,2011,10,2011,45000,"Approx cost: €9.6m",TRUE,"Calcalist 22.3.2009:contentReference[oaicite:124]{index=124}; Ynet 2015:contentReference[oaicite:125]{index=125}","Ordered ~2009, delivered 2011: a new powerful escort tug (Ilan 1) for Haifa Port. Cost ~₪45m. Improved capability to berth large vessels. Asset transferred to IPC in 2020 Sea Dept sale.",
HPC_New_Tug_Elad_2015,Haifa,Haifa Port Company,Marine Fleet,Purchase tugboat "Elad" (75t BP),equipment_procurement,service_fleet (ASD tugboat),8 (book) / 25 (useful),addition,2014,,2015,11,2015,11,2015,43000,"Cost ~€10m",TRUE,"Ynet News 24.11.2015:contentReference[oaicite:126]{index=126}","Second new-generation tug acquired by HPC. Arrived Nov 2015:contentReference[oaicite:127]{index=127}, cost ~₪43m. Augmented Haifa’s fleet for mega-ships (2M alliance):contentReference[oaicite:128]{index=128}. Like Ilan1, left HPC in 2020 sale.",
