period,Quarterly – Calendar and seasonally adjusted – Israel – Total economy – Total economy – Gross fixed capital formation – Not applicable – Total - all activities – Not applicable – Index – Deflator (rebased) – Non transformed data – Table 0102 - GDP identity from the expenditure side (OECD/DSD_NAMAIN1@DF_QNA_EXPENDITURE_INDICES/Q.Y.ISR.S1.S1.P51G._Z._T._Z.IX.DR.N.T0102)
1995-Q1,52.457015844
1995-Q2,54.819496972
1995-Q3,55.507628893
1995-Q4,55.882273414
1996-Q1,57.086674811
1996-Q2,57.959010681
1996-Q3,59.242245331
1996-Q4,59.290065634
1997-Q1,60.792658355
1997-Q2,61.659874697
1997-Q3,63.413975867
1997-Q4,63.974395633
1998-Q1,64.068510283
1998-Q2,65.711302129
1998-Q3,66.458871039
1998-Q4,70.24740181
1999-Q1,71.119271429
1999-Q2,71.099882382
1999-Q3,73.303720503
1999-Q4,73.016459833
2000-Q1,72.572713832
2000-Q2,73.539990312
2000-Q3,74.398175348
2000-Q4,74.76146012
2001-Q1,75.217827958
2001-Q2,73.691466816
2001-Q3,75.962408396
2001-Q4,74.712465269
2002-Q1,76.640469299
2002-Q2,79.830288444
2002-Q3,81.529007143
2002-Q4,81.697337002
2003-Q1,81.993127231
2003-Q2,79.895964959
2003-Q3,80.193318354
2003-Q4,80.557461802
2004-Q1,81.194311513
2004-Q2,83.164847734
2004-Q3,84.878005092
2004-Q4,82.988085918
2005-Q1,84.394415291
2005-Q2,85.194995767
2005-Q3,86.147205018
2005-Q4,88.578997818
2006-Q1,88.24204531
2006-Q2,87.058162401
2006-Q3,86.513577457
2006-Q4,86.884196681
2007-Q1,89.10146457
2007-Q2,88.198073213
2007-Q3,89.009046676
2007-Q4,88.074878203
2008-Q1,86.950134292
2008-Q2,86.353394797
2008-Q3,87.267080645
2008-Q4,87.321456838
2009-Q1,89.272237189
2009-Q2,89.634831148
2009-Q3,88.932692549
2009-Q4,87.777920516
2010-Q1,87.799620721
2010-Q2,88.036432816
2010-Q3,87.632708327
2010-Q4,87.837842
2011-Q1,88.943259366
2011-Q2,88.339036607
2011-Q3,89.951852767
2011-Q4,90.233973094
2012-Q1,91.114914197
2012-Q2,93.637026121
2012-Q3,93.818383341
2012-Q4,94.4520845
2013-Q1,93.227351963
2013-Q2,93.011845846
2013-Q3,92.349089127
2013-Q4,93.630120552
2014-Q1,93.636478536
2014-Q2,94.019581133
2014-Q3,93.329917974
2014-Q4,96.336439206
2015-Q1,96.878284398
2015-Q2,96.356886895
2015-Q3,96.045021091
2015-Q4,95.664144197
2016-Q1,96.825926757
2016-Q2,96.107260045
2016-Q3,96.707195803
2016-Q4,96.508101017
2017-Q1,94.78220937
2017-Q2,96.026743477
2017-Q3,94.693611511
2017-Q4,95.576970579
2018-Q1,95.723734801
2018-Q2,97.202601837
2018-Q3,99.119727621
2018-Q4,100.231472516
2019-Q1,98.55354507
2019-Q2,98.87900246
2019-Q3,99.312481792
2019-Q4,98.120865114
2020-Q1,99.78661687
2020-Q2,100.700838406
2020-Q3,98.640237874
2020-Q4,100.789886653
2021-Q1,102.987663528
2021-Q2,102.994505159
2021-Q3,102.999319003
2021-Q4,104.747019444
2022-Q1,105.40061251
2022-Q2,108.392659475
2022-Q3,108.723815284
2022-Q4,110.449899997
2023-Q1,112.101935787
2023-Q2,113.633404254
2023-Q3,111.957569727
2023-Q4,124.892524529
2024-Q1,121.001828901
2024-Q2,122.870073175
2024-Q3,120.891809551
2024-Q4,123.199111611
2025-Q1,122.364700231
2025-Q2,124.800001841
2025-Q3,119.432257792
