entity	year	component_type	value	source_rule	record_id	source_group	metric	asset_class_std	project_name	event_month
HPC	2023	annual_service_entry_pool	102636.0	HPC alternative service-entry pool = Note 8 purchases + new_leases_additions						
HPC	2024	annual_service_entry_pool	61568.0	HPC alternative service-entry pool = Note 8 purchases + new_leases_additions						
IPC	2018	annual_service_entry_pool	53099.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
IPC	2019	annual_service_entry_pool	184353.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
IPC	2020	annual_service_entry_pool	18232.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
IPC	2022	annual_service_entry_pool	4040986.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
IPC	2023	annual_service_entry_pool	92495.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
IPC	2024	annual_service_entry_pool	76066.0	IPC alternative service-entry pool = positive commissioned_assets_or_transfers in productive classes						
SIPG	2018	annual_service_entry_pool	0.0	SIPG alternative service-entry pool = transfer_to_ppe summary	SIPG_TBL2_2018_TRANSFER_TO_PPE_KNIS	THESIS_2026_SUMMARY	transfer_to_ppe_knis	wip_bayport		
SIPG	2020	annual_service_entry_pool	4482.0	SIPG alternative service-entry pool = transfer_to_ppe summary	SIPG_TBL2_2020_TRANSFER_TO_PPE_KNIS	THESIS_2026_SUMMARY	transfer_to_ppe_knis	wip_bayport		
SIPG	2021	annual_service_entry_pool	1339629.0	SIPG alternative service-entry pool = transfer_to_ppe summary	SIPG_TBL2_2021_TRANSFER_TO_PPE_KNIS	THESIS_2026_SUMMARY	transfer_to_ppe_knis	wip_bayport		
SIPG	2022	annual_service_entry_pool	469804.0	SIPG alternative service-entry pool = transfer_to_ppe summary	SIPG_TBL2_2022_TRANSFER_TO_PPE_KNIS	THESIS_2026_SUMMARY	transfer_to_ppe_knis	wip_bayport		
SIPG	2024	annual_service_entry_pool	0.0	SIPG alternative service-entry pool = transfer_to_ppe summary	SIPG_TBL2_2024_TRANSFER_TO_PPE_KNIS	THESIS_2026_SUMMARY	transfer_to_ppe_knis	wip_bayport		
