entity	year	asset_class_std	source_group	annual_depr_rate	annual_depr_rate_pct_max	annual_depr_rate_pct_min	capitalization_rate	residual_pct_max	residual_pct_min	useful_life_years	useful_life_years_max	useful_life_years_min	annual_rate_low	annual_rate_high	annual_rate_mid	monthly_rate_mid_geometric
HPC	2024	cranes	HPC_2024_AR	0.03						33.0			0.03	0.03	0.03	0.002535048613836688
HPC	2024	infrastructure_buildings	HPC_2024_AR	0.05						20.0			0.05	0.05	0.05	0.004265318777560645
HPC	2024	other_operational_equipment	HPC_2024_AR	0.125						8.0			0.125	0.125	0.125	0.011065933139137285
HPC	2024	right_of_use_assets	HPC_2024_AR	0.33						3.0			0.33	0.33	0.33	0.03282239126053954
IPC	2022	mixed_qualifying_assets	IPC_2024_AR				0.056									
IPC	2023	mixed_qualifying_assets	IPC_2024_AR				0.039									
IPC	2024	buildings_landside	IPC_2024_AR								20.0	15.0	0.05	0.06666666666666667	0.058333333333333334	0.004996137915524557
IPC	2024	land	IPC_2024_AR								41.0	32.0	0.024390243902439025	0.03125	0.027820121951219513	0.0023484407482350367
IPC	2024	maritime_infrastructure	IPC_2024_AR							32.0	25.0	20.0	0.04	0.05	0.045	0.0038296430163020645
IPC	2024	mixed_qualifying_assets	IPC_2024_AR				0.04									
IPC	2024	vessels_equipment_it	IPC_2024_AR								31.0	26.0	0.03225806451612903	0.038461538461538464	0.03535980148883375	0.002995512676487122
SIPG	2024	containers	SIPG_K_REDESIGN_CLEAN		12.0	11.3		10.0	4.0		8.0	8.0	0.113	0.12	0.11649999999999999	0.010268909922777403
SIPG	2024	handling_machinery	SIPG_K_REDESIGN_CLEAN		12.0	4.5		10.0	4.0		20.0	8.0	0.045	0.12	0.08249999999999999	0.007149544452537571
SIPG	2024	it_computing	SIPG_K_REDESIGN_CLEAN		19.2	15.0		10.0	4.0		6.0	5.0	0.15	0.192	0.17099999999999999	0.015506444598880176
SIPG	2024	it_telecom	SIPG_K_REDESIGN_CLEAN		19.2	9.0		10.0	4.0		10.0	5.0	0.09	0.192	0.14100000000000001	0.012585659483247746
SIPG	2024	machinery_equipment	SIPG_K_REDESIGN_CLEAN		9.6	6.0		10.0	4.0		15.0	10.0	0.06	0.096	0.078	0.006744656629757095
SIPG	2024	other_equipment	SIPG_K_REDESIGN_CLEAN		19.2	9.0		10.0	4.0		10.0	5.0	0.09	0.192	0.14100000000000001	0.012585659483247746
SIPG	2024	port_infrastructure	SIPG_K_REDESIGN_CLEAN		3.84	3.0		10.0	4.0		30.0	25.0	0.03	0.0384	0.034199999999999994	0.002895674884408894
SIPG	2024	safety_equipment	SIPG_K_REDESIGN_CLEAN		100.0	100.0		0.0	0.0				1.0	1.0	1.0	1.0
SIPG	2024	structures_buildings	SIPG_K_REDESIGN_CLEAN		4.8	3.0		10.0	4.0		30.0	20.0	0.03	0.048	0.039	0.0033095837150599605
SIPG	2024	structures_housing	SIPG_K_REDESIGN_CLEAN		2.74	2.74		4.0	4.0		35.0	35.0	0.0274	0.0274	0.0274	0.0023125204129503807
SIPG	2024	vehicles	SIPG_K_REDESIGN_CLEAN		16.0	9.0		10.0	4.0		10.0	6.0	0.09	0.16	0.125	0.011065933139137285
SIPG	2024	vessels	SIPG_K_REDESIGN_CLEAN		8.0	3.6		10.0	4.0		25.0	12.0	0.036000000000000004	0.08	0.058	0.004966791530059078
SIPG	2024	yard_infrastructure	SIPG_K_REDESIGN_CLEAN		3.84	3.0		10.0	4.0		30.0	25.0	0.03	0.0384	0.034199999999999994	0.002895674884408894
