entity	asset_class_std	dep_rate_annual	dep_rate_monthly	dep_method	is_fallback	fallback_group	source_id	notes
HPC	berth_infrastructure	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	communication_equipment	0.15	0.013451947011868914	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	computers	0.2	0.018423470126248342	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	cranes	0.03	0.002535048613836688	reported_rate	0		HPC_2024_AR	Observed or implied class rate
HPC	equipment	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	fixed_assets	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	furniture_equipment	0.06	0.005143012831822946	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	infrastructure_buildings	0.05	0.004265318777560645	reported_rate	0		HPC_2024_AR	Observed or implied class rate
HPC	marine_assets	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	mixed	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	other_equipment	0.125	0.011065933139137285	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	other_operational_equipment	0.125	0.011065933139137285	reported_rate	0		HPC_2024_AR	Observed or implied class rate
HPC	right_of_use_assets	0.33	0.03282239126053954	reported_rate	0		HPC_2024_AR	Observed or implied class rate
HPC	service_fleet	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	spare_parts	0.12209090909090907	0.010792359372799543	fallback_average	1	mixed	HPC_FALLBACK	Fallback average across categories
HPC	trailers_carts_compressors	0.083	0.007194644294912456	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	vehicles	0.15	0.013451947011868914	reported_rate	0		HPC_2019_AR	Observed or implied class rate
HPC	vessels	0.04	0.003396053198917559	reported_rate	0		HPC_2019_AR	Observed or implied class rate
IPC	buildings_landside	0.05714285714285714	0.004891373083355299	implied_life	0		IPC_2024_AR	Observed or implied class rate
IPC	fixed_assets	0.04733475633100046	0.004032821484713622	fallback_average	1	mixed	IPC_FALLBACK	Fallback average across categories
IPC	land	0.0273972602739726	0.002312286213654202	implied_life	0		IPC_2024_AR	Observed or implied class rate
IPC	maritime_infrastructure	0.037383177570093455	0.0031699522442416583	implied_life	0		IPC_2024_AR	Observed or implied class rate
IPC	mixed	0.047335	0.004033	fallback_average	1	mixed	IPC_MIXED_FALLBACK_GENERATED_V2	Generated fallback row for IPC background residual class using average across IPC categories
IPC	mixed_qualifying_assets	0.04733475633100046	0.004032821484713622	fallback_average	1	mixed	IPC_FALLBACK	Fallback average across categories
IPC	vessels_equipment_it	0.06741573033707865	0.005799431489497353	implied_life	0		IPC_2024_AR	Observed or implied class rate
SIPG	containers	0.1165	0.010268909922777403	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	handling_machinery	0.0825	0.007149544452537571	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	it_computing	0.171	0.015506444598880176	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	it_telecom	0.141	0.012585659483247746	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	machinery_equipment	0.078	0.006744656629757095	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	other_equipment	0.141	0.012585659483247746	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	port_infrastructure	0.0342	0.002895674884408894	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	safety_equipment	1.0	1.0	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	structures_buildings	0.039	0.0033095837150599605	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	structures_housing	0.0274	0.0023125204129503807	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	unknown_bayport_class	0.08731666666666665	0.007584946376146595	fallback_average	1	mixed	SIPG_FALLBACK	Fallback average across categories
SIPG	vehicles	0.125	0.011065933139137285	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	vessels	0.057999999999999996	0.004966791530059078	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
SIPG	yard_infrastructure	0.0342	0.002895674884408894	reported_rate	0		SIPG_K_REDESIGN_CLEAN	Observed or implied class rate
