record_id	entity	year	source_group	source_file	source_doc	source_page	source_section	row_type	asset_class_raw	asset_class_std	project_id	project_name	metric	value_num	value_text	unit	currency	date_precision	event_date	event_year	event_month	confidence	include_in_k	include_in_productive_k	needs_monthly_timing	notes
HPC_EVT_008	HPC	2010	HPC_BIG_PROJECTS	Haifa_big_projects.csv	Haifa_big_projects.csv		new_terminal	event	berth_infrastructure + STS & RTG cranes + gate/IT	mixed_terminal_infrastructure	HPC_CarmelTerminal_Expansion_2010	New Carmel container terminal (Phase I)	event_amount_nominal	220000.0		NIS_thousands	NIS	year_month	2010-10	2010.0	2010-10	medium	yes	yes	no	amount_status=Approx. HPC share; IPC spent ~₪1.8b on infra | event_type=addition | sources=Wikipedia (Namal Hefa):contentReference[oaicite:119]{index=119}; Calcalist 2009:contentReference[oaicite:120]{index=120} | Major expansion: 700m quay, 16m depth, 273 dunam yard:contentReference[oaicite:121]{index=121}. Opened Oct 2010. IPC built civil works (~₪1.8b):contentReference[oaicite:122]{index=122}, HPC invested in 6 new STS and 12 RTG cranes plus systems (est. ~₪200–250m). Hugely increased Haifa’s container capacity (doubling throughput):contentReference[oaicite:123]{index=123}.
HPC_EVT_009	HPC	2011	HPC_BIG_PROJECTS	Haifa_big_projects.csv	Haifa_big_projects.csv		equipment_procurement	event	service_fleet (ASD tugboat)	service_fleet	HPC_New_Tug_Ilan1_2011	"Purchase tugboat ""Ilan 1"" (70t BP)"	event_amount_nominal	45000.0		NIS_thousands	NIS	year_month	2011-10	2011.0	2011-10	medium	yes	yes	no	amount_status=Approx cost: €9.6m | event_type=addition | sources=Calcalist 22.3.2009:contentReference[oaicite:124]{index=124}; Ynet 2015:contentReference[oaicite:125]{index=125} | Ordered ~2009, delivered 2011: a new powerful escort tug (Ilan 1) for Haifa Port. Cost ~₪45m. Improved capability to berth large vessels. Asset transferred to IPC in 2020 Sea Dept sale.
HPC_EVT_010	HPC	2015	HPC_BIG_PROJECTS	Haifa_big_projects.csv	Haifa_big_projects.csv		equipment_procurement	event	service_fleet (ASD tugboat)	service_fleet	HPC_New_Tug_Elad_2015	"Purchase tugboat ""Elad"" (75t BP)"	event_amount_nominal	43000.0		NIS_thousands	NIS	year_month	2015-11	2015.0	2015-11	high	yes	yes	no	amount_status=Cost ~€10m | event_type=addition | sources=Ynet News 24.11.2015:contentReference[oaicite:126]{index=126} | Second new-generation tug acquired by HPC. Arrived Nov 2015:contentReference[oaicite:127]{index=127}, cost ~₪43m. Augmented Haifa’s fleet for mega-ships (2M alliance):contentReference[oaicite:128]{index=128}. Like Ilan1, left HPC in 2020 sale.
HPC_EVT_004	HPC	2018	HPC_BIG_PROJECTS	Haifa_big_projects.csv	Haifa_big_projects.csv		capital_equipment_upgrade	event	ship_to_shore_cranes + yard_gantry_cranes	cranes	HPC_5STS_4Gantry_Mod_2018	5 STS cranes (Kishon) + Modify 4 yard cranes	event_amount_nominal			NIS_thousands	NIS	year				high	yes	yes	yes	amount_status=No standalone cost disclosed (part of multi-year capex program) | event_type=addition_and_upgrade | sources=HPC Q3 2022 Interim Rep – Note on crane projects | Multi-year crane program: purchase of 5 new STS for Kishon and heightening/extension of 4 RTGs at Carmel. Noted in 2022 after supplier insolvency; project continued under administrator:contentReference[oaicite:113]{index=113}. Cost envelope not stated (~could be >₪100m). Commissioning expected 2022–2024 (phased). Included as major capacity upgrade event.
HPC_RAW_2018_04	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			admin_dep_amort	4013.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
HPC_RAW_2018_02	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			depr_amort_total_cf_adj	67012.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
HPC_RAW_2018_03	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			operating_depreciation	63370.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
HPC_RAW_2018_01	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			ppe_net_eoy	1163539.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
HPC_RAW_2018_07	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			proceeds_realization_fixed_assets	1759.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
HPC_RAW_2018_05	HPC	2018	HPC_FINANCIALS_RAW	haifa_financials_raw.tsv	files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position; CF; notes	aggregate_financials_raw	annual_summary		total			purchase_fixed_assets_cashflow	-30896.0		NIS_thousands	NIS	year		2018.0		medium	yes	yes		
