entity	year	asset_class_std	pool_type	annual_amount_kNIS	include_in_productive_K	allocation_priority	source_id	notes
HPC	2018	mixed	background	0.0	True	3	HPC_BG_RESIDUAL	Residual after mapped undated pools
HPC	2018	equipment	mapped_undated	15342.556203	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018	infrastructure_buildings	mapped_undated	11977.061056	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018	spare_parts	mapped_undated	3576.382742	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2019	mixed	background	0.0	True	3	HPC_BG_RESIDUAL	Residual after mapped undated pools
HPC	2019	equipment	mapped_undated	10573.806655	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2019	infrastructure_buildings	mapped_undated	9422.069113	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2019	spare_parts	mapped_undated	5029.124232	True	1	HPC_2019_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2020	mixed	background	0.0	True	3	HPC_BG_RESIDUAL	Residual after mapped undated pools
HPC	2020	equipment	mapped_undated	33648.0	True	1	HPC_2020_AR	From class-level ppe rollforward
HPC	2020	infrastructure_buildings	mapped_undated	11722.0	True	1	HPC_2020_AR	From class-level ppe rollforward
HPC	2020	spare_parts	mapped_undated	3915.0	True	1	HPC_2020_AR	From class-level ppe rollforward
HPC	2021	mixed	background	0.0	True	3	HPC_BG_RESIDUAL	Residual after mapped undated pools
HPC	2021	equipment	mapped_undated	14127.829412	True	1	HPC_2021_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2021	infrastructure_buildings	mapped_undated	2152.983803	True	1	HPC_2021_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2021	spare_parts	mapped_undated	461.84652	True	1	HPC_2021_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
HPC	2023	mixed	background	0.0	True	3	HPC_BG_RESIDUAL	Residual after mapped undated pools
HPC	2023	cranes	mapped_undated	54465.007337	True	1	HPC_2024_AR	From class-level ppe rollforward | proportionally rescaled to annual authoritative total
