entity	month	year	end_stock_total_kNIS
HPC	2018-01	2018	1241493.923894206
HPC	2018-02	2018	1232098.710677581
HPC	2018-03	2018	1223176.6544015498
HPC	2018-04	2018	1214723.858454283
HPC	2018-05	2018	1206736.4622653532
HPC	2018-06	2018	1199210.6409493966
HPC	2018-07	2018	1192142.6049534255
HPC	2018-08	2018	1185528.599707748
HPC	2018-09	2018	1179364.9052804653
HPC	2018-10	2018	1173647.8360355021
HPC	2018-11	2018	1168373.7402941377
HPC	2018-12	2018	1163539.0
HPC	2019-01	2019	1153417.671054322
HPC	2019-02	2019	1142806.6374336747
HPC	2019-03	2019	1131709.8750242733
HPC	2019-04	2019	1120131.330645034
HPC	2019-05	2019	1108074.9222344744
HPC	2019-06	2019	1095544.5390366986
HPC	2019-07	2019	1082544.0417864595
HPC	2019-08	2019	1069077.262893303
HPC	2019-09	2019	1055148.006624795
HPC	2019-10	2019	1040760.0492888312
HPC	2019-11	2019	1025917.1394150292
HPC	2019-12	2019	1010622.9979352085
HPC	2020-01	2020	1003288.6415381293
HPC	2020-02	2020	996972.3211765336
HPC	2020-03	2020	991665.0326785897
HPC	2020-04	2020	987357.8566362911
HPC	2020-05	2020	984041.9575760523
HPC	2020-06	2020	981708.583137623
HPC	2020-07	2020	980349.0632612407
HPC	2020-08	2020	979954.8093829335
HPC	2020-09	2020	980517.3136378919
HPC	2020-10	2020	982028.1480718266
HPC	2020-11	2020	984478.9638602312
HPC	2020-12	2020	987861.4905354694
HPC	2021-01	2021	981094.6582327691
HPC	2021-02	2021	975765.1544695065
HPC	2021-03	2021	971860.7977343897
HPC	2021-04	2021	969369.5113742251
HPC	2021-05	2021	968279.3226775223
HPC	2021-06	2021	968578.3619662346
HPC	2021-07	2021	970254.8616955653
HPC	2021-08	2021	973297.1555617624
HPC	2021-09	2021	977693.6776178321
HPC	2021-10	2021	983432.9613970999
HPC	2021-11	2021	990503.6390445465
HPC	2021-12	2021	998894.4404558503
HPC	2022-01	2022	991994.7648243721
HPC	2022-02	2022	986505.7856571245
HPC	2022-03	2022	982415.9084161858
HPC	2022-04	2022	979713.633922246
HPC	2022-05	2022	978387.5575697157
HPC	2022-06	2022	978426.3685483017
HPC	2022-07	2022	979818.8490709974
HPC	2022-08	2022	982553.873608432
HPC	2022-09	2022	986620.4081295289
HPC	2022-10	2022	992007.5093484197
HPC	2022-11	2022	998704.3239775633
HPC	2022-12	2022	1006700.087987017
HPC	2023-01	2023	1000126.5418728326
HPC	2023-02	2023	995339.6710510837
HPC	2023-03	2023	992329.2366439503
HPC	2023-04	2023	991085.0753732176
HPC	2023-05	2023	991597.0989187469
HPC	2023-06	2023	993855.2932827842
HPC	2023-07	2023	997849.718160047
HPC	2023-08	2023	1003570.5063135403
HPC	2023-09	2023	1011007.8629560434
HPC	2023-10	2023	1020152.065137216
HPC	2023-11	2023	1030993.4611362692
HPC	2023-12	2023	1043522.4698601487
HPC	2024-01	2024	1035510.1077224882
HPC	2024-02	2024	1027797.7843346493
HPC	2024-03	2024	1020384.3310766582
HPC	2024-04	2024	1013268.5902330687
HPC	2024-05	2024	1006449.4148380955
HPC	2024-06	2024	999925.6685229158
HPC	2024-07	2024	993696.2253651121
HPC	2024-08	2024	987759.9697402274
HPC	2024-09	2024	982115.7961754058
HPC	2024-10	2024	976762.6092050908
HPC	2024-11	2024	971699.3232287543
HPC	2024-12	2024	966924.8623706297
IPC	2018-01	2018	10154128.768391725
IPC	2018-02	2018	10173017.977967365
IPC	2018-03	2018	10213047.741053347
IPC	2018-04	2018	10274169.17463924
IPC	2018-05	2018	10356333.508746123
IPC	2018-06	2018	10459492.08616523
IPC	2018-07	2018	10583596.36219718
IPC	2018-08	2018	10728597.904391836
IPC	2018-09	2018	10894448.392288748
IPC	2018-10	2018	11081099.617158199
IPC	2018-11	2018	11288503.481742853
IPC	2018-12	2018	11516612.0
IPC	2019-01	2019	11506993.606187092
IPC	2019-02	2019	11514408.707979152
IPC	2019-03	2019	11538817.865129627
IPC	2019-04	2019	11580181.72887522
IPC	2019-05	2019	11638461.041722808
IPC	2019-06	2019	11713616.63723689
IPC	2019-07	2019	11805609.43982752
IPC	2019-08	2019	11914400.464538746
IPC	2019-09	2019	12039950.816837536
IPC	2019-10	2019	12182221.692403205
IPC	2019-11	2019	12341174.376917351
IPC	2019-12	2019	12516770.245854255
IPC	2020-01	2020	12496774.77106247
IPC	2020-02	2020	12485776.535595058
IPC	2020-03	2020	12483754.689224618
IPC	2020-04	2020	12490688.4302018
IPC	2020-05	2020	12506557.005141668
IPC	2020-06	2020	12531339.708910337
IPC	2020-07	2020	12565015.884511879
IPC	2020-08	2020	12607564.922975503
IPC	2020-09	2020	12658966.263242994
