entity	year	december_month	anchor_observed_flag	hard_anchor_flag	anchor_policy	observed_stock_anchor_kNIS	provisional_dec_stock_kNIS	background_reconciliation_residual_kNIS	bridge_total_adjustment_kNIS	bridge_share_rule_used	bridge_effective_weight	bridge_scale_lambda_kNIS	bridge_block_start_month	bridge_block_end_month	post_reconciliation_dec_stock_kNIS	final_dec_stock_kNIS	status
HPC	2018	2018-12	True	True	raw_anchor_not_productive_adjusted	1163539.0	1163539.0	0.0	0.0	initial_background_backsolve			2018-01	2018-12	1163539.0	1163539.0	initial_backsolve_anchor
HPC	2019	2019-12	True	True	raw_anchor_not_productive_adjusted	1010641.0	1078288.680891856	-67647.68089185609	-69721.02797375011	block_background_schedule::hpc_operator_linear_backloaded	0.9702622416486079	-69721.02797375011	2019-01	2019-12	1010622.9979352085	1010622.9979352085	bridged_to_anchor
HPC	2020	2020-12	True	True	raw_anchor_not_productive_adjusted	987773.0	963173.5429023773	24599.457097622682	25437.84400497482	block_background_schedule::hpc_operator_linear_backloaded	0.9670417466516356	25437.844004974817	2020-01	2020-12	987861.4905354694	987861.4905354694	bridged_to_anchor
HPC	2021	2021-12	True	True	raw_anchor_not_productive_adjusted	998346.0	910606.2858185068	87739.71418149315	90969.90720044519	block_background_schedule::hpc_operator_linear_backloaded	0.964491631151887	90969.90720044517	2021-01	2021-12	998894.4404558503	998894.4404558503	bridged_to_anchor
HPC	2022	2022-12	True	True	raw_anchor_not_productive_adjusted	1006064.0	904302.4002130772	101761.5997869228	105508.01738465011	block_background_schedule::hpc_operator_linear_backloaded	0.964491631151887	105508.01738465008	2022-01	2022-12	1006700.087987017	1006700.087987017	bridged_to_anchor
HPC	2023	2023-12	True	True	raw_anchor_not_productive_adjusted	1044165.0	999106.5582138619	45058.44178613811	45765.04489512678	block_background_schedule::hpc_operator_linear_backloaded	0.9845602006813742	45765.04489512677	2023-01	2023-12	1043522.4698601487	1043522.4698601487	bridged_to_anchor
HPC	2024	2024-12	True	True	raw_anchor_not_productive_adjusted	966652.0	1005144.0488351791	-38492.04883517907	-39380.094195399535	block_background_schedule::hpc_operator_linear_backloaded	0.9774493845592628	-39380.094195399535	2024-01	2024-12	966924.8623706297	966924.8623706297	bridged_to_anchor
IPC	2018	2018-12	True	True	raw_anchor_not_productive_adjusted	11516612.0	11516612.0	0.0	0.0	initial_background_backsolve			2018-01	2018-12	11516612.0	11516612.0	initial_backsolve_anchor
IPC	2019	2019-12	True	True	raw_anchor_not_productive_adjusted	12513932.0	12249416.950805292	264515.04919470847	269626.1287302803	block_background_schedule::exact	0.9810438270221034	269626.12873028027	2019-01	2019-12	12516770.245854255	12516770.245854255	bridged_to_anchor
IPC	2020	2020-12	True	True	raw_anchor_not_productive_adjusted	12866069.0	12730431.173458913	135637.82654108666	136801.2031660106	block_background_schedule::exact	0.9914958597000634	136801.20316601056	2020-01	2020-12	12866079.200619077	12866079.200619077	bridged_to_anchor
IPC	2021	2021-12	True	True	raw_anchor_not_productive_adjusted	13209796.0	13086230.690439269	123565.30956073105	124870.66915314598	block_background_schedule::nearest_year_fallback:2020	0.9895463073813278	124870.66915314597	2021-01	2021-12	13210048.752918135	13210048.752918135	bridged_to_anchor
IPC	2022	2022-12	True	True	raw_anchor_not_productive_adjusted	13143607.0	13307217.433401166	-163610.43340116553	-165186.99151636823	block_background_schedule::exact	0.9904559184671242	-165186.9915163682	2022-01	2022-12	13143422.898023238	13143422.898023238	bridged_to_anchor
IPC	2023	2023-12	True	True	raw_anchor_not_productive_adjusted	13105194.0	13273686.638077183	-168492.6380771827	-171696.89766584014	block_background_schedule::exact	0.981337696649047	-171696.89766584014	2023-01	2023-12	13103437.072292086	13103437.072292086	bridged_to_anchor
IPC	2024	2024-12	True	True	raw_anchor_not_productive_adjusted	12829411.0	13001967.907165373	-172556.90716537274	-174569.97293338765	block_background_schedule::exact	0.9884684305428459	-174569.97293338762	2024-01	2024-12	12828869.484916251	12828869.484916251	bridged_to_anchor
SIPG	2018	2018-12	True	False	sipg_zero_cumulative_transfers_anchor	0.0	0.0		0.0					2018-12	0.0	0.0	soft_anchor_diagnostic_only
SIPG	2019	2019-12	True	False	sipg_zero_cumulative_transfers_anchor	0.0	0.0		0.0					2019-12	0.0	0.0	soft_anchor_diagnostic_only
SIPG	2020	2020-12	True	False	sipg_cumulative_transfers_service_year_anchor	4482.0	4482.0		0.0					2020-12	4482.0	4482.0	soft_anchor_diagnostic_only
SIPG	2021	2021-12	True	False	sipg_cumulative_transfers_service_year_anchor	1344111.0	1333597.1094869683		0.0					2021-12	1333597.1094869683	1333597.1094869683	soft_anchor_diagnostic_only
SIPG	2022	2022-12	True	False	sipg_cumulative_transfers_service_year_anchor	1813915.0	1674134.327762938		0.0					2022-12	1674134.327762938	1674134.327762938	soft_anchor_diagnostic_only
SIPG	2023	2023-12	False	False			1527954.4987104386		0.0					2023-12	1527954.4987104386	1527954.4987104386	propagated_no_anchor
SIPG	2024	2024-12	False	False			1394538.6050647062		0.0					2024-12	1394538.6050647062	1394538.6050647062	propagated_no_anchor
