month	K_HPC_kNIS	K_IPC_kNIS	K_SIPG_kNIS	K_HAIFA_TOTAL_kNIS
2018-01	1241493.923894206	10154128.768391725	0.0	11395622.69228593
2018-02	1232098.710677581	10173017.977967365	0.0	11405116.688644946
2018-03	1223176.6544015498	10213047.741053348	0.0	11436224.395454898
2018-04	1214723.858454283	10274169.17463924	0.0	11488893.033093523
2018-05	1206736.4622653532	10356333.508746125	0.0	11563069.971011478
2018-06	1199210.6409493966	10459492.08616523	0.0	11658702.727114627
2018-07	1192142.6049534257	10583596.36219718	0.0	11775738.967150604
2018-08	1185528.599707748	10728597.904391836	0.0	11914126.504099585
2018-09	1179364.9052804653	10894448.392288748	0.0	12073813.297569213
2018-10	1173647.836035502	11081099.6171582	0.0	12254747.453193702
2018-11	1168373.7402941375	11288503.481742851	0.0	12456877.22203699
2018-12	1163539.0	11516612.0	0.0	12680151.0
2019-01	1153417.671054322	11506993.606187092	0.0	12660411.277241414
2019-02	1142806.637433675	11514408.707979152	0.0	12657215.345412826
2019-03	1131709.8750242733	11538817.865129627	0.0	12670527.740153901
2019-04	1120131.330645034	11580181.72887522	0.0	12700313.059520254
2019-05	1108074.9222344744	11638461.041722808	0.0	12746535.963957282
2019-06	1095544.5390366986	11713616.63723689	0.0	12809161.176273588
2019-07	1082544.0417864595	11805609.43982752	0.0	12888153.48161398
2019-08	1069077.262893303	11914400.464538746	0.0	12983477.727432048
2019-09	1055148.006624795	12039950.816837536	0.0	13095098.823462332
2019-10	1040760.0492888312	12182221.692403205	0.0	13222981.741692036
2019-11	1025917.1394150292	12341174.376917353	0.0	13367091.516332382
2019-12	1010622.9979352084	12516770.245854257	0.0	13527393.243789464
2020-01	1003288.6415381292	12496774.77106247	0.0	13500063.4126006
2020-02	996972.3211765336	12485776.535595058	0.0	13482748.856771592
2020-03	991665.0326785896	12483754.689224618	0.0	13475419.721903207
2020-04	987357.8566362913	12490688.4302018	0.0	13478046.286838092
2020-05	984041.9575760524	12506557.005141668	0.0	13490598.962717721
2020-06	981708.583137623	12531339.708910337	0.0	13513048.292047959
2020-07	980349.0632612408	12565015.88451188	0.0	13545364.947773121
2020-08	979954.8093829337	12607564.922975505	0.0	13587519.732358439
2020-09	980517.313637892	12658966.263242994	0.0	13639483.576880885
2020-10	982028.1480718266	12719199.392056426	0.0	13701227.540128253
2020-11	984478.9638602312	12788243.84384616	0.0	13772722.807706391
2020-12	987861.4905354694	12866079.200619075	4482.0	13858422.691154545
2021-01	981094.6582327692	12845327.771693198	4448.004270342111	13830870.434196308
2021-02	975765.1544695063	12833630.414094836	4414.266396470696	13813809.834960813
2021-03	971860.7977343895	12830966.191991337	4380.784422563441	13807207.77414829
2021-04	969369.5113742253	12837314.217960935	4347.556407632839	13811031.285742793
2021-05	968279.3226775224	12852653.652880864	4314.580425413672	13825247.5559838
2021-06	968578.3619662346	12876963.705815615	4281.854564251338	13849823.922346102
2021-07	970254.8616955652	12910223.633905536	4249.3769269910335	13884727.872528091
2021-08	973297.1555617624	12952412.74225565	4217.1456308677725	13929927.04344828
2021-09	977693.677617832	13003510.383824743	138148.05880739723	14119352.120249972
2021-10	983432.9613971	13063495.959314704	405026.0131893743	14451954.933901178
2021-11	990503.6390445464	13132348.91706012	803842.6125983886	14926695.168703055
2021-12	998894.4404558504	13210048.752918135	1333597.1094869685	15542540.302860955
2022-01	991994.764824372	13183319.770536669	1329504.975129254	15504819.510490295
2022-02	986505.7856571244	13160474.809118949	1331467.0075963351	15478447.602372408
2022-03	982415.9084161858	13141503.698155196	1339437.2863574931	15463356.892928876
2022-04	979713.633922246	13126396.295686351	1353370.239186773	15459480.16879537
2022-05	978387.5575697155	13115142.488214849	1373220.63952111	15466750.685305675
2022-06	978426.3685483016	13107732.190615682	1398943.6038384938	15485102.163002478
2022-07	979818.8490709974	13104155.346047817	1430494.5890560232	15514468.784174837
2022-08	982553.873608432	13104401.925865907	1467829.3899476912	15554785.189422032
2022-09	986620.4081295287	13108461.929532347	1510904.13658176	15605986.474243635
2022-10	992007.5093484196	13116325.384529606	1559675.2917775714	15668008.185655598
2022-11	998704.3239775632	13127982.34627291	1614099.6485816482	15740786.318832122
2022-12	1006700.087987017	13143422.898023238	1674134.327762938	15824257.313773192
2023-01	1000126.5418728326	13117100.522493506	1661436.10866039	15778663.17302673
2023-02	995339.6710510836	13095002.870078215	1648834.2048688077	15739176.745998107
2023-03	992329.2366439505	13077116.419283802	1636327.8858417217	15705773.541769473
2023-04	991085.0753732176	13063427.700884769	1623916.426573819	15678429.202831805
2023-05	991597.0989187468	13053923.29768357	1611599.107558913	15657119.504161231
2023-06	993855.2932827842	13048589.844271742	1599375.214748233	15641820.35230276
2023-07	997849.718160047	13047414.026792211	1587244.03950903	15632507.784461288
2023-08	1003570.5063135404	13050382.582702896	1575204.878583496	15629157.967599932
2023-09	1011007.8629560434	13057482.300541464	1563257.034047996	15631747.197545504
2023-10	1020152.065137216	13068700.019691356	1551399.813272608	15640251.89810118
2023-11	1030993.4611362692	13084022.630148975	1539632.5288809715	15654648.620166216
2023-12	1043522.4698601488	13103437.072292086	1527954.4987104386	15674914.040862674
2024-01	1035510.1077224882	13073906.140453553	1516365.045772528	15625781.29394857
2024-02	1027797.7843346492	13045594.70097395	1504863.4982136805	15578255.98352228
2024-03	1020384.3310766582	13018499.631373351	1493449.1892763097	15532333.151726319
2024-04	1013268.5902330688	12992617.8173782	1482121.4572601493	15488007.864871418
2024-05	1006449.4148380955	12967946.15289904	1470879.645483895	15445275.21322103
2024-06	999925.6685229158	12944481.540008329	1459723.1022471343	15404130.31077838
2024-07	993696.225365112	12922220.88891831	1448651.1807925676	15364568.29507599
2024-08	987759.9697402274	12901161.117958942	1437663.2392685146	15326584.326967685
2024-09	982115.7961754058	12881299.15355588	1426758.6406917055	15290173.59042299
2024-10	976762.6092050908	12862631.930208538	1415936.7529103556	15255331.292323984
2024-11	971699.3232287545	12845156.390468212	1405196.9485675157	15222052.662264481
2024-12	966924.8623706296	12828869.484916251	1394538.6050647062	15190332.952351587
