entity	month	K_productive_kNIS
HPC	2018-01	1241493.923894206
HPC	2018-02	1232098.710677581
HPC	2018-03	1223176.6544015498
HPC	2018-04	1214723.858454283
HPC	2018-05	1206736.4622653532
HPC	2018-06	1199210.6409493966
HPC	2018-07	1192142.6049534257
HPC	2018-08	1185528.599707748
HPC	2018-09	1179364.9052804653
HPC	2018-10	1173647.836035502
HPC	2018-11	1168373.7402941375
HPC	2018-12	1163539.0
HPC	2019-01	1153417.671054322
HPC	2019-02	1142806.637433675
HPC	2019-03	1131709.8750242733
HPC	2019-04	1120131.330645034
HPC	2019-05	1108074.9222344744
HPC	2019-06	1095544.5390366986
HPC	2019-07	1082544.0417864595
HPC	2019-08	1069077.262893303
HPC	2019-09	1055148.006624795
HPC	2019-10	1040760.0492888312
HPC	2019-11	1025917.1394150292
HPC	2019-12	1010622.9979352084
HPC	2020-01	1003288.6415381292
HPC	2020-02	996972.3211765336
HPC	2020-03	991665.0326785896
HPC	2020-04	987357.8566362913
HPC	2020-05	984041.9575760524
HPC	2020-06	981708.583137623
HPC	2020-07	980349.0632612408
HPC	2020-08	979954.8093829337
HPC	2020-09	980517.313637892
HPC	2020-10	982028.1480718266
HPC	2020-11	984478.9638602312
HPC	2020-12	987861.4905354694
HPC	2021-01	981094.6582327692
HPC	2021-02	975765.1544695063
HPC	2021-03	971860.7977343895
HPC	2021-04	969369.5113742253
HPC	2021-05	968279.3226775224
HPC	2021-06	968578.3619662346
HPC	2021-07	970254.8616955652
HPC	2021-08	973297.1555617624
HPC	2021-09	977693.677617832
HPC	2021-10	983432.9613971
HPC	2021-11	990503.6390445464
HPC	2021-12	998894.4404558504
HPC	2022-01	991994.764824372
HPC	2022-02	986505.7856571244
HPC	2022-03	982415.9084161858
HPC	2022-04	979713.633922246
HPC	2022-05	978387.5575697155
HPC	2022-06	978426.3685483016
HPC	2022-07	979818.8490709974
HPC	2022-08	982553.873608432
HPC	2022-09	986620.4081295287
HPC	2022-10	992007.5093484196
HPC	2022-11	998704.3239775632
HPC	2022-12	1006700.087987017
HPC	2023-01	1000126.5418728326
HPC	2023-02	995339.6710510836
HPC	2023-03	992329.2366439505
HPC	2023-04	991085.0753732176
HPC	2023-05	991597.0989187468
HPC	2023-06	993855.2932827842
HPC	2023-07	997849.718160047
HPC	2023-08	1003570.5063135404
HPC	2023-09	1011007.8629560434
HPC	2023-10	1020152.065137216
HPC	2023-11	1030993.4611362692
HPC	2023-12	1043522.4698601488
HPC	2024-01	1035510.1077224882
HPC	2024-02	1027797.7843346492
HPC	2024-03	1020384.3310766582
HPC	2024-04	1013268.5902330688
HPC	2024-05	1006449.4148380955
HPC	2024-06	999925.6685229158
HPC	2024-07	993696.225365112
HPC	2024-08	987759.9697402274
HPC	2024-09	982115.7961754058
HPC	2024-10	976762.6092050908
HPC	2024-11	971699.3232287545
HPC	2024-12	966924.8623706296
