entity	month	K_productive_kNIS
IPC	2018-01	10154128.768391725
IPC	2018-02	10173017.977967365
IPC	2018-03	10213047.741053348
IPC	2018-04	10274169.17463924
IPC	2018-05	10356333.508746125
IPC	2018-06	10459492.08616523
IPC	2018-07	10583596.36219718
IPC	2018-08	10728597.904391836
IPC	2018-09	10894448.392288748
IPC	2018-10	11081099.6171582
IPC	2018-11	11288503.481742851
IPC	2018-12	11516612.0
IPC	2019-01	11506993.606187092
IPC	2019-02	11514408.707979152
IPC	2019-03	11538817.865129627
IPC	2019-04	11580181.72887522
IPC	2019-05	11638461.041722808
IPC	2019-06	11713616.63723689
IPC	2019-07	11805609.43982752
IPC	2019-08	11914400.464538746
IPC	2019-09	12039950.816837536
IPC	2019-10	12182221.692403205
IPC	2019-11	12341174.376917353
IPC	2019-12	12516770.245854257
IPC	2020-01	12496774.77106247
IPC	2020-02	12485776.535595058
IPC	2020-03	12483754.689224618
IPC	2020-04	12490688.4302018
IPC	2020-05	12506557.005141668
IPC	2020-06	12531339.708910337
IPC	2020-07	12565015.88451188
IPC	2020-08	12607564.922975505
IPC	2020-09	12658966.263242994
IPC	2020-10	12719199.392056426
IPC	2020-11	12788243.84384616
IPC	2020-12	12866079.200619075
IPC	2021-01	12845327.771693198
IPC	2021-02	12833630.414094836
IPC	2021-03	12830966.191991337
IPC	2021-04	12837314.217960935
IPC	2021-05	12852653.652880864
IPC	2021-06	12876963.705815615
IPC	2021-07	12910223.633905536
IPC	2021-08	12952412.74225565
IPC	2021-09	13003510.383824743
IPC	2021-10	13063495.959314704
IPC	2021-11	13132348.91706012
IPC	2021-12	13210048.752918135
IPC	2022-01	13183319.770536669
IPC	2022-02	13160474.809118949
IPC	2022-03	13141503.698155196
IPC	2022-04	13126396.295686351
IPC	2022-05	13115142.488214849
IPC	2022-06	13107732.190615682
IPC	2022-07	13104155.346047817
IPC	2022-08	13104401.925865907
IPC	2022-09	13108461.929532347
IPC	2022-10	13116325.384529606
IPC	2022-11	13127982.34627291
IPC	2022-12	13143422.898023238
IPC	2023-01	13117100.522493506
IPC	2023-02	13095002.870078215
IPC	2023-03	13077116.419283802
IPC	2023-04	13063427.700884769
IPC	2023-05	13053923.29768357
IPC	2023-06	13048589.844271742
IPC	2023-07	13047414.026792211
IPC	2023-08	13050382.582702896
IPC	2023-09	13057482.300541464
IPC	2023-10	13068700.019691356
IPC	2023-11	13084022.630148975
IPC	2023-12	13103437.072292086
IPC	2024-01	13073906.140453553
IPC	2024-02	13045594.70097395
IPC	2024-03	13018499.631373351
IPC	2024-04	12992617.8173782
IPC	2024-05	12967946.15289904
IPC	2024-06	12944481.540008329
IPC	2024-07	12922220.88891831
IPC	2024-08	12901161.117958942
IPC	2024-09	12881299.15355588
IPC	2024-10	12862631.930208538
IPC	2024-11	12845156.390468212
IPC	2024-12	12828869.484916251
