entity	month	K_productive_kNIS
SIPG	2018-01	0.0
SIPG	2018-02	0.0
SIPG	2018-03	0.0
SIPG	2018-04	0.0
SIPG	2018-05	0.0
SIPG	2018-06	0.0
SIPG	2018-07	0.0
SIPG	2018-08	0.0
SIPG	2018-09	0.0
SIPG	2018-10	0.0
SIPG	2018-11	0.0
SIPG	2018-12	0.0
SIPG	2019-01	0.0
SIPG	2019-02	0.0
SIPG	2019-03	0.0
SIPG	2019-04	0.0
SIPG	2019-05	0.0
SIPG	2019-06	0.0
SIPG	2019-07	0.0
SIPG	2019-08	0.0
SIPG	2019-09	0.0
SIPG	2019-10	0.0
SIPG	2019-11	0.0
SIPG	2019-12	0.0
SIPG	2020-01	0.0
SIPG	2020-02	0.0
SIPG	2020-03	0.0
SIPG	2020-04	0.0
SIPG	2020-05	0.0
SIPG	2020-06	0.0
SIPG	2020-07	0.0
SIPG	2020-08	0.0
SIPG	2020-09	0.0
SIPG	2020-10	0.0
SIPG	2020-11	0.0
SIPG	2020-12	4482.0
SIPG	2021-01	4448.004270342111
SIPG	2021-02	4414.266396470696
SIPG	2021-03	4380.784422563441
SIPG	2021-04	4347.556407632839
SIPG	2021-05	4314.580425413672
SIPG	2021-06	4281.854564251338
SIPG	2021-07	4249.3769269910335
SIPG	2021-08	4217.1456308677725
SIPG	2021-09	138148.05880739723
SIPG	2021-10	405026.0131893743
SIPG	2021-11	803842.6125983886
SIPG	2021-12	1333597.1094869685
SIPG	2022-01	1329504.975129254
SIPG	2022-02	1331467.0075963351
SIPG	2022-03	1339437.2863574931
SIPG	2022-04	1353370.239186773
SIPG	2022-05	1373220.63952111
SIPG	2022-06	1398943.6038384938
SIPG	2022-07	1430494.5890560232
SIPG	2022-08	1467829.3899476912
SIPG	2022-09	1510904.13658176
SIPG	2022-10	1559675.2917775714
SIPG	2022-11	1614099.6485816482
SIPG	2022-12	1674134.327762938
SIPG	2023-01	1661436.10866039
SIPG	2023-02	1648834.2048688077
SIPG	2023-03	1636327.8858417217
SIPG	2023-04	1623916.426573819
SIPG	2023-05	1611599.107558913
SIPG	2023-06	1599375.214748233
SIPG	2023-07	1587244.03950903
SIPG	2023-08	1575204.878583496
SIPG	2023-09	1563257.034047996
SIPG	2023-10	1551399.813272608
SIPG	2023-11	1539632.5288809715
SIPG	2023-12	1527954.4987104386
SIPG	2024-01	1516365.045772528
SIPG	2024-02	1504863.4982136805
SIPG	2024-03	1493449.1892763097
SIPG	2024-04	1482121.4572601493
SIPG	2024-05	1470879.645483895
SIPG	2024-06	1459723.1022471343
SIPG	2024-07	1448651.1807925676
SIPG	2024-08	1437663.2392685146
SIPG	2024-09	1426758.6406917055
SIPG	2024-10	1415936.7529103556
SIPG	2024-11	1405196.9485675157
SIPG	2024-12	1394538.6050647062
