entity	year	annual_total_kNIS	annual_from_months_kNIS	diff_kNIS	within_tolerance_flag
HPC	2018	30896.0	30896.000001	-1.0000003385357559e-06	True
HPC	2019	25025.0	25025.0	0.0	True
HPC	2020	49285.0	49285.0	0.0	True
HPC	2021	16742.659735	16742.659735	0.0	True
HPC	2022		0.0		False
HPC	2023	88947.62934099999	88947.629341	-1.4551915228366852e-11	True
HPC	2024	57526.002339	57526.002339	0.0	True
IPC	2018	1652370.0	1652369.9999999998	2.3283064365386963e-10	True
IPC	2019	1057256.0	1057256.0	0.0	True
IPC	2020	561379.0	561379.0	0.0	True
IPC	2021	577601.0	577601.0	0.0	True
IPC	2022	463410.0	463410.0	0.0	True
IPC	2023	496739.0	496739.0	0.0	True
IPC	2024	264230.0	264230.0	0.0	True
SIPG	2018	0.0	0.0	0.0	True
SIPG	2019	0.0	0.0	0.0	True
SIPG	2020	4482.0	4482.0	0.0	True
SIPG	2021	1339629.0	1339629.0	0.0	True
SIPG	2022	469804.0	469804.0	0.0	True
SIPG	2023	0.0	0.0	0.0	True
SIPG	2024	0.0	0.0	0.0	True
