port	company	operator_or_owner	month	K_PPE_real_spliced	K_PPE_real_raw	K_PIM_central	K_PIM_low	K_PIM_high	K_services_central	splice_flag	imputed_2022
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2017-12-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-01-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-02-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-03-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-04-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-05-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-06-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-07-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-08-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-09-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-10-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-11-01							0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2018-12-01	1163539.0	1163539.0					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-01-01	1150797.5	1150797.5					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-02-01	1138056.0	1138056.0					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-03-01	1125314.5	1125314.5					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-04-01	1112573.0	1112573.0					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-05-01	1099831.5	1099831.5					0	1
Haifa	Haifa Port Company Ltd.	Haifa-Legacy (HPC)	2019-06-01	1087090.0	1087090.0					0	1
