observation_date,ISRGFCFQDSMEI,NAEXKP04ILQ652S
1995-01-01,20926000000.000000,38493669000.00000
1995-04-01,22180000000.000000,39049508500.00000
1995-07-01,22321000000.000000,38795032600.00000
1995-10-01,23438000000.000000,40450577500.00000
1996-01-01,24870000000.000000,41967692700.00000
1996-04-01,25501000000.000000,42462614800.00000
1996-07-01,26850000000.000000,43767665200.00000
1996-10-01,26683000000.000000,43407700600.00000
1997-01-01,27400000000.000000,43458791700.00000
1997-04-01,27606000000.000000,43203320400.00000
1997-07-01,28587000000.000000,43517349000.00000
1997-10-01,28767000000.000000,43387751100.00000
1998-01-01,28525000000.000000,42917708700.00000
1998-04-01,28927000000.000000,42456675000.00000
1998-07-01,28880000000.000000,41936755200.00000
1998-10-01,30203000000.000000,41484281000.00000
1999-01-01,30577000000.000000,41604974400.00000
1999-04-01,31528000000.000000,43005167100.00000
1999-07-01,32116999999.999996,42364097200.00000
1999-10-01,32378999999.999996,42843115400.00000
2000-01-01,32654000000.000004,43494996000.00000
2000-04-01,32915000000.000000,43186738900.00000
2000-07-01,33481000000.000000,43435927000.00000
2000-10-01,34049999999.999996,43985898700.00000
2001-01-01,33709000000.000004,43450120100.00000
2001-04-01,33305999999.999996,43731756700.00000
2001-07-01,33729000000.000000,42766699500.00000
2001-10-01,32701000000.000000,42172443700.00000
2002-01-01,33177999999.999996,41724599700.00000
2002-04-01,34807000000.000000,42084509600.00000
2002-07-01,34594000000.000000,40812327400.00000
2002-10-01,34857000000.000000,40985715000.00000
2003-01-01,34927000000.000000,40918455600.00000
2003-04-01,32979000000.000000,39652602000.00000
2003-07-01,32345000000.000000,38746998900.00000
2003-10-01,32229999999.999996,38444928100.00000
2004-01-01,33503999999.999996,39688716300.00000
2004-04-01,33052000000.000000,38213491300.00000
2004-07-01,33343000000.000004,37742924900.00000
2004-10-01,34603000000.000000,40114644400.00000
2005-01-01,33961000000.000000,38733404600.00000
2005-04-01,36380000000.000000,41113745900.00000
2005-07-01,37421000000.000000,41811057700.00000
2005-10-01,37864000000.000000,41145463800.00000
2006-01-01,38233000000.000000,41706674800.00000
2006-04-01,38808000000.000000,42733360400.00000
2006-07-01,40236000000.000000,44700511500.00000
2006-10-01,40556000000.000000,44890671100.00000
2007-01-01,41416000000.000000,44814300600.00000
2007-04-01,42335000000.000000,46222120000.00000
2007-07-01,46254000000.000000,50290515500.00000
2007-10-01,44127000000.000000,48221617900.00000
2008-01-01,45003000000.000000,49958738500.00000
2008-04-01,44920000000.000000,50138103400.00000
2008-07-01,44192000000.000000,48896130600.00000
2008-10-01,43526000000.000000,48042014600.00000
2009-01-01,44481000000.000000,48019459600.00000
2009-04-01,44465000000.000000,47845039600.00000
2009-07-01,43507000000.000000,47144582700.00000
2009-10-01,44224000000.000000,48502591500.00000
2010-01-01,44663000000.000000,49033736800.00000
2010-04-01,46619000000.000000,50959810500.00000
2010-07-01,47951000000.000000,52760400900.00000
2010-10-01,50271000000.000000,55154891300.00000
2011-01-01,51539000000.000000,55817482200.00000
2011-04-01,52637000000.000000,57351282800.00000
2011-07-01,55206000000.000000,59139162000.00000
2011-10-01,56417000000.000000,60082925500.00000
2012-01-01,58665000000.000000,61878444300.00000
2012-04-01,59264000000.000000,61030095300.00000
2012-07-01,59232000000.000000,60742814900.00000
2012-10-01,59438000000.000000,60559660900.00000
2013-01-01,59312000000.000000,61383055200.00000
2013-04-01,59663000000.000000,61823442700.00000
2013-07-01,60525000000.000000,63231699300.00000
2013-10-01,60815000000.000000,62623337300.00000
2014-01-01,59905000000.000000,61796180700.00000
2014-04-01,60549000000.000000,62084874900.00000
2014-07-01,60210000000.000000,62109673100.00000
2014-10-01,63461000000.000000,63320329900.00000
2015-01-01,61793000000.000000,61441311000.00000
2015-04-01,62047000000.000000,61713356000.00000
2015-07-01,61849000000.000000,61838802000.00000
2015-10-01,62756000000.000000,63131552000.00000
2016-01-01,65805000000.000008,65433126000.00000
2016-04-01,68257000000.000008,68239783000.00000
2016-07-01,71002000000.000000,70678861000.00000
2016-10-01,70424000000.000000,70106869000.00000
2017-01-01,67650000000.000008,68447326700.00001
2017-04-01,70586000000.000000,70747734700.00000
2017-07-01,71201000000.000000,72377931500.00000
2017-10-01,72835000000.000000,73257226500.00000
2018-01-01,77266000000.000000,77347414400.00000
2018-04-01,77780000000.000000,76855462500.00000
2018-07-01,78334000000.000000,76035466200.00000
2018-10-01,80821000000.000000,77613875000.00000
2019-01-01,81091000000.000000,78721858300.00000
2019-04-01,80291000000.000000,78217713600.00000
2019-07-01,81819000000.000000,79326455600.00000
2019-10-01,82853000000.000000,81333198300.00000
2020-01-01,79595000000.000000,77180182700.00000
2020-04-01,74751000000.000000,71679964400.00000
2020-07-01,77673000000.000000,75170636200.00000
2020-10-01,84278000000.000000,83131611400.00000
2021-01-01,87104000000.000000,82624891900.00000
2021-04-01,90650000000.000000,84430746600.00000
2021-07-01,94082000000.000000,88558882900.00000
2021-10-01,99430000000.000000,92631756400.00000
2022-01-01,102310000000.000000,93351896900.00000
2022-04-01,106546000000.000000,94694092600.00000
2022-07-01,112109000000.000000,98912674100.00000
2022-10-01,112679000000.000000,97963800500.00000
2023-01-01,116552000000.000000,100887379900.00000
2023-04-01,119928000000.000000,102102001700.00000
2023-07-01,121489000000.000000,102399304100.00000
