year,asset_class,cost_open,additions,transfers,cap_interest,disposals,cost_close,accdep_open,depreciation_expense,accdep_disposals,accdep_close,net_ppe_close
2018,total,11001184,1590732,37107,61638,0,12690661,964417,209632,0,1174049,11516612
2018,wip,5784841,1455732,-15992,61638,0,7286219,0,0,0,0,7286219
2018,equip_it,67254,0,9431,0,0,76685,39293,11139,0,50432,26253
2018,bldg_landside,242549,0,645,0,0,243194,57896,11934,0,69830,173364
2018,marine,4402653,0,43023,0,0,4445676,808334,174533,0,982867,3462809
2018,land,503887,135000,0,0,0,638887,58894,12026,0,70920,567967
2019,total,12844800,990164,50404,67092,-1923,13950537,1212313,224640,-348,1436605,12513932
2019,wip,7286219,988719,-143253,67092,0,8198777,0,0,0,0,8198777
2019,equip_it,229048,553,39777,0,-39,269339,88027,20677,-34,108670,160669
2019,bldg_landside,244970,892,2894,0,0,248756,70499,13170,0,83669,165087
2019,marine,4445676,0,141682,0,0,4587358,982867,177797,0,1160664,3426694
2019,land,638887,0,9304,0,-1884,646307,70920,12996,-314,83602,562705
2020,total,13950537,534595,18673,26784,-4497,14526092,1436605,225217,-1799,1660023,12866069
2020,wip,8198777,362791,441,26784,0,8588793,0,0,0,0,8588793
2020,equip_it,269339,1019,6993,0,0,277351,108670,20597,0,129267,148084
2020,bldg_landside,248756,19,305,0,0,249080,83669,13233,0,96902,152178
2020,marine,4587358,0,10934,0,-4497,4593795,1160664,178334,-1799,1337199,3256596
2020,land,646307,170766,0,0,0,817073,83602,13053,0,96655,720418
2021,total,14633555,439792,-14574,137809,0,15196582,NA,NA,NA,1986786,13209796
2022,total,15196582,444480,0,18930,-13260,15646732,1986786,521974,-5635,2503125,13143607
2022,wip,4252974,163334,-4040986,0,0,375322,0,0,0,0,375322
2022,equip_it,440558,10261,0,0,-4002,446817,NA,NA,NA,224314,222503
2022,bldg_landside,270248,1113,0,0,0,271361,NA,NA,NA,125479,145882
2022,marine,9266754,44626,4040986,18930,0,13371296,NA,NA,NA,2002705,11368591
2022,land,966048,225146,0,0,-9258,1181936,NA,NA,NA,150627,1031309
2023,total,15646732,479854,0,16885,-22630,16120841,2503125,530952,-18430,3015647,13105194
2023,wip,375322,393515,-92495,0,0,676342,0,0,0,0,676342
2023,equip_it,446817,76731,9782,0,-22630,510700,224314,24779,-18430,230663,280037
2023,bldg_landside,271361,2383,3825,0,0,277569,125479,14217,0,139696,137873
2023,marine,13371296,7001,78888,16885,0,13474070,2002705,459319,0,2462024,11012046
2023,land,1181936,224,0,0,0,1182160,150627,32637,0,183264,998896
2024,total,16120841,237623,0,26607,-5462,16379609,3015647,535800,-1249,3550198,12829411
2024,wip,676342,237623,-76066,0,0,837899,0,0,0,0,837899
2024,equip_it,510700,0,5049,0,-5462,510287,230663,26903,-1249,256317,253970
2024,bldg_landside,277569,0,17760,0,0,295329,139696,14519,0,154215,141114
2024,marine,13474070,0,53257,26607,0,13553934,2462024,461723,0,2923747,10630187
2024,land,1182160,0,0,0,0,1182160,183264,32655,0,215919,966241
