entity	source_group	row_type	n_rows
HPC	HPC_2024_AR	dep_policy	8
HPC	HPC_2024_AR	ppe_rollforward	150
HPC	HPC_2024_AR	timing_policy	1
HPC	HPC_BIG_PROJECTS	event	11
HPC	HPC_FINANCIALS_RAW	annual_summary	41
IPC	IPC_2024_AR	annual_summary	3
IPC	IPC_2024_AR	dep_policy	18
IPC	IPC_RAW_TABLE1	ppe_rollforward	392
IPC	IPC_RAW_TABLE2	annual_summary	35
SIPG	SIPG_BAYPORT_CIP	cip_flow	49
SIPG	SIPG_BAYPORT_SIGNALS	signal	12
SIPG	SIPG_K_REDESIGN_CLEAN	annual_summary	2
SIPG	SIPG_K_REDESIGN_CLEAN	classification	1
SIPG	SIPG_K_REDESIGN_CLEAN	dep_policy	96
SIPG	SIPG_K_REDESIGN_CLEAN	ppe_rollforward	55
SIPG	SIPG_K_REDESIGN_CLEAN	timing_policy	1
