port,company,operator_or_owner,month,year,imputed_2022,flows_imputed_annual,gap_years_from_prev_annual,K_big_central,K_PIM_real_central,gap_PathB_minus_PIM_central,K_bg_low,K_bg_central,K_bg_high,K_PathB_low,K_PathB_central,K_PathB_high,lumpy_event_month,num_projects_commissioned,K_PIM_lin_low,K_PIM_lin_central,K_PIM_lin_high,K_PIM_real_low,K_PIM_real_high,flows_imputed_flag,gap_years_from_prev
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2018-12-01,2018,0,False,0,252059.43749244767,1171216.3579983236,-4.656612873077393e-10,919156.9205058756,919156.9205058756,919156.9205058756,1171216.3579983232,1171216.3579983232,1171216.3579983232,0,0,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,False,0.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-01-01,2019,0,False,1,251435.46558494758,,,917775.8003338124,915729.439941536,913632.5907826173,1169211.2659187599,1167164.9055264837,1165068.056367565,0,0,1169219.4777684116,1167230.014365784,1165240.5509631569,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-02-01,2019,0,False,1,250813.1236831036,,,916396.7554253817,912314.7402449225,908141.4634627921,1167209.8791084853,1163127.863928026,1158954.5871458957,0,0,1167222.5975384994,1163243.6707332449,1159264.7439279903,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-03-01,2019,0,False,1,250192.40728201903,,,915152.9476153309,909241.4411399481,903210.107723256,1165345.35489735,1159433.8484219671,1153402.5150052751,0,0,1165418.9637824495,1159643.1022909512,1153867.2407994526,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-04-01,2019,0,False,1,249573.31188992382,,,913777.8437910798,905850.9347984601,897781.6217562498,1163351.1556810036,1155424.2466883839,1147354.9336461737,0,0,1163422.0835525375,1155656.7586584117,1147891.433764286,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-05-01,2019,0,False,1,248955.83302813448,,,912449.0655064886,902581.8379258045,892559.3148927293,1161404.898534623,1151537.670953939,1141515.1479208637,0,0,1161489.618813913,1151799.006755954,1142108.3946979956,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-06-01,2019,0,False,1,248339.96623101426,,,911078.0245207365,899216.1648419176,887194.8424691113,1159417.9907517508,1147556.131072932,1135534.8087001257,0,0,1159492.7385840009,1147812.6631234146,1136132.5876628289,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-07-01,2019,0,False,1,247725.70704593335,,,909753.1722026623,895971.0119813313,882034.1178532043,1157478.8792485958,1143696.7190272645,1129759.8248991375,0,0,1157560.2738453762,1143954.9112209573,1130349.5485965386,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-08-01,2019,0,False,1,247113.0510332293,,,908386.1820514747,892629.9902675567,876732.9041153993,1155499.233084704,1139743.041300786,1123845.9551486287,0,0,1155563.3936154642,1139968.5675884178,1124373.7415613718,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-09-01,2019,0,False,1,246501.99376616755,,,907021.2459322272,889301.4270216805,871463.5518062244,1153523.2396983947,1135803.420787848,1117965.545572392,0,0,1153566.513385552,1135982.2239558783,1118397.934526205,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-10-01,2019,0,False,1,245892.53083090202,,,905702.2928152904,886092.0551457547,866394.3345515842,1151594.8236461924,1131984.5859766568,1112286.8653824863,0,0,1151634.048646927,1132124.4720534207,1112614.8954599148,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-11-01,2019,0,False,1,245284.65782643575,,,904341.3894933608,882787.8714645219,861187.119257169,1149626.0473197964,1128072.5292909576,1106471.7770836046,0,0,1149637.168417015,1128138.1284208817,1106639.088424748,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-12-01,2019,0,False,1,244678.37036458202,1124280.376518424,0.0,903026.333313808,879602.0061538419,856177.6789938754,1147704.70367839,1124280.376518424,1100856.0493584573,0,0,1147704.7036783907,1124280.376518424,1100856.0493584578,1147704.7036783907,1100856.0493584578,False,1.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-01-01,2020,0,False,1,244073.66406992511,,,903820.1572082263,878567.9101999253,853354.5712168833,1147893.8212781514,1122641.5742698505,1097428.2352868083,0,0,1147896.4235005567,1122646.9387783958,1097476.8151646464,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-02-01,2020,0,False,1,243470.5345797816,,,904614.678929888,877535.0299713418,850540.7721823589,1148085.2135096695,1121005.5645511234,1094011.3067621405,0,0,1148088.1433227228,1121013.5010383676,1094097.5809708347,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-03-01,2020,0,False,1,242868.9775441615,,,905358.5734769024,876569.8865153665,847916.9086474464,1148227.551021064,1119438.8640595279,1090785.886191608,0,0,1148267.4941241038,1119485.4463783414,1090936.3618863015,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-04-01,2020,0,False,1,242268.98862572957,,,906154.4475750643,875539.3552448272,845121.0394280368,1148423.4362007938,1117808.343870557,1087390.0280537663,0,0,1148459.2139462698,1117852.0086383133,1087557.12769249,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-05-01,2020,0,False,1,241670.56349976707,,,906925.3144494132,874543.2204753439,842424.1374968617,1148595.8779491803,1116213.7839751109,1084094.7009966287,0,0,1148644.7492580437,1116271.262438286,1084286.9010533176,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-06-01,2020,0,False,1,241073.697854133,,,907722.565823491,873515.0718359688,839646.3798042216,1148796.263677624,1114588.7696901017,1080720.0776583545,0,0,1148836.4690802095,1114637.824698258,1080907.666859506,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-07-01,2020,0,False,1,240478.38738922618,,,908494.7666982573,872521.2401715083,836966.9482937591,1148973.1540874834,1112999.6275607345,1077445.3356829854,0,0,1149022.0043919832,1113057.0784982308,1077637.4402203336,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-08-01,2020,0,False,1,239884.62781794678,,,909293.397731656,871495.4686545549,834207.1848021551,1149178.0255496027,1111380.0964725018,1074091.812620102,0,0,1149213.7242141492,1111423.6407582026,1074258.2060265222,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-09-01,2020,0,False,1,239292.4148656586,,,910092.7308181091,870470.9030763875,831456.5211854582,1149385.1456837677,1109763.317942046,1070748.9360511168,0,0,1149405.4440363152,1109790.2030181745,1070878.9718327106,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-10-01,2020,0,False,1,238701.74427015084,,,910866.9479955996,869480.5348797039,828803.2246834674,1149568.6922657504,1108182.2791498548,1067504.9689536183,0,0,1149590.9793480886,1108209.456818147,1067608.7451935385,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-11-01,2020,0,False,1,238112.61178160066,,,911667.6643438182,868458.3381397717,826070.3797534879,1149780.276125419,1106570.9499213723,1064182.9915350885,0,0,1149782.6991702546,1106576.0190781192,1064229.5109997268,,,,
