project_id	project_name_short	project_type	event_type	asset_class	investment_year	_commission_month	_commission_source	_timing_class	_cost_real	_cost_source	_life_years_used	_life_source	_pathb_flag	_excluded	_exclude_reason
HPC_Kishon_East_Reactivate_2020	Reactivation of Kishon East general-cargo terminal	reactivation_and_infrastructure	addition	berth_infrastructure + yard + gate + IT (equipment redeployed)	2020	2020-11-01	commissioning	in_sample		deflated_nominal	20.0	numeric	1	1	missing_cost
HPC_Kishon_West_Rehab_2021	Structural rehabilitation of Kishon West pier	berth_rehabilitation	addition	berth_infrastructure	2021	2025-12-01	expected_end	post_sample	28632.24706254838	deflated_nominal	20.0	numeric	1	1	post_sample
HPC_Kishon_MobileCrane_2023	Mobile crane & heavy equipment procurement	equipment_procurement	addition	mobile_crane + heavy_equipment	2023	2026-06-01	expected_end	post_sample	31241.994807555322	deflated_nominal	8.0	numeric	1	1	post_sample
HPC_5STS_4Gantry_Mod_2018	5 STS cranes (Kishon) + Modify 4 yard cranes	capital_equipment_upgrade	addition_and_upgrade	ship_to_shore_cranes + yard_gantry_cranes	2018	2024-12-01	expected_end	in_sample		deflated_nominal	33.0	numeric	1	1	missing_cost
HPC_Temporary_Passenger_Terminal_2022	Temporary cruise terminal (structural issues)	temporary_facility (leased)	operating_project_not_PPE	leased_operating_equipment (not PPE)	2022	2022-04-01	commissioning	in_sample	8025.600041653962	deflated_nominal	28.0	default	0	1	not_relevant_for_pathB
HPC_Sea_Department_Transfer_2020	Transfer of Marine Dept to IPC	business_divestiture	disposal	service_fleet + infrastructure + goodwill	2020	2020-11-01	commissioning	in_sample	177726.27308229878	deflated_nominal	28.0	default	1	1	excluded_event_type
HPC_Waterfront_Relocation_2024	Waterfront redevelopment: land swap & new port infrastructure	relocation_redevelopment	relocation	investment_real_estate + replacement_infrastructure	2024	2024-07-01	commissioning	in_sample	121381.96056077634	deflated_nominal	20.0	parsed_from_string	1	1	event_type_not_in_include_set
HPC_CarmelTerminal_Expansion_2010	New Carmel container terminal (Phase I)	new_terminal	addition	berth_infrastructure + STS & RTG cranes + gate/IT	2010	2010-10-01	commissioning	pre_sample	221451.62195648896	deflated_nominal	40.0	parsed_from_string	1	0	
HPC_New_Tug_Ilan1_2011	"Purchase tugboat ""Ilan 1"" (70t BP)"	equipment_procurement	addition	service_fleet (ASD tugboat)	2011	2011-10-01	commissioning	pre_sample	45296.9226729182	deflated_nominal	25.0	parsed_from_string	1	0	
HPC_New_Tug_Elad_2015	"Purchase tugboat ""Elad"" (75t BP)"	equipment_procurement	addition	service_fleet (ASD tugboat)	2015	2015-11-01	commissioning	pre_sample	43283.72610967739	deflated_nominal	25.0	parsed_from_string	1	0	
HPC_KishonWest_NewCranes_2023	Five new general cargo cranes	capital_equipment_procurement	addition	berth_cranes (Gottwald/Kocks)	2023	2023-09-01	commissioning	in_sample	85360.6415506976	deflated_nominal	33.0	numeric	1	0	
