port	company	operator_or_owner	period_type	financial_year	period_end_date	report_year	language	currency	units_scale	ppe_net_nominal	ppe_gross_nominal	accumulated_depreciation_nominal	additions_purchases_note_nominal	disposals_note_nominal	depreciation_expense_note_nominal	acq_fixed_assets_net_cf_nominal	purchase_intangibles_cf_nominal	proceeds_disposal_fixed_assets_cf	investing_grants_or_receipts_cf	source_pdf_filename	page_ref_bs	page_ref_note_ppe	page_ref_cf	accounting_basis_note	break_or_basis_change_flag	comments	source_filename
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2018.0	2018-12-31	2019	EN	NIS	Thousands	1163539	1933804.0	770265.0	31938.0	-9449.0	70372.0	-30896.0	-1113.0	1759.0		files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	8-9	51	12-13	As reported		2019 English FS; 2018 comparatives from Note 8.	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2019.0	2019-12-31	2019	EN	NIS	Thousands	1010641	1792687.0	782046.0	25726.0	-16576.0	67739.0	-25025.0	-1763.0	1688.0		files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	8-9	50-51	12-13	As reported		"Balance sheet 'Fixed assets, net'; CF investing; Note 8 totals."	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2020.0	2020-12-31	2021	HE	NIS	Thousands	987773	1822948.0	835175.0	49285.0	"-17,443"	70474.0	-49285.0	-4316.0	1160.0		"חברת נמל חיפה בע""מ חיפה נמל הדוח השנתי לשנת 2020.pdf"	8-9	46-47	12-13	As reported		Note 8 disposals (cost) total unreadable in provided crop; left blank.	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2022.0		2022	EN	NIS	Thousands	1006064	1944641.0	938577.0										2024 FS Note 8 p.48 (opening balances Jan 1 2023 => YE 2022)				2022 gross & accumulated from 2023 opening balances; note additions/disposals not available yet	Haifa Port Company Ltd.pdf (2024 EN FS)
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2021.0	2021-12-31	2022	HE	NIS	Thousands	998346	"1,884,083"	"885,737"	"75,222"	"-12,535"	72280.0	-75222.0	-2642.0	292.0		"חברת נמל חיפה בע""מ הדוח השנתי לשנת 2021.pdf"	8-9		12-13	As reported		Annual 2021; Note 8 not captured here.	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	interim_Q1	2022.0	2022-03-31	2022	HE	NIS	Thousands	999593					16875.0	-16040.0	-255.0	18.0		companies_data_and_reports_haifaport_financial_report_2022_q1.pdf	7-8		11-12	As reported (YTD)		Interim Q1 2022 (YTD figures for depn and CF investing).	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	interim_Q2	2022.0	2022-06-30	2022	HE	NIS	Thousands	1001387					34147.0	-32768.0	-863.0	56.0		companies_data_and_reports_haifaport_financial_report_2022_q2.pdf	7-8		13-14	As reported (YTD)		Interim Q2 2022 (YTD).	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	interim_Q3	2022.0	2022-09-30	2022	HE	NIS	Thousands	999129					51595.0	-45675.0	-1655.0	232.0		companies_data_and_reports_haifaport_financial_report_2022_q3.pdf	7-8		13-14	As reported (YTD)		Interim Q3 2022 (YTD).	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2023.0	2023-12-31	2024	EN	NIS	Thousands	1044165	1875652.0	831486.0	95565.0	-148472.0	68663.0	-95529.0	-1747.0			Haifa Port Company Ltd.pdf	4-5	48	8-9	As reported		CapEx presented net in CF; no separate cash proceeds line in 2023 CF.	
Haifa	Haifa Port Company Ltd.	"Legacy operator (pre-privatization), state-owned until 2022; privatized thereafter"	annual	2024.0	2024-12-31	2024	EN	NIS	Thousands	966652	1813380.0	846728.0	57732.0	-147669.0	63266.0	-61123.0	-2337.0		97436.0	Haifa Port Company Ltd.pdf	4-5	47	8-9	As reported		CF includes 2024 investing inflow from ILA; CapEx presented net.	
