series_id	entity	level	freq	port	terminal	year	month	month_index	delta_scenario	K	L	KL	log_KL
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	1	201801	central	11395622.69228593	2240.986068059386	5085.0930555557325	8.534068608326177
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	2	201802	central	11405116.688644946	2411.8690503993957	4728.746233862201	8.461415379512811
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	3	201803	central	11436224.395454898	2331.2977209099176	4905.518627192447	8.498116100801912
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	4	201804	central	11488893.033093523	2607.434748152321	4406.205386821195	8.390769141532571
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	5	201805	central	11563069.971011478	2441.777888319351	4735.512605927566	8.462845258668223
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	6	201806	central	11658702.727114627	2280.578284747295	5112.169490119694	8.539379150851973
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	7	201807	central	11775738.967150604	2069.6379881526027	5689.75783908076	8.646422967177942
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	8	201808	central	11914126.504099583	2077.262667407408	5735.4934891163175	8.654429074530427
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	9	201809	central	12073813.297569212	2103.2224830146847	5740.625823028971	8.655323511772707
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	10	201810	central	12254747.453193702	2250.076686871537	5446.36879475982	8.602704389405808
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	11	201811	central	12456877.22203699	2183.2360576730875	5705.69415902449	8.649219930446364
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2018	12	201812	central	12680151.0	2209.1018377744954	5739.957653004491	8.655207111761047
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	1	201901	central	12660411.277241414	2091.535512864611	6053.165819738556	8.708336690153592
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	2	201902	central	12657215.345412826	1969.2354963607736	6427.476738462144	8.768337320068873
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	3	201903	central	12670527.7401539	2385.350112580847	5311.810485734075	8.577688013888457
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	4	201904	central	12700313.059520254	2138.999452856638	5937.501780357616	8.689043748192555
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	5	201905	central	12746535.963957282	2054.9240596462973	6202.923122205923	8.732775931249035
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	6	201906	central	12809161.176273588	2102.2422869614097	6093.094623640173	8.714911380021256
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	7	201907	central	12888153.48161398	2082.772378894249	6187.979835058282	8.730363952970498
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	8	201908	central	12983477.727432048	1875.321245850808	6923.335271841182	8.842652908198328
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	9	201909	central	13095098.823462332	1856.6936820398937	7052.912901106627	8.861195987933945
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2019	10	201910	central	13222981.741692036	2423.7757766911327	5455.53011497774	8.60438507319315
