month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2018-01	0.0	ENTRANT		
2018-02	0.0	ENTRANT		
2018-03	0.0	ENTRANT		
2018-04	0.0	ENTRANT		
2018-05	0.0	ENTRANT		
2018-06	0.0	ENTRANT		
2018-07	0.0	ENTRANT		
2018-08	0.0	ENTRANT		
2018-09	0.0	ENTRANT		
2018-10	0.0	ENTRANT		
2018-11	0.0	ENTRANT		
2018-12	0.0	ENTRANT		
2019-01	0.0	ENTRANT		
2019-02	0.0	ENTRANT		
2019-03	0.0	ENTRANT		
2019-04	0.0	ENTRANT		
2019-05	0.0	ENTRANT		
2019-06	0.0	ENTRANT		
2019-07	0.0	ENTRANT		
2019-08	0.0	ENTRANT		
2019-09	0.0	ENTRANT		
2019-10	0.0	ENTRANT		
2019-11	0.0	ENTRANT		
2019-12	0.0	ENTRANT		
2020-01	0.0	ENTRANT		
2020-02	0.0	ENTRANT		
2020-03	0.0	ENTRANT		
2020-04	0.0	ENTRANT		
2020-05	0.0	ENTRANT		
2020-06	0.0	ENTRANT		
2020-07	0.0	ENTRANT		
2020-08	0.0	ENTRANT		
2020-09	0.0	ENTRANT		
2020-10	0.0	ENTRANT		
2020-11	0.0	ENTRANT		
2020-12	4482.0	ENTRANT		
2021-01	4448.004270342111	ENTRANT		
2021-02	4414.266396470696	ENTRANT		
2021-03	4380.784422563441	ENTRANT		
2021-04	4347.556407632839	ENTRANT		
2021-05	4314.580425413672	ENTRANT		
2021-06	4281.854564251338	ENTRANT		
2021-07	4249.3769269910335	ENTRANT	64.71622172807184	65.661696766636
2021-08	4217.1456308677725	ENTRANT	72.1349452524899	58.46189549471112
2021-09	138148.05880739723	ENTRANT	17.58060693871951	7857.980062288982
2021-10	405026.0131893743	ENTRANT	183.7185616917922	2204.6003923590984
2021-11	803842.6125983886	ENTRANT	197.9545455351427	4060.7433914958174
2021-12	1333597.1094869685	ENTRANT	228.06834521519625	5847.357327158397
2022-01	1329504.975129254	ENTRANT	187.5910646644946	7087.251077267805
2022-02	1331467.0075963351	ENTRANT	214.5251368471761	6206.578059637126
2022-03	1339437.2863574931	ENTRANT	303.69498132517356	4410.468953134676
2022-04	1353370.239186773	ENTRANT	489.04028388067235	2767.400322213539
2022-05	1373220.63952111	ENTRANT	787.7878263608577	1743.1351355918089
2022-06	1398943.6038384938	ENTRANT	693.88291036455	2016.109033588277
2022-07	1430494.5890560232	ENTRANT	952.4833452957592	1501.8578499258008
2022-08	1467829.3899476912	ENTRANT	1040.6891428118306	1410.4398033612356
2022-09	1510904.13658176	ENTRANT	1178.3794149236296	1282.1881623582851
2022-10	1559675.2917775714	ENTRANT	1242.8611416485192	1254.9071167426098
2022-11	1614099.6485816482	ENTRANT	1614.7611547116528	999.5903380954674
2022-12	1674134.327762938	ENTRANT	1724.6602165510285	970.7038590539695
2023-01	1661436.10866039	ENTRANT	1721.8102397792118	964.9356649623808
2023-02	1648834.2048688077	ENTRANT	1471.2412212814386	1120.7096300854641
2023-03	1636327.8858417217	ENTRANT	1863.4934023427188	878.0969569221911
2023-04	1623916.426573819	ENTRANT	1912.70075028627	849.0175090540278
2023-05	1611599.107558913	ENTRANT	1739.3417787892106	926.5568890553404
2023-06	1599375.214748233	ENTRANT	1651.1912002618865	968.6190275811576
2023-07	1587244.03950903	ENTRANT	1691.889227915888	938.1489126591565
2023-08	1575204.878583496	ENTRANT	1396.860072845916	1127.6754982152409
2023-09	1563257.034047996	ENTRANT	1620.5293722598851	964.6582535359906
2023-10	1551399.813272608	ENTRANT	1184.481713845723	1309.771012197049
2023-11	1539632.5288809715	ENTRANT	980.4767383144722	1570.2897057279895
2023-12	1527954.4987104386	ENTRANT	828.0120598551559	1845.3287974787752
2024-01	1516365.045772528	ENTRANT	915.6492450584882	1656.054492433583
2024-02	1504863.4982136805	ENTRANT	1067.659318224067	1409.4978356175022
2024-03	1493449.1892763097	ENTRANT	1300.4740013872986	1148.3883473896074
2024-04	1482121.4572601493	ENTRANT	775.2091960524247	1911.8987039982414
2024-05	1470879.645483895	ENTRANT	1208.3167484396931	1217.296414523138
2024-06	1459723.1022471343	ENTRANT	745.9713836664157	1956.8084436063232
2024-07	1448651.1807925676	ENTRANT	755.7480659589638	1916.8440463746122
2024-08	1437663.2392685146	ENTRANT	876.5610310273994	1640.1176739324799
2024-09	1426758.6406917055	ENTRANT	853.4760131009494	1671.703268505272
2024-10	1415936.7529103556	ENTRANT	947.3429764828416	1494.6400491269185
2024-11	1405196.9485675157	ENTRANT	897.3431716604614	1565.9526844867073
2024-12	1394538.6050647062	ENTRANT	921.5288489409972	1513.288061103331
2018-01	11395622.69228593	HAIFA_TOTAL	2240.986068059386	5085.0930555557325
2018-02	11405116.688644946	HAIFA_TOTAL	2411.8690503993957	4728.746233862201
2018-03	11436224.395454898	HAIFA_TOTAL	2331.2977209099176	4905.518627192447
2018-04	11488893.033093523	HAIFA_TOTAL	2607.434748152321	4406.205386821195
2018-05	11563069.971011478	HAIFA_TOTAL	2441.777888319351	4735.512605927566
2018-06	11658702.727114627	HAIFA_TOTAL	2280.578284747295	5112.169490119694
2018-07	11775738.967150604	HAIFA_TOTAL	2069.6379881526027	5689.75783908076
2018-08	11914126.504099583	HAIFA_TOTAL	2077.262667407408	5735.4934891163175
2018-09	12073813.297569212	HAIFA_TOTAL	2103.2224830146847	5740.625823028971
2018-10	12254747.453193702	HAIFA_TOTAL	2250.076686871537	5446.36879475982
2018-11	12456877.22203699	HAIFA_TOTAL	2183.2360576730875	5705.69415902449
2018-12	12680151.0	HAIFA_TOTAL	2209.1018377744954	5739.957653004491
2019-01	12660411.277241414	HAIFA_TOTAL	2091.535512864611	6053.165819738556
