month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2018-01	0.0	ENTRANT	0.0	
2018-02	0.0	ENTRANT	0.0	
2018-03	0.0	ENTRANT	0.0	
2018-04	0.0	ENTRANT	0.0	
2018-05	0.0	ENTRANT	0.0	
2018-06	0.0	ENTRANT	0.0	
2018-07	0.0	ENTRANT	0.0	
2018-08	0.0	ENTRANT	0.0	
2018-09	0.0	ENTRANT	0.0	
2018-10	0.0	ENTRANT	0.0	
2018-11	0.0	ENTRANT	0.0	
2018-12	0.0	ENTRANT	0.0	
2019-01	0.0	ENTRANT	0.0	
2019-02	0.0	ENTRANT	0.0	
2019-03	0.0	ENTRANT	0.0	
2019-04	0.0	ENTRANT	0.0	
2019-05	0.0	ENTRANT	0.0	
2019-06	0.0	ENTRANT	0.0	
2019-07	0.0	ENTRANT	0.0	
2019-08	0.0	ENTRANT	0.0	
2019-09	0.0	ENTRANT	0.0	
2019-10	0.0	ENTRANT	0.0	
2019-11	0.0	ENTRANT	0.0	
2019-12	0.0	ENTRANT	0.0	
2020-01	0.0	ENTRANT	0.0	
2020-02	0.0	ENTRANT	0.0	
2020-03	0.0	ENTRANT	0.0	
2020-04	0.0	ENTRANT	0.0	
2020-05	0.0	ENTRANT	0.0	
2020-06	0.0	ENTRANT	0.0	
2020-07	0.0	ENTRANT	0.0	
2020-08	0.0	ENTRANT	0.0	
2020-09	0.0	ENTRANT	0.0	
2020-10	0.0	ENTRANT	0.0	
2020-11	0.0	ENTRANT	0.0	
2020-12	4482.0	ENTRANT	0.0	
2021-01	4448.004270342111	ENTRANT	0.0	
2021-02	4414.266396470696	ENTRANT	0.0	
2021-03	4380.784422563441	ENTRANT	0.0	
2021-04	4347.556407632839	ENTRANT	0.0	
2021-05	4314.580425413672	ENTRANT	0.0	
2021-06	4281.854564251338	ENTRANT	0.0	
2021-07	4249.3769269910335	ENTRANT	55.33518376668972	76.79340046845644
2021-08	4217.1456308677725	ENTRANT	55.33518376668972	76.21092664386126
2021-09	138148.05880739723	ENTRANT	55.33518376668972	2496.5681760427915
2021-10	405026.0131893743	ENTRANT	199.38922502044775	2031.3335043447714
2021-11	803842.6125983886	ENTRANT	199.38922502044775	4031.5248354867367
2021-12	1333597.1094869685	ENTRANT	199.38922502044775	6688.411118254788
2022-01	1329504.975129254	ENTRANT	504.02463675491975	2637.777755645149
2022-02	1331467.0075963351	ENTRANT	504.02463675491975	2641.6704869205755
2022-03	1339437.2863574931	ENTRANT	504.02463675491975	2657.4837590901134
2022-04	1353370.239186773	ENTRANT	866.6407682067698	1561.627711083949
2022-05	1373220.63952111	ENTRANT	866.6407682067698	1584.5327036282195
2022-06	1398943.6038384938	ENTRANT	866.6407682067698	1614.2139340307644
2022-07	1430494.5890560232	ENTRANT	961.8967026383502	1487.1603001989438
2022-08	1467829.3899476912	ENTRANT	961.8967026383502	1525.97403226525
2022-09	1510904.13658176	ENTRANT	961.8967026383502	1570.7550846546806
2022-10	1559675.2917775714	ENTRANT	1144.2234321950748	1363.0863063042634
2022-11	1614099.6485816482	ENTRANT	1144.2234321950748	1410.650755058533
2022-12	1674134.327762938	ENTRANT	1144.2234321950748	1463.1183741371945
2023-01	1661436.10866039	ENTRANT	1467.845745907903	1131.8874025368013
2023-02	1648834.2048688077	ENTRANT	1467.845745907903	1123.3020972847241
2023-03	1636327.8858417217	ENTRANT	1467.845745907903	1114.7819111126066
2023-04	1623916.426573819	ENTRANT	1741.7686949252711	932.3375895462925
2023-05	1611599.107558913	ENTRANT	1741.7686949252711	925.2658589251181
2023-06	1599375.214748233	ENTRANT	1741.7686949252711	918.247767001492
2023-07	1587244.03950903	ENTRANT	1667.653020274881	951.7831468607318
2023-08	1575204.878583496	ENTRANT	1667.653020274881	944.5639227300732
2023-09	1563257.034047996	ENTRANT	1667.653020274881	937.399456027323
2023-10	1551399.813272608	ENTRANT	1143.4084648178705	1356.8202973901589
2023-11	1539632.5288809715	ENTRANT	1143.4084648178705	1346.5288881923873
2023-12	1527954.4987104386	ENTRANT	1143.4084648178705	1336.315538781516
2024-01	1516365.045772528	ENTRANT	949.3748919995878	1597.2247197087095
2024-02	1504863.4982136805	ENTRANT	949.3748919995878	1585.1098558590634
2024-03	1493449.1892763097	ENTRANT	949.3748919995878	1573.0868826020712
2024-04	1482121.4572601493	ENTRANT	864.69637814917	1714.036851215383
2024-05	1470879.645483895	ENTRANT	864.69637814917	1701.0359736121752
2024-06	1459723.1022471343	ENTRANT	864.69637814917	1688.1337069684307
2024-07	1448651.1807925676	ENTRANT	904.7348868045488	1601.1885933890399
2024-08	1437663.2392685146	ENTRANT	904.7348868045488	1589.0436637700864
2024-09	1426758.6406917055	ENTRANT	904.7348868045488	1576.9908527910345
2024-10	1415936.7529103556	ENTRANT	1036.287176380027	1366.3555674369395
2024-11	1405196.9485675157	ENTRANT	1036.287176380027	1355.9918337271813
2024-12	1394538.6050647062	ENTRANT	1036.287176380027	1345.7067083818679
2018-01	11395622.69228593	HAIFA_TOTAL	2328.0509464562333	4894.919808190789
2018-02	11405116.688644946	HAIFA_TOTAL	2328.0509464562333	4898.997896075191
2018-03	11436224.395454898	HAIFA_TOTAL	2328.0509464562333	4912.360020670148
2018-04	11488893.033093523	HAIFA_TOTAL	2443.263640406322	4702.273157547127
2018-05	11563069.971011478	HAIFA_TOTAL	2443.263640406322	4732.6329339917265
2018-06	11658702.727114627	HAIFA_TOTAL	2443.263640406322	4771.774332620016
2018-07	11775738.967150604	HAIFA_TOTAL	2083.374379524898	5652.243342762042
2018-08	11914126.504099583	HAIFA_TOTAL	2083.374379524898	5718.668051786513
2018-09	12073813.297569212	HAIFA_TOTAL	2083.374379524898	5795.3162025168895
2018-10	12254747.453193702	HAIFA_TOTAL	2214.1381941063732	5534.770813228179
2018-11	12456877.22203699	HAIFA_TOTAL	2214.1381941063732	5626.061306920632
2018-12	12680151.0	HAIFA_TOTAL	2214.1381941063732	5726.901344167324
2019-01	12660411.277241414	HAIFA_TOTAL	2148.707040602077	5892.106759092627
2019-02	12657215.345412826	HAIFA_TOTAL	2148.707040602077	5890.619384700401
2019-03	12670527.7401539	HAIFA_TOTAL	2148.707040602077	5896.814922058226
2019-04	12700313.059520254	HAIFA_TOTAL	2098.7219331547817	6051.451056419488
2019-05	12746535.963957282	HAIFA_TOTAL	2098.7219331547817	6073.475367361693
2019-06	12809161.176273588	HAIFA_TOTAL	2098.7219331547817	6103.315057568851
2019-07	12888153.48161398	HAIFA_TOTAL	1938.2624355949836	6649.333570589339
2019-08	12983477.727432048	HAIFA_TOTAL	1938.2624355949836	6698.51382815792
2019-09	13095098.823462332	HAIFA_TOTAL	1938.2624355949836	6756.102054592294
2019-10	13222981.741692036	HAIFA_TOTAL	2023.56454302911	6534.499622086834
2019-11	13367091.516332382	HAIFA_TOTAL	2023.56454302911	6605.715425475357
2019-12	13527393.243789464	HAIFA_TOTAL	2023.56454302911	6684.932927091156
2020-01	13500063.4126006	HAIFA_TOTAL	2623.634884949111	5145.557215314451
2020-02	13482748.856771592	HAIFA_TOTAL	2623.634884949111	5138.957762041309
2020-03	13475419.721903209	HAIFA_TOTAL	2623.634884949111	5136.164257918297
2020-04	13478046.286838092	HAIFA_TOTAL	2304.6957395468435	5848.080532091489
2020-05	13490598.96271772	HAIFA_TOTAL	2304.6957395468435	5853.527097407783
2020-06	13513048.29204796	HAIFA_TOTAL	2304.6957395468435	5863.267788530272
2020-07	13545364.94777312	HAIFA_TOTAL	2226.396076742002	6083.9870718757
2020-08	13587519.73235844	HAIFA_TOTAL	2226.396076742002	6102.921162276635
2020-09	13639483.576880883	HAIFA_TOTAL	2226.396076742002	6126.261054520105
2020-10	13701227.540128252	HAIFA_TOTAL	2232.6707346594794	6136.698675462293
2020-11	13772722.807706391	HAIFA_TOTAL	2232.6707346594794	6168.720982409871
