port,asset_type,asset_id,milestone,date,value,unit,spec_outreach_m,spec_hoist_m,rated_mph,twin_or_tandem_rated,source_url,source_note
Haifa,STS,STS_BP_01,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_02,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_03,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_04,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_05,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_06,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_07,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Haifa,STS,STS_BP_08,commissioned,2021-09-01,1,unit,,,,,https://www.inss.org.il/publication/haifa-new-port/;https://www.sipgbayport.com/;https://www.seatrade-maritime.com/terminals/zpmc-ships-first-batch-of-cranes-to-haifa-port,Bayport opened 2021-09; 8 STS in fleet per SIPG site; INSS confirms 2021-09-01 ops start.
Ashdod,STS,STS_AP_01,commissioned,2022-09-01,1,unit,,,,,https://www.porttechnology.org/news/ashdod-port-adds-new-sts-cranes/;https://www.portseurope.com/port-of-ashdod-receives-five-new-sts-cranes/;https://www.ashdodport.co.il/about/csr/Documents/apc-csr-report-2022-eng.pdf;https://www.globaltrademag.com/ashdod-port-adds-new-sts-cranes/,5 STS delivered May–Jun 2022; Ashdod CSR 2022 states commissioning completed in 2022; set 2022-09 as go-live month.
Ashdod,STS,STS_AP_02,commissioned,2022-09-01,1,unit,,,,,https://www.porttechnology.org/news/ashdod-port-adds-new-sts-cranes/;https://www.portseurope.com/port-of-ashdod-receives-five-new-sts-cranes/;https://www.ashdodport.co.il/about/csr/Documents/apc-csr-report-2022-eng.pdf;https://www.globaltrademag.com/ashdod-port-adds-new-sts-cranes/,5 STS delivered May–Jun 2022; Ashdod CSR 2022 states commissioning completed in 2022; set 2022-09 as go-live month.
Ashdod,STS,STS_AP_03,commissioned,2022-09-01,1,unit,,,,,https://www.porttechnology.org/news/ashdod-port-adds-new-sts-cranes/;https://www.portseurope.com/port-of-ashdod-receives-five-new-sts-cranes/;https://www.ashdodport.co.il/about/csr/Documents/apc-csr-report-2022-eng.pdf;https://www.globaltrademag.com/ashdod-port-adds-new-sts-cranes/,5 STS delivered May–Jun 2022; Ashdod CSR 2022 states commissioning completed in 2022; set 2022-09 as go-live month.
Ashdod,STS,STS_AP_04,commissioned,2022-09-01,1,unit,,,,,https://www.porttechnology.org/news/ashdod-port-adds-new-sts-cranes/;https://www.portseurope.com/port-of-ashdod-receives-five-new-sts-cranes/;https://www.ashdodport.co.il/about/csr/Documents/apc-csr-report-2022-eng.pdf;https://www.globaltrademag.com/ashdod-port-adds-new-sts-cranes/,5 STS delivered May–Jun 2022; Ashdod CSR 2022 states commissioning completed in 2022; set 2022-09 as go-live month.
Ashdod,STS,STS_AP_05,commissioned,2022-09-01,1,unit,,,,,https://www.porttechnology.org/news/ashdod-port-adds-new-sts-cranes/;https://www.portseurope.com/port-of-ashdod-receives-five-new-sts-cranes/;https://www.ashdodport.co.il/about/csr/Documents/apc-csr-report-2022-eng.pdf;https://www.globaltrademag.com/ashdod-port-adds-new-sts-cranes/,5 STS delivered May–Jun 2022; Ashdod CSR 2022 states commissioning completed in 2022; set 2022-09 as go-live month.
