Month	Port	yard_crane_unit	yard_crane_type	yard_crane_in_service
2018-01	Haifa	H-01	ARMG/RMG	0
2018-02	Haifa	H-01	ARMG/RMG	0
2018-03	Haifa	H-01	ARMG/RMG	0
2018-04	Haifa	H-01	ARMG/RMG	0
2018-05	Haifa	H-01	ARMG/RMG	0
2018-06	Haifa	H-01	ARMG/RMG	0
2018-07	Haifa	H-01	ARMG/RMG	0
2018-08	Haifa	H-01	ARMG/RMG	0
2018-09	Haifa	H-01	ARMG/RMG	0
2018-10	Haifa	H-01	ARMG/RMG	0
2018-11	Haifa	H-01	ARMG/RMG	0
2018-12	Haifa	H-01	ARMG/RMG	0
2019-01	Haifa	H-01	ARMG/RMG	0
2019-02	Haifa	H-01	ARMG/RMG	0
2019-03	Haifa	H-01	ARMG/RMG	0
2019-04	Haifa	H-01	ARMG/RMG	0
2019-05	Haifa	H-01	ARMG/RMG	0
2019-06	Haifa	H-01	ARMG/RMG	0
2019-07	Haifa	H-01	ARMG/RMG	0
2019-08	Haifa	H-01	ARMG/RMG	0
2019-09	Haifa	H-01	ARMG/RMG	0
2019-10	Haifa	H-01	ARMG/RMG	0
2019-11	Haifa	H-01	ARMG/RMG	0
2019-12	Haifa	H-01	ARMG/RMG	0
2020-01	Haifa	H-01	ARMG/RMG	0
2020-02	Haifa	H-01	ARMG/RMG	0
2020-03	Haifa	H-01	ARMG/RMG	0
2020-04	Haifa	H-01	ARMG/RMG	0
2020-05	Haifa	H-01	ARMG/RMG	0
2020-06	Haifa	H-01	ARMG/RMG	0
2020-07	Haifa	H-01	ARMG/RMG	0
2020-08	Haifa	H-01	ARMG/RMG	0
2020-09	Haifa	H-01	ARMG/RMG	0
2020-10	Haifa	H-01	ARMG/RMG	0
2020-11	Haifa	H-01	ARMG/RMG	0
2020-12	Haifa	H-01	ARMG/RMG	0
2021-01	Haifa	H-01	ARMG/RMG	0
2021-02	Haifa	H-01	ARMG/RMG	0
2021-03	Haifa	H-01	ARMG/RMG	0
2021-04	Haifa	H-01	ARMG/RMG	0
2021-05	Haifa	H-01	ARMG/RMG	0
2021-06	Haifa	H-01	ARMG/RMG	0
2021-07	Haifa	H-01	ARMG/RMG	0
2021-08	Haifa	H-01	ARMG/RMG	0
2021-09	Haifa	H-01	ARMG/RMG	1
2021-10	Haifa	H-01	ARMG/RMG	1
2021-11	Haifa	H-01	ARMG/RMG	1
2021-12	Haifa	H-01	ARMG/RMG	1
2022-01	Haifa	H-01	ARMG/RMG	1
2022-02	Haifa	H-01	ARMG/RMG	1
2022-03	Haifa	H-01	ARMG/RMG	1
2022-04	Haifa	H-01	ARMG/RMG	1
2022-05	Haifa	H-01	ARMG/RMG	1
2022-06	Haifa	H-01	ARMG/RMG	1
2022-07	Haifa	H-01	ARMG/RMG	1
2022-08	Haifa	H-01	ARMG/RMG	1
2022-09	Haifa	H-01	ARMG/RMG	1
2022-10	Haifa	H-01	ARMG/RMG	1
2022-11	Haifa	H-01	ARMG/RMG	1
2022-12	Haifa	H-01	ARMG/RMG	1
2023-01	Haifa	H-01	ARMG/RMG	1
2023-02	Haifa	H-01	ARMG/RMG	1
2023-03	Haifa	H-01	ARMG/RMG	1
2023-04	Haifa	H-01	ARMG/RMG	1
2023-05	Haifa	H-01	ARMG/RMG	1
2023-06	Haifa	H-01	ARMG/RMG	1
2023-07	Haifa	H-01	ARMG/RMG	1
2023-08	Haifa	H-01	ARMG/RMG	1
2023-09	Haifa	H-01	ARMG/RMG	1
2023-10	Haifa	H-01	ARMG/RMG	1
2023-11	Haifa	H-01	ARMG/RMG	1
2023-12	Haifa	H-01	ARMG/RMG	1
2024-01	Haifa	H-01	ARMG/RMG	1
2024-02	Haifa	H-01	ARMG/RMG	1
2024-03	Haifa	H-01	ARMG/RMG	1
2024-04	Haifa	H-01	ARMG/RMG	1
2024-05	Haifa	H-01	ARMG/RMG	1
2024-06	Haifa	H-01	ARMG/RMG	1
2024-07	Haifa	H-01	ARMG/RMG	1
2024-08	Haifa	H-01	ARMG/RMG	1
2024-09	Haifa	H-01	ARMG/RMG	1
2024-10	Haifa	H-01	ARMG/RMG	1
