port	year	tons_pm_n	teu_pm_n	teu_pq_n	lproxy_n	note
Ashdod	2008	12	12	0	0	ok
Ashdod	2009	0	12	0	0	ok
Ashdod	2010	12	12	0	0	ok
Ashdod	2011	12	12	0	0	ok
Ashdod	2012	12	12	0	0	ok
Ashdod	2013	12	12	0	0	ok
Ashdod	2014	12	12	0	0	ok
Ashdod	2015	12	12	0	0	ok
Ashdod	2016	12	11	1	0	ok
Ashdod	2017	12	9	1	0	ok
Ashdod	2018	12	9	1	12	ok
Ashdod	2019	12	1	4	12	ok
Ashdod	2020	12	3	4	12	ok
Ashdod	2021	12	7	1	24	ok
Ashdod	2022	12	4	0	24	ok
Ashdod	2023	12	4	0	24	ok
Ashdod	2024	12	4	0	24	ok
Ashdod	2025	8	0	0	0	ok
Eilat	2008	12	12	0	0	ok
Eilat	2009	0	12	0	0	ok
Eilat	2010	12	12	0	0	ok
Eilat	2011	12	12	0	0	ok
Eilat	2012	12	12	0	0	ok
Eilat	2013	12	12	0	0	ok
Eilat	2014	12	12	0	0	ok
Eilat	2015	12	12	0	0	ok
Eilat	2016	12	12	0	0	ok
Eilat	2017	12	12	0	0	ok
Eilat	2018	12	10	1	0	ok
Eilat	2019	12	9	1	0	ok
Eilat	2020	12	7	4	0	ok
Eilat	2021	12	6	1	0	ok
Eilat	2022	12	4	0	0	ok
Eilat	2023	12	4	0	0	ok
Eilat	2024	12	4	0	0	ok
Eilat	2025	8	0	0	0	ok
Haifa	2008	12	0	0	0	ok
Haifa	2010	12	0	0	0	ok
Haifa	2011	12	0	0	0	ok
Haifa	2012	12	0	0	0	ok
Haifa	2013	12	0	0	0	ok
Haifa	2014	12	0	0	0	ok
Haifa	2015	12	0	0	0	ok
Haifa	2016	12	0	0	0	ok
Haifa	2017	12	0	0	0	ok
Haifa	2018	12	0	0	12	ok
Haifa	2019	12	0	0	12	ok
Haifa	2020	12	4	0	12	ok
Haifa	2021	12	7	0	24	ok
Haifa	2022	12	4	0	24	ok
Haifa	2023	12	4	0	24	ok
Haifa	2024	12	4	0	24	ok
Haifa	2025	8	0	0	0	ok
