port	terminal	year	month	l_hours_i_m	teu_i_m	pi_teu_per_hour_i_y	operating	month_index	quarter
Ashdod	Ashdod-HCT	2021	1	0.0	0.0	31.200000000000003		24253	Q1
Ashdod	Ashdod-HCT	2021	2	0.0	0.0	31.200000000000003		24254	Q1
Ashdod	Ashdod-HCT	2021	3	0.0	0.0	31.200000000000003		24255	Q1
Ashdod	Ashdod-HCT	2021	4	0.0	0.0	31.200000000000003		24256	Q2
Ashdod	Ashdod-HCT	2021	5	0.0	0.0	31.200000000000003		24257	Q2
Ashdod	Ashdod-HCT	2021	6	0.0	0.0	31.200000000000003		24258	Q2
Ashdod	Ashdod-HCT	2021	7	104.85500086416096	3271.4760269618228	31.200000000000003		24259	Q3
Ashdod	Ashdod-HCT	2021	8	106.36952975141706	3318.7293282442124	31.200000000000003		24260	Q3
Ashdod	Ashdod-HCT	2021	9	73.39891859816585	2290.046260262775	31.200000000000003		24261	Q3
Ashdod	Ashdod-HCT	2021	10	172.1941069210607	5372.456135937094	31.200000000000003		24262	Q4
Ashdod	Ashdod-HCT	2021	11	174.2036451117408	5435.153727486314	31.200000000000003		24263	Q4
Ashdod	Ashdod-HCT	2021	12	174.2036451117408	5435.153727486314	31.200000000000003		24264	Q4
Ashdod	Ashdod-HCT	2022	1	241.71453581270944	7154.750260056199	29.6		24265	Q1
Ashdod	Ashdod-HCT	2022	2	241.71453581270944	7154.750260056199	29.6		24266	Q1
Ashdod	Ashdod-HCT	2022	3	241.71453581270944	7154.750260056199	29.6		24267	Q1
Ashdod	Ashdod-HCT	2022	4	320.664151526553	9491.658885185969	29.6		24268	Q2
Ashdod	Ashdod-HCT	2022	5	320.664151526553	9491.658885185969	29.6		24269	Q2
Ashdod	Ashdod-HCT	2022	6	320.664151526553	9491.658885185969	29.6		24270	Q2
Ashdod	Ashdod-HCT	2022	7	788.9283785047252	23352.280003739867	29.6		24271	Q3
Ashdod	Ashdod-HCT	2022	8	788.9283785047252	23352.280003739867	29.6		24272	Q3
Ashdod	Ashdod-HCT	2022	9	788.9283785047252	23352.280003739867	29.6		24273	Q3
Ashdod	Ashdod-HCT	2022	10	786.1065785118262	23268.754723950056	29.6		24274	Q4
Ashdod	Ashdod-HCT	2022	11	786.1065785118262	23268.754723950056	29.6		24275	Q4
Ashdod	Ashdod-HCT	2022	12	786.1065785118262	23268.754723950056	29.6		24276	Q4
Ashdod	Ashdod-HCT	2023	1	1051.4880952380954	29441.666666666668	28.0		24277	Q1
Ashdod	Ashdod-HCT	2023	2	1051.4880952380954	29441.666666666668	28.0		24278	Q1
