port	year	month	month_index	teu_p_m
Ashdod	2008	1	24097	89491.0
Ashdod	2008	2	24098	107759.0
Ashdod	2008	3	24099	94530.0
Ashdod	2008	4	24100	102746.0
Ashdod	2008	5	24101	89843.0
Ashdod	2008	6	24102	92240.0
Ashdod	2008	7	24103	87058.0
Ashdod	2008	8	24104	93992.0
Ashdod	2008	9	24105	97707.0
Ashdod	2008	10	24106	86667.0
Ashdod	2008	11	24107	103621.0
Ashdod	2008	12	24108	106083.0
Ashdod	2009	1	24109	111086.0
Ashdod	2009	2	24110	100854.0
Ashdod	2009	3	24111	110748.0
Ashdod	2009	4	24112	97918.0
Ashdod	2009	5	24113	82517.0
Ashdod	2009	6	24114	97414.0
Ashdod	2009	7	24115	85932.0
Ashdod	2009	8	24116	89904.0
Ashdod	2009	9	24117	89926.0
Ashdod	2009	10	24118	96528.0
Ashdod	2009	11	24119	91882.0
Ashdod	2009	12	24120	104279.0
Ashdod	2010	1	24121	111714.0
Ashdod	2010	2	24122	101692.0
Ashdod	2010	3	24123	108589.0
Ashdod	2010	4	24124	107306.0
Ashdod	2010	5	24125	85071.0
Ashdod	2010	6	24126	101386.0
Ashdod	2010	7	24127	89345.0
Ashdod	2010	8	24128	93950.0
Ashdod	2010	9	24129	107357.0
Ashdod	2010	10	24130	108099.0
Ashdod	2010	11	24131	102626.0
Ashdod	2010	12	24132	93827.0
Ashdod	2011	1	24133	109065.0
Ashdod	2011	2	24134	116241.0
Ashdod	2011	3	24135	100992.0
Ashdod	2011	4	24136	100807.0
Ashdod	2011	5	24137	100582.0
Ashdod	2011	6	24138	98121.0
Ashdod	2011	7	24139	97901.0
Ashdod	2011	8	24140	114088.0
Ashdod	2011	9	24141	96537.0
Ashdod	2011	10	24142	87184.0
Ashdod	2011	11	24143	122441.0
Ashdod	2011	12	24144	107726.0
Ashdod	2012	1	24145	110275.0
Ashdod	2012	2	24146	122463.0
Ashdod	2012	3	24147	116615.0
Ashdod	2012	4	24148	115750.0
Ashdod	2012	5	24149	95846.0
Ashdod	2012	6	24150	114184.0
Ashdod	2012	7	24151	104993.0
Ashdod	2012	8	24152	112753.0
Ashdod	2012	9	24153	107585.0
Ashdod	2012	10	24154	118541.0
Ashdod	2012	11	24155	127047.0
Ashdod	2012	12	24156	113170.0
Ashdod	2013	1	24157	134577.0
Ashdod	2013	2	24158	124959.0
Ashdod	2013	3	24159	132733.0
Ashdod	2013	4	24160	135287.0
Ashdod	2013	5	24161	119528.0
Ashdod	2013	6	24162	95417.0
Ashdod	2013	7	24163	120578.0
Ashdod	2013	8	24164	113654.0
Ashdod	2013	9	24165	126983.0
Ashdod	2013	10	24166	117643.0
Ashdod	2013	11	24167	126787.0
Ashdod	2013	12	24168	121339.0
Ashdod	2014	1	24169	139737.0
Ashdod	2014	2	24170	140987.0
Ashdod	2014	3	24171	133204.0
Ashdod	2014	4	24172	130595.0
Ashdod	2014	5	24173	115407.0
Ashdod	2014	6	24174	122074.0
Ashdod	2014	7	24175	123967.0
Ashdod	2014	8	24176	126749.0
Ashdod	2014	9	24177	121784.0
Ashdod	2014	10	24178	108885.0
Ashdod	2014	11	24179	122666.0
Ashdod	2014	12	24180	117145.0
Ashdod	2015	1	24181	109438.0
Ashdod	2015	2	24182	132217.0
Ashdod	2015	3	24183	142318.0
Ashdod	2015	4	24184	136641.0
Ashdod	2015	5	24185	95956.0
Ashdod	2015	6	24186	137108.0
Ashdod	2015	7	24187	130572.0
Ashdod	2015	8	24188	122481.0
Ashdod	2015	9	24189	122983.0
Ashdod	2015	10	24190	134800.0
Ashdod	2015	11	24191	117963.0
Ashdod	2015	12	24192	134523.0
Ashdod	2016	1	24193	129557.0
Ashdod	2016	2	24194	138893.0
Ashdod	2016	3	24195	149568.0
Ashdod	2016	4	24196	132240.0
Ashdod	2016	5	24197	127738.0
Ashdod	2016	6	24198	113143.0
Ashdod	2016	7	24199	119108.0
Ashdod	2016	8	24200	117080.0
Ashdod	2016	9	24201	118457.0
Ashdod	2016	10	24202	125794.0
Ashdod	2016	11	24203	119175.0
Ashdod	2017	1	24205	114099.0
Ashdod	2017	2	24206	121426.0
Ashdod	2017	3	24207	136483.0
Ashdod	2017	5	24209	143321.0
Ashdod	2017	6	24210	145353.0
Ashdod	2017	7	24211	136085.0
Ashdod	2017	9	24213	144608.0
Ashdod	2017	10	24214	138073.0
Ashdod	2017	11	24215	141625.0
Ashdod	2018	1	24217	133397.0
Ashdod	2018	2	24218	119323.0
Ashdod	2018	3	24219	136831.0
Ashdod	2018	5	24221	130945.0
Ashdod	2018	6	24222	139946.0
Ashdod	2018	7	24223	145913.0
Ashdod	2018	9	24225	150512.0
Ashdod	2018	10	24226	152686.0
Ashdod	2018	11	24227	105359.0
Ashdod	2019	1	24229	136624.0
Ashdod	2020	3	24243	75171.0
Ashdod	2020	6	24246	75559.0
Ashdod	2020	12	24252	86291.0
Ashdod	2021	3	24255	81756.0
Ashdod	2021	6	24258	60353.0
Ashdod	2021	7	24259	71390.0
Ashdod	2021	8	24260	66996.0
Ashdod	2021	9	24261	62796.0
Ashdod	2021	10	24262	74263.0
Ashdod	2021	12	24264	59704.0
Ashdod	2022	3	24267	60414.0
Ashdod	2022	6	24270	81383.0
Ashdod	2022	9	24273	78682.0
Ashdod	2022	12	24276	73840.0
Ashdod	2023	3	24279	62614.0
Ashdod	2023	6	24282	65477.0
Ashdod	2023	9	24285	81874.0
Ashdod	2023	12	24288	73118.0
Ashdod	2024	3	24291	67513.0
Ashdod	2024	6	24294	71967.0
Ashdod	2024	9	24297	71383.0
Ashdod	2024	12	24300	82658.0
Eilat	2008	1	24097	10.0
Eilat	2008	2	24098	27.0
Eilat	2008	3	24099	0.0
Eilat	2008	4	24100	0.0
Eilat	2008	5	24101	0.0
Eilat	2008	6	24102	0.0
Eilat	2008	7	24103	0.0
Eilat	2008	8	24104	0.0
Eilat	2008	9	24105	0.0
Eilat	2008	10	24106	0.0
Eilat	2008	11	24107	0.0
Eilat	2008	12	24108	0.0
Eilat	2009	1	24109	0.0
Eilat	2009	2	24110	0.0
Eilat	2009	3	24111	0.0
Eilat	2009	4	24112	0.0
Eilat	2009	5	24113	0.0
Eilat	2009	6	24114	0.0
Eilat	2009	7	24115	0.0
Eilat	2009	8	24116	49.0
Eilat	2009	9	24117	0.0
Eilat	2009	10	24118	0.0
Eilat	2009	11	24119	0.0
Eilat	2009	12	24120	0.0
Eilat	2010	1	24121	0.0
Eilat	2010	2	24122	0.0
Eilat	2010	3	24123	0.0
Eilat	2010	4	24124	0.0
Eilat	2010	5	24125	0.0
Eilat	2010	6	24126	0.0
Eilat	2010	7	24127	0.0
Eilat	2010	8	24128	0.0
Eilat	2010	9	24129	0.0
Eilat	2010	10	24130	0.0
Eilat	2010	11	24131	0.0
Eilat	2010	12	24132	0.0
Eilat	2011	1	24133	0.0
Eilat	2011	2	24134	0.0
Eilat	2011	3	24135	1.0
Eilat	2011	4	24136	0.0
Eilat	2011	5	24137	0.0
Eilat	2011	6	24138	51.0
Eilat	2011	7	24139	70.0
Eilat	2011	8	24140	32.0
Eilat	2011	9	24141	0.0
Eilat	2011	10	24142	1.0
Eilat	2011	11	24143	19.0
Eilat	2011	12	24144	19.0
Eilat	2012	1	24145	6.0
Eilat	2012	2	24146	9.0
Eilat	2012	3	24147	14.0
Eilat	2012	4	24148	7.0
Eilat	2012	5	24149	0.0
Eilat	2012	6	24150	32.0
Eilat	2012	7	24151	45.0
Eilat	2012	8	24152	5.0
Eilat	2012	9	24153	2.0
Eilat	2012	10	24154	3.0
Eilat	2012	11	24155	2.0
Eilat	2012	12	24156	26.0
Eilat	2013	1	24157	30.0
Eilat	2013	2	24158	13.0
Eilat	2013	3	24159	2.0
Eilat	2013	4	24160	20.0
Eilat	2013	5	24161	0.0
Eilat	2013	6	24162	77.0
Eilat	2013	7	24163	0.0
Eilat	2013	8	24164	8.0
Eilat	2013	9	24165	27.0
Eilat	2013	10	24166	0.0
Eilat	2013	11	24167	7.0
Eilat	2013	12	24168	0.0
Eilat	2014	1	24169	0.0
Eilat	2014	2	24170	94.0
Eilat	2014	3	24171	0.0
Eilat	2014	4	24172	51.0
Eilat	2014	5	24173	0.0
Eilat	2014	6	24174	0.0
Eilat	2014	7	24175	24.0
Eilat	2014	8	24176	0.0
Eilat	2014	9	24177	15.0
