port	year	month	tons_p_m	tons_source	month_index
Ashdod	2008	1	789324.0	port_total	24097
Ashdod	2008	2	967407.0	port_total	24098
Ashdod	2008	3	1331155.0	port_total	24099
Ashdod	2008	4	1169886.0	port_total	24100
Ashdod	2008	5	1214213.0	port_total	24101
Ashdod	2008	6	1225146.0	port_total	24102
Ashdod	2008	7	1488748.0	port_total	24103
Ashdod	2008	8	1447610.0	port_total	24104
Ashdod	2008	9	1232531.0	port_total	24105
Ashdod	2008	10	1254503.0	port_total	24106
Ashdod	2008	11	1408462.0	port_total	24107
Ashdod	2008	12	1386282.0	port_total	24108
Ashdod	2010	1	1487386.0	port_total	24121
Ashdod	2010	2	1507974.0	port_total	24122
Ashdod	2010	3	1677514.0	port_total	24123
Ashdod	2010	4	1634874.0	port_total	24124
Ashdod	2010	5	1653914.0	port_total	24125
Ashdod	2010	6	1640101.0	port_total	24126
Ashdod	2010	7	1443589.0	port_total	24127
Ashdod	2010	8	1589659.0	port_total	24128
Ashdod	2010	9	1201755.0	port_total	24129
Ashdod	2010	10	1581262.0	port_total	24130
Ashdod	2010	11	1548865.0	port_total	24131
Ashdod	2010	12	1568111.0	port_total	24132
Ashdod	2011	1	1448705.2000000002	port_total	24133
Ashdod	2011	2	1526429.2	port_total	24134
Ashdod	2011	3	1992598.4000000001	port_total	24135
Ashdod	2011	4	1612125.0999999999	port_total	24136
Ashdod	2011	5	1639217.7999999998	port_total	24137
Ashdod	2011	6	1607785.5999999999	port_total	24138
Ashdod	2011	7	1577841.4	port_total	24139
Ashdod	2011	8	1750676.8	port_total	24140
Ashdod	2011	9	1464863.9000000001	port_total	24141
Ashdod	2011	10	1552159.1	port_total	24142
Ashdod	2011	11	1478645.5	port_total	24143
Ashdod	2011	12	1564385.8	port_total	24144
Ashdod	2012	1	1654667.0	port_total	24145
Ashdod	2012	2	1303313.7	port_total	24146
Ashdod	2012	3	1624453.2	port_total	24147
Ashdod	2012	4	1735597.7	port_total	24148
Ashdod	2012	5	1934621.9000000001	port_total	24149
Ashdod	2012	6	1653757.5999999999	port_total	24150
Ashdod	2012	7	1885340.9	port_total	24151
Ashdod	2012	8	1937916.4000000001	port_total	24152
Ashdod	2012	9	1377041.3	port_total	24153
Ashdod	2012	10	1616420.7	port_total	24154
Ashdod	2012	11	1380159.2	port_total	24155
Ashdod	2012	12	1511124.8	port_total	24156
Ashdod	2013	1	1484351.7999999998	port_total	24157
Ashdod	2013	2	1608608.4000000001	port_total	24158
Ashdod	2013	3	1513049.9	port_total	24159
Ashdod	2013	4	1760986.7	port_total	24160
Ashdod	2013	5	1807982.0999999999	port_total	24161
Ashdod	2013	6	1711845.8	port_total	24162
Ashdod	2013	7	1821023.7	port_total	24163
Ashdod	2013	8	1579696.3	port_total	24164
Ashdod	2013	9	1322822.7	port_total	24165
Ashdod	2013	10	1568714.3	port_total	24166
Ashdod	2013	11	1530275.5	port_total	24167
Ashdod	2013	12	1504203.0999999999	port_total	24168
Ashdod	2014	1	1920064.883	port_total	24169
Ashdod	2014	2	1837724.096	port_total	24170
Ashdod	2014	3	1921768.1609999998	port_total	24171
Ashdod	2014	4	1454077.0480000002	port_total	24172
Ashdod	2014	5	1832208.2210000001	port_total	24173
Ashdod	2014	6	1814163.9009999998	port_total	24174
Ashdod	2014	7	1669554.369	port_total	24175
Ashdod	2014	8	1855631.2049999998	port_total	24176
Ashdod	2014	9	1830413.568	port_total	24177
Ashdod	2014	10	1705707.7010000001	port_total	24178
Ashdod	2014	11	1659022.872	port_total	24179
Ashdod	2014	12	2054402.6770000001	port_total	24180
Ashdod	2015	1	1752376.553	port_total	24181
Ashdod	2015	2	1546442.546	port_total	24182
Ashdod	2015	3	2052655.4500000002	port_total	24183
Ashdod	2015	4	1594157.53	port_total	24184
Ashdod	2015	5	1938223.863	port_total	24185
Ashdod	2015	6	2029901.66	port_total	24186
Ashdod	2015	7	1931978.1330000001	port_total	24187
Ashdod	2015	8	1944713.4430000002	port_total	24188
Ashdod	2015	9	1667770.489	port_total	24189
Ashdod	2015	10	1884551.243	port_total	24190
