port	terminal	year	quarter	TEU_i_q	w	Pi_teu_per_hour_i_y	LP_mix
Ashdod	Ashdod-HCT	2021	Q3	8695.19848739153	0.5473566408754122	31.200000000000003	17.077527195312864
Ashdod	Ashdod-HCT	2021	Q4	15628.2163177368	0.008876267939691842	31.200000000000003	0.2769395597183855
Ashdod	Ashdod-HCT	2022	Q1	20319.0	0.15495008941905403	29.6	4.586522646803999
Ashdod	Ashdod-HCT	2022	Q2	26586.0	0.48486920843711295	29.6	14.352128569738545
Ashdod	Ashdod-HCT	2022	Q3	60333.0	1.4016310291382235	29.6	41.488278462491415
Ashdod	Ashdod-HCT	2022	Q4	58997.25	1.9585496730056093	29.6	57.97307032096604
Ashdod	Ashdod-HCT	2023	Q1	88325.0	0.7944741671350604	28.0	22.24527667978169
Ashdod	Ashdod-HCT	2023	Q2	150543.75	1.238089946065462	28.0	34.66651848983294
Ashdod	Ashdod-HCT	2023	Q3	148688.25	1.1163437708597221	28.0	31.25762558407222
Ashdod	Ashdod-HCT	2023	Q4	87411.25	0.851092115939756	28.0	23.830579246313167
Ashdod	Ashdod-HCT	2024	Q1	102072.75	0.7337428270652806	61.0	44.75831245098212
Ashdod	Ashdod-HCT	2024	Q2	184935.0	1.1575402811774753	61.0	70.609957151826
Ashdod	Ashdod-HCT	2024	Q3	218264.5	1.0811288028279973	61.0	65.94885697250784
Ashdod	Ashdod-HCT	2024	Q4	187394.75	1.0275880889292468	61.0	62.682873424684054
