port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id
Ashdod	2018	1	24217	Q1	121784.0	2003195.046	port_row	1.03149268994529	monthly	41.0	42.291200287756894	41.00000000000001
Ashdod	2018	2	24218	Q1	108885.0	1853087.047	port_row	1.0672371055179535	monthly	41.0	43.75672132623609	41.0
Ashdod	2018	3	24219	Q1	122666.0	1899461.314	port_row	0.9710450987315286	monthly	41.0	39.81284904799267	41.00000000000001
Ashdod	2018	4	24220	Q2	117145.0	1925889.287	port_row	1.0309573805252297	monthly	41.0	42.26925260153442	41.0
Ashdod	2018	5	24221	Q2	109438.0	1982586.069	port_row	1.1360489744377145	monthly	41.0	46.57800795194629	41.0
Ashdod	2018	6	24222	Q2	132217.0	1971086.063	port_row	0.9348704655844218	monthly	41.0	38.329689088961295	41.0
Ashdod	2018	7	24223	Q3	142318.0	2204184.377	port_row	0.9712281003675313	monthly	41.0	39.82035211506878	41.0
Ashdod	2018	8	24224	Q3	136641.0	2189938.196	port_row	1.0050414610886367	monthly	41.0	41.20669990463411	41.0
Ashdod	2018	9	24225	Q3	95956.0	1524789.63	port_row	0.9964854121719189	monthly	41.0	40.855901899048675	41.00000000000001
Ashdod	2018	10	24226	Q4	137108.0	2025302.49	port_row	0.9263183177935173	monthly	41.0	37.979051029534205	41.00000000000001
Ashdod	2018	11	24227	Q4	130572.0	2055397.323	port_row	0.9871402983412244	monthly	41.0	40.4727522319902	41.0
Ashdod	2018	12	24228	Q4	122481.0	1840130.271	port_row	0.9421346954950341	monthly	41.0	38.6275225152964	41.0
Ashdod	2019	1	24229	Q1	122983.0	1957516.591	port_row	1.034558064125334	monthly	42.0	43.45143869326403	42.0
Ashdod	2019	2	24230	Q1	134800.0	1858875.069	port_row	0.8963029216009328	monthly	42.0	37.64472270723918	42.00000000000001
Ashdod	2019	3	24231	Q1	117963.0	1896987.78	port_row	1.0452332722516953	monthly	42.0	43.8997974345712	42.00000000000001
Ashdod	2019	4	24232	Q2	134523.0	2000467.108	port_row	0.9665612334031985	monthly	42.0	40.59557180293434	42.0
Ashdod	2019	5	24233	Q2	129557.0	2054487.8950000005	port_row	1.0307116984193714	monthly	42.0	43.289891333613596	42.0
Ashdod	2019	6	24234	Q2	138893.0	1958733.971	port_row	0.916620568818731	monthly	42.0	38.4980638903867	42.0
Ashdod	2019	7	24235	Q3	149568.0	2197893.836	port_row	0.9551300879377259	monthly	42.0	40.11546369338449	42.0
Ashdod	2019	8	24236	Q3	132240.0	2181836.7509999997	port_row	1.0723928598001118	monthly	42.0	45.04050011160469	41.99999999999999
Ashdod	2019	9	24237	Q3	127738.0	1892738.77	port_row	0.9630859950455001	monthly	42.0	40.449611791911	42.0
Ashdod	2019	10	24238	Q4	113143.0	1792693.28	port_row	1.0298472226167763	monthly	42.0	43.2535833499046	41.99999999999999
Ashdod	2019	11	24239	Q4	119108.0	1982382.752	port_row	1.081785309922538	monthly	42.0	45.4349830167466	42.0
Ashdod	2019	12	24240	Q4	117080.0	1815306.523	port_row	1.0077707660580832	monthly	42.0	42.3263721744395	42.0
Ashdod	2020	1	24241	Q1	118457.0	1835242.1	port_row	1.0208518752503095	monthly	39.0	39.81322313476207	39.0
Ashdod	2020	2	24242	Q1	125794.0	1933438.078	port_row	1.0127457696304651	monthly	39.0	39.49708501558814	39.0
Ashdod	2020	3	24243	Q1	119175.0	1856792.117	port_row	1.0266164533693625	monthly	39.0	40.03804168140513	39.00000000000001
Ashdod	2020	4	24244	Q2	114099.0	1850266.505	port_row	1.0685197308578294	monthly	39.0	41.67226950345535	39.00000000000001
Ashdod	2020	5	24245	Q2	121426.0	1997070.614	port_row	1.0837068780824821	monthly	39.0	42.2645682452168	39.0
Ashdod	2020	6	24246	Q2	136483.0	2044783.716	port_row	0.9871858350692005	monthly	39.0	38.50024756769882	39.0
Ashdod	2020	7	24247	Q3	143321.0	2081313.428	port_row	0.956880608859868	monthly	39.0	37.318343745534854	39.0
Ashdod	2020	8	24248	Q3	145353.0	2099862.499	port_row	0.9519123363998051	monthly	39.0	37.1245811195924	39.00000000000001
Ashdod	2020	9	24249	Q3	136085.0	1946341.8	port_row	0.942407967956947	monthly	39.0	36.753910750320934	39.0
Ashdod	2020	10	24250	Q4	144608.0	2106747.689	port_row	0.9599537374419687	monthly	39.0	37.43819576023678	39.00000000000001
Ashdod	2020	11	24251	Q4	138073.0	2089987.8	port_row	0.9973901780238489	monthly	39.0	38.898216942930105	39.0
Ashdod	2020	12	24252	Q4	141625.0	2131800.0379999997	port_row	0.9918286290579135	monthly	39.0	38.681316533258624	39.00000000000001
Ashdod	2021	1	24253	Q1	133397.0	1978636.9	port_row	1.4712122872880646	monthly	39.0	57.37727920423452	39.00000000000001
Ashdod	2021	2	24254	Q1	119323.0	1874818.0	port_row	1.5584405963471912	monthly	39.0	60.77918325754046	39.00000000000001
Ashdod	2021	3	24255	Q1	136831.0	2055116.9	port_row	1.4897292046811135	monthly	39.0	58.09943898256343	39.0
Ashdod	2021	4	24256	Q2	130945.0	1879225.8	port_row	1.4234602641369745	monthly	39.0	55.514950301342004	39.00000000000001
Ashdod	2021	5	24257	Q2	139946.0	1939299.0	port_row	1.3744836743006184	monthly	39.0	53.604863297724116	39.0
Ashdod	2021	6	24258	Q2	145913.0	2051865.6	port_row	1.3947944988196999	monthly	39.0	54.39698545396829	39.0
Ashdod	2021	7	24259	Q3	150512.0	1922524.0	port_row	1.2669397009019883	monthly	38.83407227118023	49.20042790805528	37.96757103090266
Ashdod	2021	8	24260	Q3	152686.0	9638.2	sum_terminals	0.0062611198667052005	monthly	38.83407227118023	0.2431447814021521	37.96757103090266
Ashdod	2021	9	24261	Q3	105359.0	8030.799999999999	sum_terminals	0.007560359943406013	monthly	38.83407227118023	0.2935995644383652	37.96757103090266
Ashdod	2021	10	24262	Q4	136624.0	9805.0	sum_terminals	0.007118293714238813	monthly	38.69373679251062	0.27543338339053947	38.563517993763675
