port	terminal	year	quarter	TEU_i_q	w	Pi_teu_per_hour_i_y	LP_mix
Haifa	Haifa-Legacy	2021	Q3	349371.975198281	0.00725744980980939	47.0	0.3411001410610413
Haifa	Haifa-Legacy	2021	Q4	351457.887348166	0.027073846212088984	47.0	1.2724707719681823
Haifa	Haifa-Legacy	2022	Q1	354496.0	0.23965329078555006	47.0	11.263704666920853
Haifa	Haifa-Legacy	2022	Q2	318193.0	0.6455722449068125	47.0	30.34189551062019
Haifa	Haifa-Legacy	2022	Q3	240017.0	1.20097905107688	47.0	56.44601540061336
Haifa	Haifa-Legacy	2022	Q4	157894.0	1.9137954132307575	47.0	89.9483844218456
Haifa	Haifa-Legacy	2023	Q1	170270.0	1.1131742550894372	49.0	54.545538499382424
Haifa	Haifa-Legacy	2023	Q2	191550.0	1.0826052708469507	49.0	53.04765827150058
Haifa	Haifa-Legacy	2023	Q3	176997.0	1.0401836468750798	49.0	50.96899869687891
Haifa	Haifa-Legacy	2023	Q4	193275.0	0.7640368271885322	49.0	37.437804532238076
Haifa	Haifa-Legacy	2024	Q1	164873.0	1.0878877465795205	41.0	44.60339760976034
Haifa	Haifa-Legacy	2024	Q2	147928.0	1.0461231719017055	41.0	42.89105004796993
Haifa	Haifa-Legacy	2024	Q3	172710.0	0.8854042019660786	41.0	36.30157228060922
Haifa	Haifa-Legacy	2024	Q4	162259.0	0.9805848795526958	41.0	40.20398006166053
