port	terminal	year	quarter	TEU_i_q	w	Pi_teu_per_hour_i_y	LP_mix
Haifa	Haifa-Bayport	2021	Q3	7128.162716288311	0.007852002673080602	43.16326530612245	0.3389180745625607
Haifa	Haifa-Bayport	2021	Q4	25856.0489929849	0.027074056443523616	43.16326530612245	1.1686046811847437
Haifa	Haifa-Bayport	2022	Q1	51468.75	0.25241184346305456	43.16326530612245	10.894919365803274
Haifa	Haifa-Bayport	2022	Q2	102593.0	0.6470616063805797	43.16326530612245	27.929291785610737
Haifa	Haifa-Bayport	2022	Q3	123998.25	1.2037497586833286	43.16326530612245	51.95777019622938
Haifa	Haifa-Bayport	2022	Q4	172148.25	1.8967767914730373	43.16326530612245	81.87107987684641
Haifa	Haifa-Bayport	2023	Q1	222086.0	1.1102123589522022	45.0	49.959556152849096
Haifa	Haifa-Bayport	2023	Q2	231566.75	1.0806149577299422	45.0	48.6276730978474
Haifa	Haifa-Bayport	2023	Q3	214054.5	1.0382713236930086	45.0	46.722209566185384
Haifa	Haifa-Bayport	2023	Q4	145084.0	0.770901359624847	45.0	34.69056118311811
Haifa	Haifa-Bayport	2024	Q1	159882.75	1.0861996551949755	50.0	54.30998275974878
Haifa	Haifa-Bayport	2024	Q2	132787.5	1.04570424106156	50.0	52.285212053078
Haifa	Haifa-Bayport	2024	Q3	129346.75	0.8879039095441371	50.0	44.395195477206855
Haifa	Haifa-Bayport	2024	Q4	141247.0	0.9801921941993278	50.0	49.00960970996639
