port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id
Haifa	2018	1	24217	Q1	112403.0	2432458.313	port_row	1.0721825139747427	monthly	54.0	57.897855754636105	54.0
Haifa	2018	2	24218	Q1	112638.0	2617941.7199999997	port_row	1.151532660376679	monthly	54.0	62.18276366034066	54.00000000000001
Haifa	2018	3	24219	Q1	126799.0	2530486.29	port_row	0.9887565573386403	monthly	54.0	53.39285409628658	53.99999999999999
Haifa	2018	4	24220	Q2	130683.0	2830216.76	port_row	1.0730051817540727	monthly	54.0	57.942279814719925	54.0
Haifa	2018	5	24221	Q2	127879.0	2650406.0009999997	port_row	1.0268674585087172	monthly	54.0	55.45084275947073	54.0
Haifa	2018	6	24222	Q2	131558.0	2475433.331	port_row	0.9322560024428491	monthly	54.0	50.34182413191385	54.0
Haifa	2018	7	24223	Q3	135914.0	2246470.07	port_row	0.8189127996952597	monthly	54.0	44.22129118354402	54.00000000000001
Haifa	2018	8	24224	Q3	127701.0	2254746.21	port_row	0.8747915593503317	monthly	54.0	47.238744204917914	54.0
Haifa	2018	9	24225	Q3	111052.0	2282924.06	port_row	1.0185123450919475	monthly	54.0	54.999666634965166	53.99999999999999
Haifa	2018	10	24226	Q4	121552.0	2442325.644	port_row	0.9955032380413896	monthly	54.0	53.75717485423504	54.0
Haifa	2018	11	24227	Q4	119024.0	2369774.08	port_row	0.9864466905721021	monthly	54.0	53.26812129089351	54.0
Haifa	2018	12	24228	Q4	111947.0	2397849.86	port_row	1.061232992853268	monthly	54.0	57.30658161407647	54.0
Haifa	2019	1	24229	Q1	123013.0	2470007.68	port_row	0.951466908269379	monthly	56.0	53.282146863085224	55.99999999999999
Haifa	2019	2	24230	Q1	106443.0	2325576.96	port_row	1.035285197652739	monthly	56.0	57.97597106855339	56.0
Haifa	2019	3	24231	Q1	125746.0	2816989.27	port_row	1.0615425542012413	monthly	56.0	59.44638303526951	56.0
Haifa	2019	4	24232	Q2	127316.0	2526060.42	port_row	0.9401716325404005	monthly	56.0	52.649611422262424	56.0
Haifa	2019	5	24233	Q2	118131.0	2426771.23	port_row	0.9734448503073803	monthly	56.0	54.51291161721329	55.99999999999999
Haifa	2019	6	24234	Q2	112027.0	2482651.89	port_row	1.05012141964871	monthly	56.0	58.80679950032776	55.99999999999999
Haifa	2019	7	24235	Q3	116265.0	2459658.8200000003	port_row	1.0024720408938124	monthly	56.0	56.138434290053496	55.99999999999999
Haifa	2019	8	24236	Q3	104006.0	2214668.53	port_row	1.00901293833504	monthly	56.0	56.50472454676223	56.0
Haifa	2019	9	24237	Q3	102448.0	2192670.23	port_row	1.0141827755980912	monthly	56.0	56.79423543349311	55.99999999999999
Haifa	2019	10	24238	Q4	115624.0	2862368.2199999997	port_row	1.1730699408976926	monthly	56.0	65.69191669027079	56.0
Haifa	2019	11	24239	Q4	112713.0	2138066.59	port_row	0.8988632250720135	monthly	56.0	50.336340604032756	56.0
Haifa	2019	12	24240	Q4	115423.0	2168776.42	port_row	0.8903665165834997	monthly	56.0	49.860524928675986	56.0
