port	year	month	month_index	tons_portrow_m	tons_terminal_sum_m	abs_diff	rel_diff
Ashdod	2021	8	24260	2207186.2	9638.199999999999	2197548.0	0.9956332637454872
Ashdod	2021	9	24261	1624674.2	8030.799999999999	1616643.4	0.9950569781929202
Ashdod	2021	10	24262	1923009.5	9805.0	1913204.5	0.9949012212368166
Ashdod	2021	11	24263	2204187.1999999997	8845.2	2195341.9999999995	0.9959870922034207
Ashdod	2021	12	24264	1927213.6	12496.4	1914717.2000000002	0.993515819938174
Ashdod	2022	1	24265	1721866.8	12510.18	1709356.62	0.9927345251096078
Ashdod	2022	2	24266	1906141.4	16968.18	1889173.22	0.9910981525295028
Ashdod	2022	3	24267	2069856.9000000001	14723.4	2055133.5000000002	0.9928867546350668
Ashdod	2022	4	24268	1853583.5999999999	23690.2	1829893.4	0.9872192438474315
Ashdod	2022	5	24269	2106472.8	56551.6	2049921.1999999997	0.9731534155105159
Ashdod	2022	6	24270	1862577.5	65319.074	1797258.426	0.9649308154962679
Ashdod	2022	7	24271	1773857.0999999999	114924.8	1658932.2999999998	0.9352119175778026
Ashdod	2022	8	24272	1982143.7000000002	140682.368	1841461.3320000002	0.9290251418199397
Ashdod	2022	9	24273	1612166.0	200778.11	1411387.8900000001	0.875460647352692
Ashdod	2022	10	24274	1478682.1	130114.56559999999	1348567.5344	0.9120063970477494
Ashdod	2022	11	24275	1613172.0	241208.515	1371963.4849999999	0.8504756374397769
Ashdod	2022	12	24276	1754065.1	187668.07	1566397.03	0.8930096323106822
Ashdod	2023	1	24277	1812451.1	258278.23665	1554172.86335	0.857497817927336
Ashdod	2023	2	24278	1508859.5	283199.840693	1225659.659307	0.8123086737413258
Ashdod	2023	3	24279	1710729.4	278018.026541	1432711.373459	0.8374856791839784
Ashdod	2023	4	24280	1328739.8	391020.456997	937719.3430030001	0.7057208213398892
Ashdod	2023	5	24281	1703804.9000000001	534109.988779999	1169694.911220001	0.6865192788329233
Ashdod	2023	6	24282	1825308.2	515324.783153	1309983.416847	0.7176779334289957
Ashdod	2023	7	24283	1688590.8	354185.78699562	1334405.01300438	0.7902477101050059
Ashdod	2023	8	24284	1693768.3	448523.403704	1245244.896296	0.7351919954435326
Ashdod	2023	9	24285	1601157.0	484714.013363	1116442.986637	0.6972726513621088
Ashdod	2023	10	24286	1353355.6	339460.035671	1013895.5643290001	0.7491715882573656
Ashdod	2023	11	24287	1405591.0	250565.69282	1155025.30718	0.8217364134943949
Ashdod	2023	12	24288	1368176.6	145001.31436999998	1223175.28563	0.8940185686774645
Ashdod	2024	1	24289	1322543.7999999998	172316.843482	1150226.9565179998	0.8697080251844966
Ashdod	2024	2	24290	1688545.2	301566.288237	1386978.9117629998	0.8214046693941032
Ashdod	2024	3	24291	1676087.4	404137.175067999	1271950.224932001	0.7588806078561303
Ashdod	2024	4	24292	1550867.2999999998	447052.43409	1103814.8659099997	0.7117403699916813
Ashdod	2024	5	24293	1674636.9	612965.040907001	1061671.8590929988	0.6339713755817746
Ashdod	2024	6	24294	1530292.5	557492.796	972799.704	0.6356952700219076
Ashdod	2024	7	24295	1701165.7	618378.3988699999	1082787.30113	0.6364972566340834
Ashdod	2024	8	24296	1743592.9000000001	604186.649428001	1139406.2505719992	0.6534818136573045
Ashdod	2024	9	24297	1776113.7000000002	561265.311859	1214848.3881410002	0.6839924652014114
Ashdod	2024	10	24298	1431902.7000000002	486900.45149899996	945002.2485010002	0.659962613731366
Ashdod	2024	11	24299	1590222.6	560874.9182579999	1029347.6817420002	0.6472978573829853
Ashdod	2024	12	24300	2013631.5999999999	524650.456194001	1488981.1438059988	0.739450624337639
Ashdod	2025	1	24301	1870507.5	445801.58999999997	1424705.9100000001	0.7616681087886576
Ashdod	2025	2	24302	1485993.5	500210.11199999996	985783.388	0.6633833781910891
Ashdod	2025	3	24303	1896035.5	525431.921	1370603.579	0.7228786481054811
Ashdod	2025	4	24304	1655904.2	598791.196	1057113.004	0.6383901943119656
Ashdod	2025	5	24305	1806261.0	542021.422	1264239.578	0.6999207633891226
Ashdod	2025	6	24306	1755260.6	501414.744	1253845.8560000001	0.7143360114161966
Ashdod	2025	7	24307	1764887.7	914638.2710000001	850249.4289999999	0.48175837420137263
Ashdod	2025	8	24308	1714340.0	604286.0090000001	1110053.991	0.6475109902353092
Haifa	2021	7	24259	1380398.8	6369.799999999999	1374029.0	0.9953855364116514
Haifa	2021	8	24260	1403292.5	7100.0	1396192.5	0.9949404703581043
Haifa	2021	9	24261	1291716.4	1730.3999999999999	1289986.0	0.9986603870632904
Haifa	2021	10	24262	1492880.5	18082.8	1474797.7	0.9878873091315749
Haifa	2021	11	24263	1367014.1	19484.0	1347530.1	0.9857470380151895
