port	terminal	year	month	month_index	quarter	L_hours_i_m	TEU_i_m	share_i_p_q	Pi_teu_per_hour_i_y
Ashdod	Ashdod-HCT	2021	1	24253	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	2	24254	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	3	24255	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	4	24256	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	5	24257	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	6	24258	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	7	24259	Q3	104.85500086416096	3271.4760269618228	0.0212822201063743	31.200000000000003
Ashdod	Ashdod-HCT	2021	8	24260	Q3	106.36952975141706	3318.7293282442124	0.0212822201063743	31.200000000000003
Ashdod	Ashdod-HCT	2021	9	24261	Q3	73.39891859816585	2290.046260262775	0.0212822201063743	31.200000000000003
Ashdod	Ashdod-HCT	2021	10	24262	Q4	172.1941069210607	5372.456135937094	0.0393229310804623	31.200000000000003
Ashdod	Ashdod-HCT	2021	11	24263	Q4	174.2036451117408	5435.153727486314	0.0393229310804623	31.200000000000003
Ashdod	Ashdod-HCT	2021	12	24264	Q4	174.2036451117408	5435.153727486314	0.0393229310804623	31.200000000000003
Ashdod	Ashdod-HCT	2022	1	24265	Q1	241.71453581270944	7154.750260056199	0.0563635405368669	29.6
Ashdod	Ashdod-HCT	2022	2	24266	Q1	241.71453581270944	7154.750260056199	0.0563635405368669	29.6
Ashdod	Ashdod-HCT	2022	3	24267	Q1	241.71453581270944	7154.750260056199	0.0563635405368669	29.6
Ashdod	Ashdod-HCT	2022	4	24268	Q2	320.664151526553	9491.658885185969	0.0710515555389265	29.6
Ashdod	Ashdod-HCT	2022	5	24269	Q2	320.664151526553	9491.658885185969	0.0710515555389265	29.6
Ashdod	Ashdod-HCT	2022	6	24270	Q2	320.664151526553	9491.658885185969	0.0710515555389265	29.6
Ashdod	Ashdod-HCT	2022	7	24271	Q3	788.9283785047252	23352.280003739867	0.161169509409769	29.6
Ashdod	Ashdod-HCT	2022	8	24272	Q3	788.9283785047252	23352.280003739867	0.161169509409769	29.6
Ashdod	Ashdod-HCT	2022	9	24273	Q3	788.9283785047252	23352.280003739867	0.161169509409769	29.6
Ashdod	Ashdod-HCT	2022	10	24274	Q4	786.1065785118262	23268.754723950056	0.1832121695816357	29.6
Ashdod	Ashdod-HCT	2022	11	24275	Q4	786.1065785118262	23268.754723950056	0.1832121695816357	29.6
Ashdod	Ashdod-HCT	2022	12	24276	Q4	786.1065785118262	23268.754723950056	0.1832121695816357	29.6
Ashdod	Ashdod-HCT	2023	1	24277	Q1	1051.4880952380954	29441.666666666668	0.2258281430573027	28.0
Ashdod	Ashdod-HCT	2023	2	24278	Q1	1051.4880952380954	29441.666666666668	0.2258281430573027	28.0
Ashdod	Ashdod-HCT	2023	3	24279	Q1	1051.4880952380954	29441.666666666668	0.2258281430573027	28.0
Ashdod	Ashdod-HCT	2023	4	24280	Q2	1792.1874999999998	50181.24999999999	0.3412531685669095	28.0
Ashdod	Ashdod-HCT	2023	5	24281	Q2	1792.1874999999998	50181.24999999999	0.3412531685669095	28.0
Ashdod	Ashdod-HCT	2023	6	24282	Q2	1792.1874999999998	50181.24999999999	0.3412531685669095	28.0
Ashdod	Ashdod-HCT	2023	7	24283	Q3	1770.0982142857144	49562.75	0.3400280939827765	28.0
Ashdod	Ashdod-HCT	2023	8	24284	Q3	1770.0982142857144	49562.75	0.3400280939827765	28.0
Ashdod	Ashdod-HCT	2023	9	24285	Q3	1770.0982142857144	49562.75	0.3400280939827765	28.0
Ashdod	Ashdod-HCT	2023	10	24286	Q4	1040.6101190476188	29137.08333333333	0.2669329035676304	28.0
Ashdod	Ashdod-HCT	2023	11	24287	Q4	1040.6101190476188	29137.08333333333	0.2669329035676304	28.0
Ashdod	Ashdod-HCT	2023	12	24288	Q4	1040.6101190476188	29137.08333333333	0.2669329035676304	28.0
Ashdod	Ashdod-HCT	2024	1	24289	Q1	557.7745901639344	34024.25	0.266510051299257	61.0
Ashdod	Ashdod-HCT	2024	2	24290	Q1	557.7745901639344	34024.25	0.266510051299257	61.0
Ashdod	Ashdod-HCT	2024	3	24291	Q1	557.7745901639344	34024.25	0.266510051299257	61.0
Ashdod	Ashdod-HCT	2024	4	24292	Q2	1010.5737704918032	61645.00000000001	0.4134972699588146	61.0
Ashdod	Ashdod-HCT	2024	5	24293	Q2	1010.5737704918032	61645.00000000001	0.4134972699588146	61.0
