port	terminal	year	quarter	tons_i_q	TEU_i_q	r_terminal_q	w	w_source	Pi_teu_per_hour_i_y	LP_mix
Haifa	Haifa-Legacy	2021	Q3	4060207.5	349371.975198281	11.621445874975198	0.9904912280021586	terminal_quarter_specific	47.0	46.55308771610145
Haifa	Haifa-Legacy	2021	Q4	4224779.5	351457.887348166	12.020727524076849	1.023728222326938	terminal_quarter_specific	47.0	48.115226449366084
Haifa	Haifa-Legacy	2022	Q1	4248435.798	354496.0	11.984439311021847	1.336746906235149	terminal_quarter_specific	47.0	62.827104593052
Haifa	Haifa-Legacy	2022	Q2	3296997.828	318193.0	10.36162903646529	1.1604524016134068	terminal_quarter_specific	47.0	54.54126287583012
Haifa	Haifa-Legacy	2022	Q3	2017959.724	240017.0	8.407569980459717	0.9416072261631142	terminal_quarter_specific	47.0	44.255539629666366
Haifa	Haifa-Legacy	2022	Q4	774599.4709999999	157894.0	4.905819543491202	0.5611934659883304	terminal_quarter_specific	47.0	26.37609290145153
Haifa	Haifa-Legacy	2023	Q1	227730.07599999988	170270.0	1.337464474070593	0.3411228406488371	terminal_quarter_specific	49.0	16.715019191793015
Haifa	Haifa-Legacy	2023	Q2	708632.5560000002	191550.0	3.6994651840250596	0.8960804676803154	terminal_quarter_specific	49.0	43.90794291633545
Haifa	Haifa-Legacy	2023	Q3	853088.084	176997.0	4.819788380594021	1.1674439442902957	terminal_quarter_specific	49.0	57.204753270224494
Haifa	Haifa-Legacy	2023	Q4	1283548.1970000002	193275.0	6.641046162204114	1.595352747380552	terminal_quarter_specific	49.0	78.17228462164705
Haifa	Haifa-Legacy	2024	Q1	829953.1479999998	164873.0	5.033893651477197	0.7077220944688357	terminal_quarter_specific	41.0	29.016605873222264
Haifa	Haifa-Legacy	2024	Q2	965372.027	147928.0	6.525958756962847	0.909407047737935	terminal_quarter_specific	41.0	37.28568895725534
Haifa	Haifa-Legacy	2024	Q3	1427507.0990000002	172710.0	8.265341317815993	1.1517939242814936	terminal_quarter_specific	41.0	47.22355089554124
Haifa	Haifa-Legacy	2024	Q4	1436296.702	162259.0	8.851876949814802	1.231076933511736	terminal_quarter_specific	41.0	50.47415427398118
