port	terminal	year	quarter	tons_i_q	TEU_i_q	r_terminal_q	w	w_source	Pi_teu_per_hour_i_y	LP_mix
Haifa	Haifa-Bayport	2021	Q3	15200.2	7128.162716288311	2.1324148458713723	0.9584770137315627	terminal_quarter_specific	43.16326530612245	41.37099763351541
Haifa	Haifa-Bayport	2021	Q4	60014.8	25856.0489929849	2.3211125573084597	1.0415229862684372	terminal_quarter_specific	43.16326530612245	44.95553297872948
Haifa	Haifa-Bayport	2022	Q1	264238.002	51468.75	5.1339502513661195	0.6511665678656703	terminal_quarter_specific	43.16326530612245	28.106475327263116
Haifa	Haifa-Bayport	2022	Q2	737784.772	102593.0	7.191375356993167	0.9012852050850264	terminal_quarter_specific	43.16326530612245	38.902412423567974
Haifa	Haifa-Bayport	2022	Q3	1187349.476	123998.25	9.575534138586633	1.2000885535062922	terminal_quarter_specific	43.16326530612245	51.79974062583281
Haifa	Haifa-Bayport	2022	Q4	1715491.6290000002	172148.25	9.965199349978871	1.2474596735430115	terminal_quarter_specific	43.16326530612245	53.8444328478259
Haifa	Haifa-Bayport	2023	Q1	2404611.824	222086.0	10.827390398314167	1.0309832216846702	terminal_quarter_specific	45.0	46.39424497581016
Haifa	Haifa-Bayport	2023	Q2	2521923.344	231566.75	10.890697148878239	1.0368304433504987	terminal_quarter_specific	45.0	46.65736995077244
Haifa	Haifa-Bayport	2023	Q3	2239471.316	214054.5	10.462154806369407	0.9962055187105772	terminal_quarter_specific	45.0	44.82924834197597
Haifa	Haifa-Bayport	2023	Q4	1423290.503	145084.0	9.810113472195418	0.935980816254254	terminal_quarter_specific	45.0	42.11913673144143
Haifa	Haifa-Bayport	2024	Q1	1530232.952	159882.75	9.570969676215853	1.028132497057539	terminal_quarter_specific	50.0	51.406624852876945
Haifa	Haifa-Bayport	2024	Q2	1271937.673	132787.5	9.578745537042266	1.028942736460058	terminal_quarter_specific	50.0	51.44713682300291
Haifa	Haifa-Bayport	2024	Q3	1158368.501	129346.75	8.955528461287198	0.9625705919209193	terminal_quarter_specific	50.0	48.128529596045965
Haifa	Haifa-Bayport	2024	Q4	1289047.998	141247.0	9.12619735640403	0.9803541745614839	terminal_quarter_specific	50.0	49.0177087280742
