port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	L_hours_port_m	LP_raw
Ashdod	2018	1	24217	Q1	121784.0	2003195.046	port_row	2944.6411283756097	41.35784113943327
Ashdod	2018	2	24218	Q1	108885.0	1853087.047	port_row	2944.6411283756097	36.97734129661689
Ashdod	2018	3	24219	Q1	122666.0	1899461.314	port_row	2944.6411283756097	41.65736830133451
Ashdod	2018	4	24220	Q2	117145.0	1925889.287	port_row	3007.98648357777	38.944656380458525
Ashdod	2018	5	24221	Q2	109438.0	1982586.069	port_row	3007.98648357777	36.382477314137354
Ashdod	2018	6	24222	Q2	132217.0	1971086.063	port_row	3007.98648357777	43.9553171936923
Ashdod	2018	7	24223	Q3	142318.0	2204184.377	port_row	3028.1183638244293	46.998823328773824
Ashdod	2018	8	24224	Q3	136641.0	2189938.196	port_row	3028.1183638244293	45.12406173826911
Ashdod	2018	9	24225	Q3	95956.0	1524789.63	port_row	3028.1183638244293	31.688325379332348
Ashdod	2018	10	24226	Q4	137108.0	2025302.49	port_row	3029.0995526774736	45.26361633733954
Ashdod	2018	11	24227	Q4	130572.0	2055397.323	port_row	3029.0995526774736	43.1058793972569
Ashdod	2018	12	24228	Q4	122481.0	1840130.271	port_row	3029.0995526774736	40.43478857990551
Ashdod	2019	1	24229	Q1	122983.0	1957516.591	port_row	2955.5498509479307	41.610869788088934
Ashdod	2019	2	24230	Q1	134800.0	1858875.069	port_row	2955.5498509479307	45.60911058792181
Ashdod	2019	3	24231	Q1	117963.0	1896987.78	port_row	2955.5498509479307	39.912370269161876
Ashdod	2019	4	24232	Q2	134523.0	2000467.108	port_row	3110.9009540512707	43.24245676314867
Ashdod	2019	5	24233	Q2	129557.0	2054487.8950000005	port_row	3110.9009540512707	41.64613464510345
Ashdod	2019	6	24234	Q2	138893.0	1958733.971	port_row	3110.9009540512707	44.64719451100561
Ashdod	2019	7	24235	Q3	149568.0	2197893.836	port_row	3244.768891659122	46.095116476391816
Ashdod	2019	8	24236	Q3	132240.0	2181836.7509999997	port_row	3244.768891659122	40.75482859193179
Ashdod	2019	9	24237	Q3	127738.0	1892738.77	port_row	3244.768891659122	39.367364599789646
Ashdod	2019	10	24238	Q4	113143.0	1792693.28	port_row	2891.923160484535	39.1237919271144
Ashdod	2019	11	24239	Q4	119108.0	1982382.752	port_row	2891.923160484535	41.186433176199515
Ashdod	2019	12	24240	Q4	117080.0	1815306.523	port_row	2891.923160484535	40.48516973057594
Ashdod	2020	1	24241	Q1	118457.0	1835242.1	port_row	3177.832503248949	37.27603637979411
Ashdod	2020	2	24242	Q1	125794.0	1933438.078	port_row	3177.832503248949	39.58484277298784
Ashdod	2020	3	24243	Q1	119175.0	1856792.117	port_row	3177.832503248949	37.50197654475433
Ashdod	2020	4	24244	Q2	114099.0	1850266.505	port_row	3328.4624153558893	34.27979221685163
Ashdod	2020	5	24245	Q2	121426.0	1997070.614	port_row	3328.4624153558893	36.48110894682185
Ashdod	2020	6	24246	Q2	136483.0	2044783.716	port_row	3328.4624153558893	41.00481933349601
Ashdod	2020	7	24247	Q3	143321.0	2081313.428	port_row	3461.4382537092774	41.405043076073135
Ashdod	2020	8	24248	Q3	145353.0	2099862.499	port_row	3461.4382537092774	41.99208229245162
Ashdod	2020	9	24249	Q3	136085.0	1946341.8	port_row	3461.4382537092774	39.31458255948125
Ashdod	2020	10	24250	Q4	144608.0	2106747.689	port_row	3574.9933234123782	40.44986575302741
Ashdod	2020	11	24251	Q4	138073.0	2089987.8	port_row	3574.9933234123782	38.62189031117057
Ashdod	2020	12	24252	Q4	141625.0	2131800.0379999997	port_row	3574.9933234123782	39.61545860030225
Ashdod	2021	1	24253	Q1	133397.0	1978636.9	port_row	3533.370792343458	37.75346767711473
Ashdod	2021	2	24254	Q1	119323.0	1874818.0	port_row	3533.370792343458	33.77030235789681
Ashdod	2021	3	24255	Q1	136831.0	2055116.9	port_row	3533.370792343458	38.72534416611532
Ashdod	2021	4	24256	Q2	130945.0	1879225.8	port_row	3510.538025282764	37.30055024527266
Ashdod	2021	5	24257	Q2	139946.0	1939299.0	port_row	3510.538025282764	39.864544691472965
Ashdod	2021	6	24258	Q2	145913.0	2051865.6	port_row	3510.538025282764	41.564284149364006
Ashdod	2021	7	24259	Q3	150512.0	1922524.0	port_row	3458.7483112771297	43.51632048775009
Ashdod	2021	8	24260	Q3	152686.0	2207186.2	port_row	3458.7483112771297	44.14487157165283
Ashdod	2021	9	24261	Q3	105359.0	1624674.2	port_row	3458.7483112771297	30.461597814585296
Ashdod	2021	10	24262	Q4	136624.0	1923009.5	port_row	3654.171319775131	37.388504271991145
