port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Haifa	Haifa-Bayport	2021	Q3	7128.162716288311	15200.2	166.00555130006916	42.93930329717438
Haifa	Haifa-Bayport	2021	Q4	25856.0489929849	60014.8	598.1676750613433	43.22542001343237
Haifa	Haifa-Bayport	2022	Q1	51468.75	264238.002	1512.0739102647592	34.038514685428304
Haifa	Haifa-Bayport	2022	Q2	102593.0	737784.772	2599.9223046203097	39.46002533140412
Haifa	Haifa-Bayport	2022	Q3	123998.25	1187349.476	2885.6901079150507	42.97005061627715
Haifa	Haifa-Bayport	2022	Q4	172148.25	1715491.6290000002	3432.6702965852246	50.14995182358493
Haifa	Haifa-Bayport	2023	Q1	222086.0	2404611.824	4403.537237723709	50.43354649018511
Haifa	Haifa-Bayport	2023	Q2	231566.75	2521923.344	5225.306084775813	44.316399124384525
Haifa	Haifa-Bayport	2023	Q3	214054.5	2239471.316	5002.9590608246435	42.78557897387974
Haifa	Haifa-Bayport	2023	Q4	145084.0	1423290.503	3430.2253944536114	42.295762906597545
Haifa	Haifa-Bayport	2024	Q1	159882.75	1530232.952	2848.1246759987635	56.13614858483443
Haifa	Haifa-Bayport	2024	Q2	132787.5	1271937.673	2594.08913444751	51.188487795844814
Haifa	Haifa-Bayport	2024	Q3	129346.75	1158368.501	2714.2046604136463	47.65548887543635
Haifa	Haifa-Bayport	2024	Q4	141247.0	1289047.998	3108.861529140081	45.43367360561385
