port	year	month	month_index	TEU_port_m	is_pre_reform
Ashdod	2008	1	24097	60353.0	True
Ashdod	2008	2	24098	70824.0	True
Ashdod	2008	3	24099	71390.0	True
Ashdod	2008	4	24100	66996.0	True
Ashdod	2008	5	24101	67275.0	True
Ashdod	2008	6	24102	62796.0	True
Ashdod	2008	7	24103	74263.0	True
Ashdod	2008	8	24104	59704.0	True
Ashdod	2008	9	24105	60414.0	True
Ashdod	2008	10	24106	81383.0	True
Ashdod	2008	11	24107	78682.0	True
Ashdod	2008	12	24108	73840.0	True
Ashdod	2009	1	24109	62614.0	True
Ashdod	2009	2	24110	65477.0	True
Ashdod	2009	3	24111	81874.0	True
Ashdod	2009	4	24112	73118.0	True
Ashdod	2009	5	24113	67513.0	True
Ashdod	2009	6	24114	71967.0	True
Ashdod	2009	7	24115	71383.0	True
Ashdod	2009	8	24116	82658.0	True
Ashdod	2009	9	24117	75171.0	True
Ashdod	2009	10	24118	75559.0	True
Ashdod	2009	11	24119	79358.0	True
Ashdod	2009	12	24120	86291.0	True
Ashdod	2010	1	24121	81756.0	True
Ashdod	2010	2	24122	83970.0	True
Ashdod	2010	3	24123	94434.0	True
Ashdod	2010	4	24124	89477.0	True
Ashdod	2010	5	24125	90051.0	True
Ashdod	2010	6	24126	86733.0	True
Ashdod	2010	7	24127	83713.0	True
Ashdod	2010	8	24128	79168.0	True
Ashdod	2010	9	24129	69693.0	True
Ashdod	2010	10	24130	82483.0	True
Ashdod	2010	11	24131	88697.0	True
Ashdod	2010	12	24132	87407.0	True
Ashdod	2011	1	24133	87399.0	True
Ashdod	2011	2	24134	94697.0	True
Ashdod	2011	3	24135	115191.0	True
Ashdod	2011	4	24136	105157.0	True
Ashdod	2011	5	24137	89491.0	True
Ashdod	2011	6	24138	107759.0	True
Ashdod	2011	7	24139	94530.0	True
Ashdod	2011	8	24140	102746.0	True
Ashdod	2011	9	24141	89843.0	True
Ashdod	2011	10	24142	92240.0	True
Ashdod	2011	11	24143	87058.0	True
Ashdod	2011	12	24144	93992.0	True
Ashdod	2012	1	24145	97707.0	True
Ashdod	2012	2	24146	86667.0	True
Ashdod	2012	3	24147	103621.0	True
Ashdod	2012	4	24148	106083.0	True
Ashdod	2012	5	24149	111086.0	True
Ashdod	2012	6	24150	100854.0	True
Ashdod	2012	7	24151	110748.0	True
Ashdod	2012	8	24152	97918.0	True
Ashdod	2012	9	24153	82517.0	True
Ashdod	2012	10	24154	97414.0	True
Ashdod	2012	11	24155	85932.0	True
Ashdod	2012	12	24156	89904.0	True
Ashdod	2013	1	24157	89926.0	True
Ashdod	2013	2	24158	96528.0	True
Ashdod	2013	3	24159	91882.0	True
Ashdod	2013	4	24160	104279.0	True
Ashdod	2013	5	24161	111714.0	True
Ashdod	2013	6	24162	101692.0	True
Ashdod	2013	7	24163	108589.0	True
Ashdod	2013	8	24164	107306.0	True
Ashdod	2013	9	24165	85071.0	True
Ashdod	2013	10	24166	101386.0	True
Ashdod	2013	11	24167	89345.0	True
Ashdod	2013	12	24168	93950.0	True
Ashdod	2014	1	24169	107357.0	True
Ashdod	2014	2	24170	108099.0	True
Ashdod	2014	3	24171	102626.0	True
Ashdod	2014	4	24172	93827.0	True
Ashdod	2014	5	24173	109065.0	True
Ashdod	2014	6	24174	116241.0	True
Ashdod	2014	7	24175	100992.0	True
Ashdod	2014	8	24176	100807.0	True
Ashdod	2014	9	24177	100582.0	True
Ashdod	2014	10	24178	98121.0	True
Ashdod	2014	11	24179	97901.0	True
Ashdod	2014	12	24180	114088.0	True
Ashdod	2015	1	24181	96537.0	True
Ashdod	2015	2	24182	87184.0	True
Ashdod	2015	3	24183	122441.0	True
Ashdod	2015	4	24184	107726.0	True
Ashdod	2015	5	24185	110275.0	True
Ashdod	2015	6	24186	122463.0	True
Ashdod	2015	7	24187	116615.0	True
Ashdod	2015	8	24188	115750.0	True
Ashdod	2015	9	24189	95846.0	True
Ashdod	2015	10	24190	114184.0	True
Ashdod	2015	11	24191	104993.0	True
Ashdod	2015	12	24192	112753.0	True
Ashdod	2016	1	24193	107585.0	True
Ashdod	2016	2	24194	118541.0	True
Ashdod	2016	3	24195	127047.0	True
Ashdod	2016	4	24196	113170.0	True
Ashdod	2016	5	24197	134577.0	True
Ashdod	2016	6	24198	124959.0	True
Ashdod	2016	7	24199	132733.0	True
Ashdod	2016	8	24200	135287.0	True
Ashdod	2016	9	24201	119528.0	True
Ashdod	2016	10	24202	95417.0	True
Ashdod	2016	11	24203	120578.0	True
Ashdod	2016	12	24204	113654.0	True
Ashdod	2017	1	24205	126983.0	True
Ashdod	2017	2	24206	117643.0	True
Ashdod	2017	3	24207	126787.0	True
Ashdod	2017	4	24208	121339.0	True
Ashdod	2017	5	24209	139737.0	True
Ashdod	2017	6	24210	140987.0	True
Ashdod	2017	7	24211	133204.0	True
Ashdod	2017	8	24212	130595.0	True
Ashdod	2017	9	24213	115407.0	True
Ashdod	2017	10	24214	122074.0	True
Ashdod	2017	11	24215	123967.0	True
Ashdod	2017	12	24216	126749.0	True
Ashdod	2018	1	24217	121784.0	True
Ashdod	2018	2	24218	108885.0	True
Ashdod	2018	3	24219	122666.0	True
Ashdod	2018	4	24220	117145.0	True
Ashdod	2018	5	24221	109438.0	True
Ashdod	2018	6	24222	132217.0	True
Ashdod	2018	7	24223	142318.0	True
Ashdod	2018	8	24224	136641.0	True
Ashdod	2018	9	24225	95956.0	True
Ashdod	2018	10	24226	137108.0	True
Ashdod	2018	11	24227	130572.0	True
Ashdod	2018	12	24228	122481.0	True
Ashdod	2019	1	24229	122983.0	True
Ashdod	2019	2	24230	134800.0	True
Ashdod	2019	3	24231	117963.0	True
Ashdod	2019	4	24232	134523.0	True
Ashdod	2019	5	24233	129557.0	True
Ashdod	2019	6	24234	138893.0	True
Ashdod	2019	7	24235	149568.0	True
Ashdod	2019	8	24236	132240.0	True
Ashdod	2019	9	24237	127738.0	True
Ashdod	2019	10	24238	113143.0	True
Ashdod	2019	11	24239	119108.0	True
Ashdod	2019	12	24240	117080.0	True
Ashdod	2020	1	24241	118457.0	True
Ashdod	2020	2	24242	125794.0	True
Ashdod	2020	3	24243	119175.0	True
Ashdod	2020	4	24244	114099.0	True
Ashdod	2020	5	24245	121426.0	True
Ashdod	2020	6	24246	136483.0	True
Ashdod	2020	7	24247	143321.0	True
Ashdod	2020	8	24248	145353.0	True
Ashdod	2020	9	24249	136085.0	True
Ashdod	2020	10	24250	144608.0	True
Ashdod	2020	11	24251	138073.0	True
Ashdod	2020	12	24252	141625.0	True
Ashdod	2021	1	24253	133397.0	True
Ashdod	2021	2	24254	119323.0	True
Ashdod	2021	3	24255	136831.0	True
Ashdod	2021	4	24256	130945.0	True
Ashdod	2021	5	24257	139946.0	True
Ashdod	2021	6	24258	145913.0	True
Ashdod	2021	7	24259	150512.0	True
Ashdod	2021	8	24260	152686.0	True
Ashdod	2021	9	24261	105359.0	False
Ashdod	2021	10	24262	136624.0	False
Haifa	2008	1	24097	111821.0	True
Haifa	2008	2	24098	107855.0	True
Haifa	2008	3	24099	121856.0	True
Haifa	2008	4	24100	116791.0	True
Haifa	2008	5	24101	117909.0	True
Haifa	2008	6	24102	116313.0	True
Haifa	2008	7	24103	121686.0	True
Haifa	2008	8	24104	96541.0	True
Haifa	2008	9	24105	62096.0	True
Haifa	2008	10	24106	91875.0	True
Haifa	2008	11	24107	101028.0	True
Haifa	2008	12	24108	85347.0	True
Haifa	2009	1	24109	86263.0	True
Haifa	2009	2	24110	79897.0	True
Haifa	2009	3	24111	95720.0	True
Haifa	2009	4	24112	95683.0	True
Haifa	2009	5	24113	102347.0	True
Haifa	2009	6	24114	101921.0	True
Haifa	2009	7	24115	100866.0	True
Haifa	2009	8	24116	95339.0	True
Haifa	2009	9	24117	84512.0	True
Haifa	2009	10	24118	90226.0	True
Haifa	2009	11	24119	95217.0	True
Haifa	2009	12	24120	105532.0	True
Haifa	2010	1	24121	93407.0	True
Haifa	2010	2	24122	88625.0	True
Haifa	2010	3	24123	115287.0	True
Haifa	2010	4	24124	105094.0	True
Haifa	2010	5	24125	114218.0	True
Haifa	2010	6	24126	114558.0	True
Haifa	2010	7	24127	110988.0	True
Haifa	2010	8	24128	118677.0	True
Haifa	2010	9	24129	105246.0	True
Haifa	2010	10	24130	100435.0	True
Haifa	2010	11	24131	102102.0	True
Haifa	2010	12	24132	97820.0	True
Haifa	2011	1	24133	86518.0	True
Haifa	2011	2	24134	100097.0	True
Haifa	2011	3	24135	115370.0	True
Haifa	2011	4	24136	102965.0	True
Haifa	2011	5	24137	117208.0	True
Haifa	2011	6	24138	118078.0	True
Haifa	2011	7	24139	105812.0	True
Haifa	2011	8	24140	108437.0	True
Haifa	2011	9	24141	90759.0	True
Haifa	2011	10	24142	97236.0	True
Haifa	2011	11	24143	100075.0	True
Haifa	2011	12	24144	92960.0	True
Haifa	2012	1	24145	119345.0	True
Haifa	2012	2	24146	104673.0	True
Haifa	2012	3	24147	133509.0	True
Haifa	2012	4	24148	126614.0	True
Haifa	2012	5	24149	125025.0	True
Haifa	2012	6	24150	110551.0	True
Haifa	2012	7	24151	114893.0	True
Haifa	2012	8	24152	109500.0	True
Haifa	2012	9	24153	97888.0	True
Haifa	2012	10	24154	105790.0	True
Haifa	2012	11	24155	106433.0	True
Haifa	2012	12	24156	116400.0	True
Haifa	2013	1	24157	131694.0	True
Haifa	2013	2	24158	117912.0	True
Haifa	2013	3	24159	130889.0	True
Haifa	2013	4	24160	133791.0	True
Haifa	2013	5	24161	132723.0	True
Haifa	2013	6	24162	119385.0	True
Haifa	2013	7	24163	125306.0	True
Haifa	2013	8	24164	108204.0	True
Haifa	2013	9	24165	87811.0	True
Haifa	2013	10	24166	83851.0	True
Haifa	2013	11	24167	82474.0	True
Haifa	2013	12	24168	102949.0	True
Haifa	2014	1	24169	94993.0	True
Haifa	2014	2	24170	85613.0	True
Haifa	2014	3	24171	102921.0	True
Haifa	2014	4	24172	106096.0	True
Haifa	2014	5	24173	102079.0	True
Haifa	2014	6	24174	100898.0	True
Haifa	2014	7	24175	115842.0	True
Haifa	2014	8	24176	101495.0	True
Haifa	2014	9	24177	97100.0	True
Haifa	2014	10	24178	99709.0	True
Haifa	2014	11	24179	88894.0	True
Haifa	2014	12	24180	100604.0	True
Haifa	2015	1	24181	100223.0	True
