port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Ashdod	Ashdod-HCT	2021	Q3	8695.19848739153	17669.0	267.87677998821385	32.459694669221065
Ashdod	Ashdod-HCT	2021	Q4	15628.2163177368	31146.6	511.7198483812838	30.54057091428702
Ashdod	Ashdod-HCT	2022	Q1	20319.0	44201.76	781.1441632398528	26.011843851876783
Ashdod	Ashdod-HCT	2022	Q2	26586.0	145560.874	992.4688058060202	26.787743699821917
Ashdod	Ashdod-HCT	2022	Q3	60333.0	456385.27799999993	1914.4649912418931	31.514287425471604
Ashdod	Ashdod-HCT	2022	Q4	58997.25	558991.1506	1927.9777829554778	30.600586024160844
Ashdod	Ashdod-HCT	2023	Q1	88325.0	819496.103884	3448.187783750855	25.614904274129238
Ashdod	Ashdod-HCT	2023	Q2	150543.75	1440455.2289299988	5030.252819759707	29.92767071440982
Ashdod	Ashdod-HCT	2023	Q3	148688.25	1287423.20406262	5141.8502888222365	28.91726550717168
Ashdod	Ashdod-HCT	2023	Q4	87411.25	735027.0428609999	3342.860893381487	26.14863519240812
Ashdod	Ashdod-HCT	2024	Q1	102072.75	878020.306786999	1943.0269665194223	52.53285299629406
Ashdod	Ashdod-HCT	2024	Q2	184935.0	1617510.2709970009	3058.791428967441	60.46015372235716
Ashdod	Ashdod-HCT	2024	Q3	218264.5	1783830.3601570008	3356.3594694328654	65.03013219763402
Ashdod	Ashdod-HCT	2024	Q4	187394.75	1572425.825951001	2997.0188563917472	62.52705070585155
