port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Ashdod	Ashdod-Legacy	2021	Q3	408566.326442004	5736715.4	10108.368153843176	40.41862348342231
Ashdod	Ashdod-Legacy	2021	Q4	397432.6401498001	6023263.699999999	10450.794110944109	38.028941717798
Ashdod	Ashdod-Legacy	2022	Q1	360499.0	5653663.34	10671.544047807745	33.78133458335463
Ashdod	Ashdod-Legacy	2022	Q2	374179.0	5677073.026	10755.673498282964	34.788988347380936
Ashdod	Ashdod-Legacy	2022	Q3	374345.0	4911781.522	9146.583013661977	40.927305797241665
Ashdod	Ashdod-Legacy	2022	Q4	322016.0	4286928.0494	8102.929169977039	39.74069046452154
Ashdod	Ashdod-Legacy	2023	Q1	302791.0	4212543.896116	9312.97658658215	32.5128058881037
Ashdod	Ashdod-Legacy	2023	Q2	290606.0	3417397.671070001	7650.149917430323	37.9869679858005
Ashdod	Ashdod-Legacy	2023	Q3	288594.0	3696092.895937381	7862.639451941195	36.70446823410546
Ashdod	Ashdod-Legacy	2023	Q4	240054.0	3392096.1571390005	7232.662615474908	33.190266539791814
Ashdod	Ashdod-Legacy	2024	Q1	280925.0	3809156.093213	8430.826458520693	33.32116980252636
Ashdod	Ashdod-Legacy	2024	Q2	262311.0	3138286.4290029984	6840.029956660441	38.349393447403855
Ashdod	Ashdod-Legacy	2024	Q3	309830.0	3437041.939842999	7511.377309162153	41.248094357086636
Ashdod	Ashdod-Legacy	2024	Q4	302369.0	3463331.074048999	7623.950486183027	39.66040972432688
