port	year	month	month_index	L_hours_port_m
Ashdod	2018	1	24217	2944.6411283756097
Ashdod	2018	2	24218	2944.6411283756097
Ashdod	2018	3	24219	2944.6411283756097
Ashdod	2018	4	24220	3007.98648357777
Ashdod	2018	5	24221	3007.98648357777
Ashdod	2018	6	24222	3007.98648357777
Ashdod	2018	7	24223	3028.1183638244293
Ashdod	2018	8	24224	3028.1183638244293
Ashdod	2018	9	24225	3028.1183638244293
Ashdod	2018	10	24226	3029.0995526774736
Ashdod	2018	11	24227	3029.0995526774736
Ashdod	2018	12	24228	3029.0995526774736
Ashdod	2019	1	24229	2955.5498509479307
Ashdod	2019	2	24230	2955.5498509479307
Ashdod	2019	3	24231	2955.5498509479307
Ashdod	2019	4	24232	3110.9009540512707
Ashdod	2019	5	24233	3110.9009540512707
Ashdod	2019	6	24234	3110.9009540512707
Ashdod	2019	7	24235	3244.768891659122
Ashdod	2019	8	24236	3244.768891659122
Ashdod	2019	9	24237	3244.768891659122
Ashdod	2019	10	24238	2891.923160484535
Ashdod	2019	11	24239	2891.923160484535
Ashdod	2019	12	24240	2891.923160484535
Ashdod	2020	1	24241	3177.832503248949
Ashdod	2020	2	24242	3177.832503248949
Ashdod	2020	3	24243	3177.832503248949
Ashdod	2020	4	24244	3328.4624153558893
Ashdod	2020	5	24245	3328.4624153558893
Ashdod	2020	6	24246	3328.4624153558893
Ashdod	2020	7	24247	3461.4382537092774
Ashdod	2020	8	24248	3461.4382537092774
Ashdod	2020	9	24249	3461.4382537092774
Ashdod	2020	10	24250	3574.9933234123782
Ashdod	2020	11	24251	3574.9933234123782
Ashdod	2020	12	24252	3574.9933234123782
Ashdod	2021	1	24253	3533.370792343458
Ashdod	2021	2	24254	3533.370792343458
Ashdod	2021	3	24255	3533.370792343458
Ashdod	2021	4	24256	3510.538025282764
Ashdod	2021	5	24257	3510.538025282764
Ashdod	2021	6	24258	3510.538025282764
Ashdod	2021	7	24259	3458.7483112771297
Ashdod	2021	8	24260	3458.7483112771297
Ashdod	2021	9	24261	3458.7483112771297
Ashdod	2021	10	24262	3654.171319775131
Ashdod	2021	11	24263	3654.171319775131
Ashdod	2021	12	24264	3654.171319775131
Ashdod	2022	1	24265	3817.5627370158663
Ashdod	2022	2	24266	3817.5627370158663
Ashdod	2022	3	24267	3817.5627370158663
Ashdod	2022	4	24268	3916.0474346963283
Ashdod	2022	5	24269	3916.0474346963283
Ashdod	2022	6	24270	3916.0474346963283
Ashdod	2022	7	24271	3687.016001634623
Ashdod	2022	8	24272	3687.016001634623
Ashdod	2022	9	24273	3687.016001634623
Ashdod	2022	10	24274	3343.6356509775055
Ashdod	2022	11	24275	3343.6356509775055
Ashdod	2022	12	24276	3343.6356509775055
Ashdod	2023	1	24277	4253.721456777668
Ashdod	2023	2	24278	4253.721456777668
Ashdod	2023	3	24279	4253.721456777668
Ashdod	2023	4	24280	4226.800912396677
Ashdod	2023	5	24281	4226.800912396677
Ashdod	2023	6	24282	4226.800912396677
Ashdod	2023	7	24283	4334.829913587811
Ashdod	2023	8	24284	4334.829913587811
Ashdod	2023	9	24285	4334.829913587811
Ashdod	2023	10	24286	3525.1745029521317
Ashdod	2023	11	24287	3525.1745029521317
Ashdod	2023	12	24288	3525.1745029521317
Ashdod	2024	1	24289	3457.9511416800383
Ashdod	2024	2	24290	3457.9511416800383
Ashdod	2024	3	24291	3457.9511416800383
Ashdod	2024	4	24292	3299.6071285426274
Ashdod	2024	5	24293	3299.6071285426274
Ashdod	2024	6	24294	3299.6071285426274
