port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	L_hours_port_m	LP_raw
Haifa	2018	1	24217	Q1	112403.0	2432458.313	port_row		
Haifa	2018	2	24218	Q1	112638.0	2617941.7199999997	port_row		
Haifa	2018	3	24219	Q1	126799.0	2530486.29	port_row		
Haifa	2018	4	24220	Q2	130683.0	2830216.76	port_row		
Haifa	2018	5	24221	Q2	127879.0	2650406.0009999997	port_row		
Haifa	2018	6	24222	Q2	131558.0	2475433.331	port_row		
Haifa	2018	7	24223	Q3	135914.0	2246470.07	port_row		
Haifa	2018	8	24224	Q3	127701.0	2254746.21	port_row		
Haifa	2018	9	24225	Q3	111052.0	2282924.06	port_row		
Haifa	2018	10	24226	Q4	121552.0	2442325.644	port_row		
Haifa	2018	11	24227	Q4	119024.0	2369774.08	port_row		
Haifa	2018	12	24228	Q4	111947.0	2397849.86	port_row		
Haifa	2019	1	24229	Q1	123013.0	2470007.68	port_row		
Haifa	2019	2	24230	Q1	106443.0	2325576.96	port_row		
Haifa	2019	3	24231	Q1	125746.0	2816989.27	port_row		
Haifa	2019	4	24232	Q2	127316.0	2526060.42	port_row		
Haifa	2019	5	24233	Q2	118131.0	2426771.23	port_row		
Haifa	2019	6	24234	Q2	112027.0	2482651.89	port_row		
Haifa	2019	7	24235	Q3	116265.0	2459658.8200000003	port_row		
Haifa	2019	8	24236	Q3	104006.0	2214668.53	port_row		
Haifa	2019	9	24237	Q3	102448.0	2192670.23	port_row		
Haifa	2019	10	24238	Q4	115624.0	2862368.2199999997	port_row		
Haifa	2019	11	24239	Q4	112713.0	2138066.59	port_row		
Haifa	2019	12	24240	Q4	115423.0	2168776.42	port_row		
Haifa	2020	1	24241	Q1	124007.0	2540187.838	port_row		
Haifa	2020	2	24242	Q1	120547.0	2352277.288	port_row		
Haifa	2020	3	24243	Q1	129194.0	2597155.57	port_row		
Haifa	2020	4	24244	Q2	132637.0	2293926.19	port_row		
Haifa	2020	5	24245	Q2	120993.0	2317983.4639999997	port_row		
Haifa	2020	6	24246	Q2	112028.0	1967243.95	port_row		
Haifa	2020	7	24247	Q3	124557.0	1982088.98	port_row		
Haifa	2020	8	24248	Q3	113777.0	2307125.04	port_row		
Haifa	2020	9	24249	Q3	113342.0	2066419.62	port_row		
Haifa	2020	10	24250	Q4	132974.0	2266698.5	port_row		
Haifa	2020	11	24251	Q4	125407.0	2028255.749	port_row		
Haifa	2020	12	24252	Q4	114971.0	2078591.49	port_row		
Haifa	2021	1	24253	Q1	127132.0	1498345.5	port_row		
Haifa	2021	2	24254	Q1	122928.0	1407982.1	port_row		
Haifa	2021	3	24255	Q1	126274.0	1500388.3	port_row		
Haifa	2021	4	24256	Q2	121885.0	1514385.1	port_row		
Haifa	2021	5	24257	Q2	134011.0	1459727.5	port_row		
Haifa	2021	6	24258	Q2	130127.0	1498401.0	port_row		
Haifa	2021	7	24259	Q3	118613.0	1380398.8	port_row		
Haifa	2021	8	24260	Q3	125500.0	1403292.5	port_row		
Haifa	2021	9	24261	Q3	105251.0	1291716.4	port_row		
Haifa	2021	10	24262	Q4	121087.0	1492880.5	port_row		
