port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Ashdod	Ashdod-HCT	2021	Q3	8695.19848739153		282.17809115652886	30.81457689274735
Ashdod	Ashdod-HCT	2021	Q4	15628.2163177368		497.4185372129687	31.418644760007428
Ashdod	Ashdod-HCT	2022	Q1	20319.0		205.98415221385378	98.64351107411755
Ashdod	Ashdod-HCT	2022	Q2	26586.0		678.3266826116786	39.19350466598065
Ashdod	Ashdod-HCT	2022	Q3	60333.0		2126.7961857562677	28.368021535898222
Ashdod	Ashdod-HCT	2022	Q4	58997.25		2604.948722661443	22.648142547590442
Ashdod	Ashdod-HCT	2023	Q1	88325.0		3246.131064344858	27.2093141802412
Ashdod	Ashdod-HCT	2023	Q2	150543.75		5705.831233688853	26.384192562714933
Ashdod	Ashdod-HCT	2023	Q3	148688.25		5099.651402683934	29.156551744251722
Ashdod	Ashdod-HCT	2023	Q4	87411.25		2911.5380849966427	30.022361874789212
Ashdod	Ashdod-HCT	2024	Q1	102072.75		1703.769072788557	59.9099676301423
Ashdod	Ashdod-HCT	2024	Q2	184935.0		3138.724643769633	58.92042819592215
Ashdod	Ashdod-HCT	2024	Q3	218264.5		3461.4632204333134	63.05555948466128
Ashdod	Ashdod-HCT	2024	Q4	187394.75		3051.2397843199715	61.415936880150696
