port	year	quarter	tons_port_q
Ashdod	2008	Q1	3087886.0
Ashdod	2008	Q2	3609245.0
Ashdod	2008	Q3	4168889.0
Ashdod	2008	Q4	4049247.0
Ashdod	2010	Q1	4672874.0
Ashdod	2010	Q2	4928889.0
Ashdod	2010	Q3	4235003.0
Ashdod	2010	Q4	4698238.0
Ashdod	2011	Q1	4967732.800000001
Ashdod	2011	Q2	4859128.5
Ashdod	2011	Q3	4793382.1
Ashdod	2011	Q4	4595190.4
Ashdod	2012	Q1	4582433.9
Ashdod	2012	Q2	5323977.2
Ashdod	2012	Q3	5200298.6
Ashdod	2012	Q4	4507704.7
Ashdod	2013	Q1	4606010.1
Ashdod	2013	Q2	5280814.6
Ashdod	2013	Q3	4723542.7
Ashdod	2013	Q4	4603192.9
Ashdod	2014	Q1	5679557.14
Ashdod	2014	Q2	5100449.17
Ashdod	2014	Q3	5355599.142
Ashdod	2014	Q4	5419133.25
Ashdod	2015	Q1	5351474.549000001
Ashdod	2015	Q2	5562283.052999999
Ashdod	2015	Q3	5544462.065
Ashdod	2015	Q4	5815265.1850000005
Ashdod	2016	Q1	5916720.904999999
Ashdod	2016	Q2	6403901.041999999
Ashdod	2016	Q3	6230375.774
Ashdod	2016	Q4	5535420.2
Ashdod	2017	Q1	5950106.5
Ashdod	2017	Q2	5886816.925
Ashdod	2017	Q3	5966245.72
Ashdod	2017	Q4	5781379.941
Ashdod	2018	Q1	5755743.407
Ashdod	2018	Q2	5879561.419
Ashdod	2018	Q3	5918912.203
Ashdod	2018	Q4	5920830.084
Ashdod	2019	Q1	5713379.4399999995
Ashdod	2019	Q2	6013688.974
Ashdod	2019	Q3	6272469.357
Ashdod	2019	Q4	5590382.555
Ashdod	2020	Q1	5625472.295
Ashdod	2020	Q2	5892120.835
Ashdod	2020	Q3	6127517.727
Ashdod	2020	Q4	6328535.526999999
Ashdod	2021	Q1	5908571.8
Ashdod	2021	Q2	5870390.4
Ashdod	2021	Q3	5754384.4
Ashdod	2021	Q4	6054410.3
Ashdod	2022	Q1	5697865.1
Ashdod	2022	Q2	5822633.899999999
Ashdod	2022	Q3	5368166.8
Ashdod	2022	Q4	4845919.2
Ashdod	2023	Q1	5032040.0
Ashdod	2023	Q2	4857852.9
Ashdod	2023	Q3	4983516.1
Ashdod	2023	Q4	4127123.2
Ashdod	2024	Q1	4687176.399999999
Ashdod	2024	Q2	4755796.699999999
Ashdod	2024	Q3	5220872.300000001
Ashdod	2024	Q4	5035756.9
Ashdod	2025	Q1	5252536.5
Ashdod	2025	Q2	5217425.8
Ashdod	2025	Q3	3479227.7
Haifa	2008	Q1	4573254.0
Haifa	2008	Q2	5271534.0
Haifa	2008	Q3	4966495.0
Haifa	2008	Q4	5001509.0
Haifa	2010	Q1	5245232.0
Haifa	2010	Q2	5716708.0
Haifa	2010	Q3	5701966.0
Haifa	2010	Q4	5173572.4
Haifa	2011	Q1	5343232.100000001
Haifa	2011	Q2	6067298.5
Haifa	2011	Q3	5644521.2
Haifa	2011	Q4	5497189.1
Haifa	2012	Q1	5951113.9
Haifa	2012	Q2	6251090.699999999
Haifa	2012	Q3	5899242.699999999
Haifa	2012	Q4	5886668.9
Haifa	2013	Q1	6513654.3
Haifa	2013	Q2	7021267.899999999
Haifa	2013	Q3	6546669.6
Haifa	2013	Q4	5706245.9
Haifa	2014	Q1	6308428.294
Haifa	2014	Q2	7232734.639
Haifa	2014	Q3	7120144.474
Haifa	2014	Q4	6838849.494
Haifa	2015	Q1	7095296.950999999
Haifa	2015	Q2	6731470.300000001
Haifa	2015	Q3	6390450.5
Haifa	2015	Q4	7042209.5
Haifa	2016	Q1	7150977.896
Haifa	2016	Q2	7196693.050000001
Haifa	2016	Q3	6575530.1
Haifa	2016	Q4	7103368.858999999
Haifa	2017	Q1	7144152.443
Haifa	2017	Q2	7694377.712000001
Haifa	2017	Q3	7180210.733000001
Haifa	2017	Q4	7233063.282000001
Haifa	2018	Q1	7580886.323
Haifa	2018	Q2	7956056.092
Haifa	2018	Q3	6784140.34
Haifa	2018	Q4	7209949.584
Haifa	2019	Q1	7612573.91
Haifa	2019	Q2	7435483.54
Haifa	2019	Q3	6866997.58
Haifa	2019	Q4	7169211.2299999995
Haifa	2020	Q1	7489620.696
Haifa	2020	Q2	6579153.603999999
Haifa	2020	Q3	6355633.640000001
Haifa	2020	Q4	6373545.739
Haifa	2021	Q1	4406715.9
Haifa	2021	Q2	4472513.6
Haifa	2021	Q3	4075407.7
Haifa	2021	Q4	4284794.3
Haifa	2022	Q1	4512673.800000001
Haifa	2022	Q2	4034782.6
Haifa	2022	Q3	3205309.2
Haifa	2022	Q4	2490091.1
Haifa	2023	Q1	2632341.9
Haifa	2023	Q2	3230555.9000000004
Haifa	2023	Q3	3092559.4
Haifa	2023	Q4	2706838.7
Haifa	2024	Q1	2360186.0999999996
Haifa	2024	Q2	2237309.7
Haifa	2024	Q3	2585875.6
Haifa	2024	Q4	2725344.7
Haifa	2025	Q1	2996808.8
Haifa	2025	Q2	2843728.3
Haifa	2025	Q3	1650276.7999999998
