port	terminal	year	quarter	tons_i_q
Ashdod	Ashdod-HCT	2021	Q3	17669.0
Ashdod	Ashdod-HCT	2021	Q4	31146.6
Ashdod	Ashdod-HCT	2022	Q1	44201.76
Ashdod	Ashdod-HCT	2022	Q2	145560.874
Ashdod	Ashdod-HCT	2022	Q3	456385.27799999993
Ashdod	Ashdod-HCT	2022	Q4	558991.1506
Ashdod	Ashdod-HCT	2023	Q1	819496.103884
Ashdod	Ashdod-HCT	2023	Q2	1440455.2289299988
Ashdod	Ashdod-HCT	2023	Q3	1287423.20406262
Ashdod	Ashdod-HCT	2023	Q4	735027.0428609999
Ashdod	Ashdod-HCT	2024	Q1	878020.306786999
Ashdod	Ashdod-HCT	2024	Q2	1617510.2709970009
Ashdod	Ashdod-HCT	2024	Q3	1783830.3601570008
Ashdod	Ashdod-HCT	2024	Q4	1572425.825951001
Ashdod	Ashdod-HCT	2025	Q1	1471443.623
Ashdod	Ashdod-HCT	2025	Q2	1642227.362
Ashdod	Ashdod-HCT	2025	Q3	1518924.2800000003
Ashdod	Ashdod-Legacy	2008	Q1	3087886.0
Ashdod	Ashdod-Legacy	2008	Q2	3609245.0
Ashdod	Ashdod-Legacy	2008	Q3	4168889.0
Ashdod	Ashdod-Legacy	2008	Q4	4049247.0
Ashdod	Ashdod-Legacy	2010	Q1	4672874.0
Ashdod	Ashdod-Legacy	2010	Q2	4928889.0
Ashdod	Ashdod-Legacy	2010	Q3	4235003.0
Ashdod	Ashdod-Legacy	2010	Q4	4698238.0
Ashdod	Ashdod-Legacy	2011	Q1	4967732.800000001
Ashdod	Ashdod-Legacy	2011	Q2	4859128.5
Ashdod	Ashdod-Legacy	2011	Q3	4793382.1
Ashdod	Ashdod-Legacy	2011	Q4	4595190.4
Ashdod	Ashdod-Legacy	2012	Q1	4582433.9
Ashdod	Ashdod-Legacy	2012	Q2	5323977.2
Ashdod	Ashdod-Legacy	2012	Q3	5200298.6
Ashdod	Ashdod-Legacy	2012	Q4	4507704.7
Ashdod	Ashdod-Legacy	2013	Q1	4606010.1
Ashdod	Ashdod-Legacy	2013	Q2	5280814.6
Ashdod	Ashdod-Legacy	2013	Q3	4723542.7
Ashdod	Ashdod-Legacy	2013	Q4	4603192.9
Ashdod	Ashdod-Legacy	2014	Q1	5679557.14
Ashdod	Ashdod-Legacy	2014	Q2	5100449.17
Ashdod	Ashdod-Legacy	2014	Q3	5355599.142
Ashdod	Ashdod-Legacy	2014	Q4	5419133.25
Ashdod	Ashdod-Legacy	2015	Q1	5351474.549000001
Ashdod	Ashdod-Legacy	2015	Q2	5562283.052999999
Ashdod	Ashdod-Legacy	2015	Q3	5544462.065
Ashdod	Ashdod-Legacy	2015	Q4	5815265.1850000005
Ashdod	Ashdod-Legacy	2016	Q1	5916720.904999999
Ashdod	Ashdod-Legacy	2016	Q2	6403901.041999999
Ashdod	Ashdod-Legacy	2016	Q3	6230375.774
Ashdod	Ashdod-Legacy	2016	Q4	5535420.2
Ashdod	Ashdod-Legacy	2017	Q1	5950106.5
Ashdod	Ashdod-Legacy	2017	Q2	5886816.925
Ashdod	Ashdod-Legacy	2017	Q3	5966245.72
Ashdod	Ashdod-Legacy	2017	Q4	5781379.941
Ashdod	Ashdod-Legacy	2018	Q1	5755743.407
Ashdod	Ashdod-Legacy	2018	Q2	5879561.419
Ashdod	Ashdod-Legacy	2018	Q3	5918912.203
Ashdod	Ashdod-Legacy	2018	Q4	5920830.084
Ashdod	Ashdod-Legacy	2019	Q1	5713379.4399999995
Ashdod	Ashdod-Legacy	2019	Q2	6013688.974
Ashdod	Ashdod-Legacy	2019	Q3	6272469.357
Ashdod	Ashdod-Legacy	2019	Q4	5590382.555
Ashdod	Ashdod-Legacy	2020	Q1	5625472.295
Ashdod	Ashdod-Legacy	2020	Q2	5892120.835
Ashdod	Ashdod-Legacy	2020	Q3	6127517.727
Ashdod	Ashdod-Legacy	2020	Q4	6328535.526999999
Ashdod	Ashdod-Legacy	2021	Q1	5908571.8
Ashdod	Ashdod-Legacy	2021	Q2	5870390.4
Ashdod	Ashdod-Legacy	2021	Q3	5736715.4
Ashdod	Ashdod-Legacy	2021	Q4	6023263.699999999
Ashdod	Ashdod-Legacy	2022	Q1	5653663.34
Ashdod	Ashdod-Legacy	2022	Q2	5677073.026
Ashdod	Ashdod-Legacy	2022	Q3	4911781.522
Ashdod	Ashdod-Legacy	2022	Q4	4286928.0494
Ashdod	Ashdod-Legacy	2023	Q1	4212543.896116
Ashdod	Ashdod-Legacy	2023	Q2	3417397.671070001
Ashdod	Ashdod-Legacy	2023	Q3	3696092.8959373804
Ashdod	Ashdod-Legacy	2023	Q4	3392096.1571390005
Ashdod	Ashdod-Legacy	2024	Q1	3809156.0932130003
Ashdod	Ashdod-Legacy	2024	Q2	3138286.4290029984
Ashdod	Ashdod-Legacy	2024	Q3	3437041.9398429994
Ashdod	Ashdod-Legacy	2024	Q4	3463331.074048999
Ashdod	Ashdod-Legacy	2025	Q1	3781092.8770000003
Ashdod	Ashdod-Legacy	2025	Q2	3575198.438
Ashdod	Ashdod-Legacy	2025	Q3	1960303.42
Haifa	Haifa-Bayport	2021	Q3	15200.199999999999
Haifa	Haifa-Bayport	2021	Q4	60014.8
Haifa	Haifa-Bayport	2022	Q1	264238.002
Haifa	Haifa-Bayport	2022	Q2	737784.772
Haifa	Haifa-Bayport	2022	Q3	1187349.476
Haifa	Haifa-Bayport	2022	Q4	1715491.6290000002
Haifa	Haifa-Bayport	2023	Q1	2404611.824
Haifa	Haifa-Bayport	2023	Q2	2521923.344
Haifa	Haifa-Bayport	2023	Q3	2239471.316
Haifa	Haifa-Bayport	2023	Q4	1423290.503
Haifa	Haifa-Bayport	2024	Q1	1530232.952
Haifa	Haifa-Bayport	2024	Q2	1271937.673
Haifa	Haifa-Bayport	2024	Q3	1158368.501
Haifa	Haifa-Bayport	2024	Q4	1289047.998
Haifa	Haifa-Bayport	2025	Q1	1503544.3669999999
Haifa	Haifa-Bayport	2025	Q2	1352446.951
Haifa	Haifa-Bayport	2025	Q3	958072.726
Haifa	Haifa-Legacy	2008	Q1	4573254.0
Haifa	Haifa-Legacy	2008	Q2	5271534.0
Haifa	Haifa-Legacy	2008	Q3	4966495.0
Haifa	Haifa-Legacy	2008	Q4	5001509.0
Haifa	Haifa-Legacy	2010	Q1	5245232.0
Haifa	Haifa-Legacy	2010	Q2	5716708.0
Haifa	Haifa-Legacy	2010	Q3	5701966.0
Haifa	Haifa-Legacy	2010	Q4	5173572.4
Haifa	Haifa-Legacy	2011	Q1	5343232.100000001
Haifa	Haifa-Legacy	2011	Q2	6067298.5
Haifa	Haifa-Legacy	2011	Q3	5644521.2
Haifa	Haifa-Legacy	2011	Q4	5497189.1
Haifa	Haifa-Legacy	2012	Q1	5951113.9
Haifa	Haifa-Legacy	2012	Q2	6251090.699999999
Haifa	Haifa-Legacy	2012	Q3	5899242.699999999
Haifa	Haifa-Legacy	2012	Q4	5886668.9
Haifa	Haifa-Legacy	2013	Q1	6513654.3
Haifa	Haifa-Legacy	2013	Q2	7021267.899999999
Haifa	Haifa-Legacy	2013	Q3	6546669.6
Haifa	Haifa-Legacy	2013	Q4	5706245.9
Haifa	Haifa-Legacy	2014	Q1	6308428.294
Haifa	Haifa-Legacy	2014	Q2	7232734.639
Haifa	Haifa-Legacy	2014	Q3	7120144.474
Haifa	Haifa-Legacy	2014	Q4	6838849.494
Haifa	Haifa-Legacy	2015	Q1	7095296.950999999
Haifa	Haifa-Legacy	2015	Q2	6731470.300000001
Haifa	Haifa-Legacy	2015	Q3	6390450.5
