port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	L_hours_port_m	LP_raw
Ashdod	2018	1	24217	Q1	121784.0	2003195.046	port_row	3074.5066815014848	39.61090757510562
Ashdod	2018	2	24218	Q1	108885.0	1853087.047	port_row	2844.120705460928	38.28424011362546
Ashdod	2018	3	24219	Q1	122666.0	1899461.314	port_row	2915.295998164419	42.076687951149786
Ashdod	2018	4	24220	Q2	117145.0	1925889.287	port_row	2955.8576897127723	39.631474954866064
Ashdod	2018	5	24221	Q2	109438.0	1982586.069	port_row	3042.8759935103512	35.965317099153
Ashdod	2018	6	24222	Q2	132217.0	1971086.063	port_row	3025.2257675101887	43.70483731163536
Ashdod	2018	7	24223	Q3	142318.0	2204184.377	port_row	3382.9854001883778	42.06875973868382
Ashdod	2018	8	24224	Q3	136641.0	2189938.196	port_row	3361.1203407884755	40.653409026094494
Ashdod	2018	9	24225	Q3	95956.0	1524789.63	port_row	2340.2493504964345	41.002468382117044
Ashdod	2018	10	24226	Q4	137108.0	2025302.49	port_row	3108.4372188321563	44.108338160843296
Ashdod	2018	11	24227	Q4	130572.0	2055397.323	port_row	3154.6268124625567	41.39063279503201
Ashdod	2018	12	24228	Q4	122481.0	1840130.271	port_row	2824.234626737709	43.367855786641414
Ashdod	2019	1	24229	Q1	122983.0	1957516.591	port_row	3037.889184246873	40.48304350196002
Ashdod	2019	2	24230	Q1	134800.0	1858875.069	port_row	2884.8064394164103	46.727571790663966
Ashdod	2019	3	24231	Q1	117963.0	1896987.78	port_row	2943.9539291805095	40.06958085544384
Ashdod	2019	4	24232	Q2	134523.0	2000467.108	port_row	3104.5445125603133	43.33099411387053
Ashdod	2019	5	24233	Q2	129557.0	2054487.8950000005	port_row	3188.37990139243	40.6341163872661
Ashdod	2019	6	24234	Q2	138893.0	1958733.971	port_row	3039.7784482010698	45.691816810595654
Ashdod	2019	7	24235	Q3	149568.0	2197893.836	port_row	3410.932986829162	43.84958619167711
Ashdod	2019	8	24236	Q3	132240.0	2181836.7509999997	port_row	3386.0138392335266	39.05477244887293
Ashdod	2019	9	24237	Q3	127738.0	1892738.77	port_row	2937.359848914675	43.48735142110624
Ashdod	2019	10	24238	Q4	113143.0	1792693.28	port_row	2782.098272383966	40.668225534336834
Ashdod	2019	11	24239	Q4	119108.0	1982382.752	port_row	3076.479223229404	38.71568483240768
Ashdod	2019	12	24240	Q4	117080.0	1815306.523	port_row	2817.1919858402352	41.55911297081181
Ashdod	2020	1	24241	Q1	118457.0	1835242.1	port_row	3110.1879224760405	38.08676612238132
Ashdod	2020	2	24242	Q1	125794.0	1933438.078	port_row	3276.6008141655475	38.39161592591986
Ashdod	2020	3	24243	Q1	119175.0	1856792.117	port_row	3146.708773105259	37.872904228882554
Ashdod	2020	4	24244	Q2	114099.0	1850266.505	port_row	3135.649807299514	36.387673054046935
Ashdod	2020	5	24245	Q2	121426.0	1997070.614	port_row	3384.4389816442263	35.877733550099016
Ashdod	2020	6	24246	Q2	136483.0	2044783.716	port_row	3465.2984571239285	39.38564071427081
Ashdod	2020	7	24247	Q3	143321.0	2081313.428	port_row	3527.2054224632298	40.63301759723185
Ashdod	2020	8	24248	Q3	145353.0	2099862.499	port_row	3558.640564778977	40.845091644996664
Ashdod	2020	9	24249	Q3	136085.0	1946341.8	port_row	3298.468773885623	41.25702237274503
Ashdod	2020	10	24250	Q4	144608.0	2106747.689	port_row	3570.3089080356804	40.50293790392516
Ashdod	2020	11	24251	Q4	138073.0	2089987.8	port_row	3541.9058955122437	38.98268448491102
Ashdod	2020	12	24252	Q4	141625.0	2131800.0379999997	port_row	3612.7651666892143	39.20127477584905
Ashdod	2021	1	24253	Q1	133397.0	1978636.9	port_row	3504.453737287137	38.06499100863152
Ashdod	2021	2	24254	Q1	119323.0	1874818.0	port_row	3320.575365208844	35.9344351133242
Ashdod	2021	3	24255	Q1	136831.0	2055116.9	port_row	3639.9109410963456	37.59185381573823
Ashdod	2021	4	24256	Q2	130945.0	1879225.8	port_row	3328.3822201114367	39.34193591372323
Ashdod	2021	5	24257	Q2	139946.0	1939299.0	port_row	3434.7805947959464	40.74379604101435
Ashdod	2021	6	24258	Q2	145913.0	2051865.6	port_row	3634.152415903552	40.15048993582784
Ashdod	2021	7	24259	Q3	150512.0	1922524.0	port_row	3405.069629917554	44.20232663601781
Ashdod	2021	8	24260	Q3	152686.0	2207186.2	port_row	4046.1014592692086	37.736572238002545
Ashdod	2021	9	24261	Q3	105359.0	1624674.2	port_row	2991.5643651133896	35.21869735736291
Ashdod	2021	10	24262	Q4	136624.0	1923009.5	port_row	3545.1515990583703	38.5382673159277
