port	year	quarter	TEU_port_q	tons_port_q	L_hours_port_q	LP_raw
Ashdod	2021	Q3	417261.5249293955	0.0	10442.735454300153	39.95710958641338
Ashdod	2021	Q4	413060.8564675369	0.0	11165.494617332037	36.99440737953054
Ashdod	2022	Q1	380818.0	0.0	10857.280327026961	35.07489799743239
Ashdod	2022	Q2	400765.0	0.0	11373.725854711738	35.236034798040876
Ashdod	2022	Q3	434678.0	0.0	11380.413989039951	38.19527131601909
Ashdod	2022	Q4	381013.25	0.0	10681.365302194321	35.67083787703869
Ashdod	2023	Q1	391116.0	0.0	12421.721435293388	31.486457174022295
Ashdod	2023	Q2	441149.75	0.0	13149.466703762628	33.54887007499461
Ashdod	2023	Q3	437282.25	0.0	13150.329383123051	33.252570126585724
Ashdod	2023	Q4	327465.25	0.0	10300.062834963795	31.79254876857759
Ashdod	2024	Q1	382997.75	0.0	10067.680446021333	38.04230299655147
Ashdod	2024	Q2	447246.0	0.0	10029.581545845267	44.592687935746504
Ashdod	2024	Q3	528094.5	0.0	11008.309153618187	47.972353667631786
Ashdod	2024	Q4	489763.75	0.0	10655.809786353002	45.96213331691085
