port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Haifa	Haifa-Bayport	2021	Q3	7128.162716288311	15200.2	154.43177391928126	46.15735826497774
Haifa	Haifa-Bayport	2021	Q4	25856.0489929849	60014.8	609.7414524421312	42.4049388301
Haifa	Haifa-Bayport	2022	Q1	51468.75	264238.002	705.8111828368443	72.92141475165256
Haifa	Haifa-Bayport	2022	Q2	102593.0	737784.772	1970.7110206060802	52.05887566836062
Haifa	Haifa-Bayport	2022	Q3	123998.25	1187349.476	3171.5519030312194	39.09702687869883
Haifa	Haifa-Bayport	2022	Q4	172148.25	1715491.6290000002	4582.282512911201	37.568231446871515
Haifa	Haifa-Bayport	2023	Q1	222086.0	2404611.824	5056.544863403369	43.92050421768083
Haifa	Haifa-Bayport	2023	Q2	231566.75	2521923.344	5303.233729337368	43.66519784315333
Haifa	Haifa-Bayport	2023	Q3	214054.5	2239471.316	4709.2786730216885	45.45377644059719
Haifa	Haifa-Bayport	2023	Q4	145084.0	1423290.503	2992.9705120153512	48.47491795109803
Haifa	Haifa-Bayport	2024	Q1	159882.75	1530232.952	3283.782564669854	48.68859214985032
Haifa	Haifa-Bayport	2024	Q2	132787.5	1271937.673	2729.4973281585335	48.64906758842135
Haifa	Haifa-Bayport	2024	Q3	129346.75	1158368.501	2485.7851100873127	52.03456625237276
Haifa	Haifa-Bayport	2024	Q4	141247.0	1289047.998	2766.2149970843	51.061468522468395
