port	year	quarter	TEU_port_q	tons_port_q	L_hours_port_q	LP_raw
Haifa	2021	Q3	356500.1379145693	4075407.7	7518.642044166941	47.415495487133434
Haifa	2021	Q4	377313.9363411509	4284794.3	8272.444549126665	45.610935691431685
Haifa	2022	Q1	405964.75	4512673.800000001	10066.810519845258	40.32704789662022
Haifa	2022	Q2	420786.0	4034782.6	9235.312852780497	45.5627228560333
Haifa	2022	Q3	364015.25	3205309.2	7617.922411293677	47.784058480346594
Haifa	2022	Q4	330042.25	2490091.1	6289.034239721235	52.47900351940671
Haifa	2023	Q1	392356.0	2632341.9	6163.7486579535835	63.65541844307868
Haifa	2023	Q2	423116.75	3230555.9000000004	8748.54349573387	48.36425059855143
Haifa	2023	Q3	391051.5	3092559.4000000004	8856.918634685655	44.15209353606973
Haifa	2023	Q4	338359.0	2706838.7	9233.470050629156	36.644836463940734
Haifa	2024	Q1	324755.75	2360186.0999999996	6098.182535813468	53.254514454556116
Haifa	2024	Q2	280715.5	2237309.7	6003.10742467889	46.761698590628775
Haifa	2024	Q3	302056.75	2585875.6	7326.5112979623245	41.227910217515
Haifa	2024	Q4	303506.0	2725344.7	7636.747034228245	39.742837970103295
