port	terminal	year	month	month_index	quarter	tons_source	tons_i_m
Ashdod	Ashdod-HCT	2021	8	24260	Q3	observed_entrant_terminal	9638.199999999999
Ashdod	Ashdod-HCT	2021	9	24261	Q3	observed_entrant_terminal	8030.799999999999
Ashdod	Ashdod-HCT	2021	10	24262	Q4	observed_entrant_terminal	9805.0
Ashdod	Ashdod-HCT	2021	11	24263	Q4	observed_entrant_terminal	8845.2
Ashdod	Ashdod-HCT	2021	12	24264	Q4	observed_entrant_terminal	12496.4
Ashdod	Ashdod-HCT	2022	1	24265	Q1	observed_entrant_terminal	12510.18
Ashdod	Ashdod-HCT	2022	2	24266	Q1	observed_entrant_terminal	16968.18
Ashdod	Ashdod-HCT	2022	3	24267	Q1	observed_entrant_terminal	14723.4
Ashdod	Ashdod-HCT	2022	4	24268	Q2	observed_entrant_terminal	23690.2
Ashdod	Ashdod-HCT	2022	5	24269	Q2	observed_entrant_terminal	56551.6
Ashdod	Ashdod-HCT	2022	6	24270	Q2	observed_entrant_terminal	65319.074
Ashdod	Ashdod-HCT	2022	7	24271	Q3	observed_entrant_terminal	114924.8
Ashdod	Ashdod-HCT	2022	8	24272	Q3	observed_entrant_terminal	140682.368
Ashdod	Ashdod-HCT	2022	9	24273	Q3	observed_entrant_terminal	200778.11
Ashdod	Ashdod-HCT	2022	10	24274	Q4	observed_entrant_terminal	130114.56559999999
Ashdod	Ashdod-HCT	2022	11	24275	Q4	observed_entrant_terminal	241208.515
Ashdod	Ashdod-HCT	2022	12	24276	Q4	observed_entrant_terminal	187668.07
Ashdod	Ashdod-HCT	2023	1	24277	Q1	observed_entrant_terminal	258278.23665
Ashdod	Ashdod-HCT	2023	2	24278	Q1	observed_entrant_terminal	283199.840693
Ashdod	Ashdod-HCT	2023	3	24279	Q1	observed_entrant_terminal	278018.026541
Ashdod	Ashdod-HCT	2023	4	24280	Q2	observed_entrant_terminal	391020.456997
Ashdod	Ashdod-HCT	2023	5	24281	Q2	observed_entrant_terminal	534109.988779999
Ashdod	Ashdod-HCT	2023	6	24282	Q2	observed_entrant_terminal	515324.783153
Ashdod	Ashdod-HCT	2023	7	24283	Q3	observed_entrant_terminal	354185.78699562
Ashdod	Ashdod-HCT	2023	8	24284	Q3	observed_entrant_terminal	448523.403704
Ashdod	Ashdod-HCT	2023	9	24285	Q3	observed_entrant_terminal	484714.013363
Ashdod	Ashdod-HCT	2023	10	24286	Q4	observed_entrant_terminal	339460.035671
Ashdod	Ashdod-HCT	2023	11	24287	Q4	observed_entrant_terminal	250565.69282
Ashdod	Ashdod-HCT	2023	12	24288	Q4	observed_entrant_terminal	145001.31436999998
Ashdod	Ashdod-HCT	2024	1	24289	Q1	observed_entrant_terminal	172316.843482
Ashdod	Ashdod-HCT	2024	2	24290	Q1	observed_entrant_terminal	301566.288237
Ashdod	Ashdod-HCT	2024	3	24291	Q1	observed_entrant_terminal	404137.175067999
Ashdod	Ashdod-HCT	2024	4	24292	Q2	observed_entrant_terminal	447052.43409
Ashdod	Ashdod-HCT	2024	5	24293	Q2	observed_entrant_terminal	612965.040907001
Ashdod	Ashdod-HCT	2024	6	24294	Q2	observed_entrant_terminal	557492.796
Ashdod	Ashdod-HCT	2024	7	24295	Q3	observed_entrant_terminal	618378.3988699999
Ashdod	Ashdod-HCT	2024	8	24296	Q3	observed_entrant_terminal	604186.649428001
Ashdod	Ashdod-HCT	2024	9	24297	Q3	observed_entrant_terminal	561265.311859
Ashdod	Ashdod-HCT	2024	10	24298	Q4	observed_entrant_terminal	486900.45149899996
Ashdod	Ashdod-HCT	2024	11	24299	Q4	observed_entrant_terminal	560874.9182579999
Ashdod	Ashdod-HCT	2024	12	24300	Q4	observed_entrant_terminal	524650.456194001
Ashdod	Ashdod-HCT	2025	1	24301	Q1	observed_entrant_terminal	445801.58999999997
Ashdod	Ashdod-HCT	2025	2	24302	Q1	observed_entrant_terminal	500210.11199999996
Ashdod	Ashdod-HCT	2025	3	24303	Q1	observed_entrant_terminal	525431.921
Ashdod	Ashdod-HCT	2025	4	24304	Q2	observed_entrant_terminal	598791.196
Ashdod	Ashdod-HCT	2025	5	24305	Q2	observed_entrant_terminal	542021.422
Ashdod	Ashdod-HCT	2025	6	24306	Q2	observed_entrant_terminal	501414.744
Ashdod	Ashdod-HCT	2025	7	24307	Q3	observed_entrant_terminal	914638.2710000001
Ashdod	Ashdod-HCT	2025	8	24308	Q3	observed_entrant_terminal	604286.0090000001
Ashdod	Ashdod-Legacy	2008	1	24097	Q1	full_port_pre_entry	789324.0
Ashdod	Ashdod-Legacy	2008	2	24098	Q1	full_port_pre_entry	967407.0
Ashdod	Ashdod-Legacy	2008	3	24099	Q1	full_port_pre_entry	1331155.0
Ashdod	Ashdod-Legacy	2008	4	24100	Q2	full_port_pre_entry	1169886.0
Ashdod	Ashdod-Legacy	2008	5	24101	Q2	full_port_pre_entry	1214213.0
Ashdod	Ashdod-Legacy	2008	6	24102	Q2	full_port_pre_entry	1225146.0
Ashdod	Ashdod-Legacy	2008	7	24103	Q3	full_port_pre_entry	1488748.0
Ashdod	Ashdod-Legacy	2008	8	24104	Q3	full_port_pre_entry	1447610.0
Ashdod	Ashdod-Legacy	2008	9	24105	Q3	full_port_pre_entry	1232531.0
Ashdod	Ashdod-Legacy	2008	10	24106	Q4	full_port_pre_entry	1254503.0
Ashdod	Ashdod-Legacy	2008	11	24107	Q4	full_port_pre_entry	1408462.0
Ashdod	Ashdod-Legacy	2008	12	24108	Q4	full_port_pre_entry	1386282.0
Ashdod	Ashdod-Legacy	2010	1	24121	Q1	full_port_pre_entry	1487386.0
Ashdod	Ashdod-Legacy	2010	2	24122	Q1	full_port_pre_entry	1507974.0
Ashdod	Ashdod-Legacy	2010	3	24123	Q1	full_port_pre_entry	1677514.0
Ashdod	Ashdod-Legacy	2010	4	24124	Q2	full_port_pre_entry	1634874.0
Ashdod	Ashdod-Legacy	2010	5	24125	Q2	full_port_pre_entry	1653914.0
Ashdod	Ashdod-Legacy	2010	6	24126	Q2	full_port_pre_entry	1640101.0
Ashdod	Ashdod-Legacy	2010	7	24127	Q3	full_port_pre_entry	1443589.0
Ashdod	Ashdod-Legacy	2010	8	24128	Q3	full_port_pre_entry	1589659.0
Ashdod	Ashdod-Legacy	2010	9	24129	Q3	full_port_pre_entry	1201755.0
Ashdod	Ashdod-Legacy	2010	10	24130	Q4	full_port_pre_entry	1581262.0
Ashdod	Ashdod-Legacy	2010	11	24131	Q4	full_port_pre_entry	1548865.0
Ashdod	Ashdod-Legacy	2010	12	24132	Q4	full_port_pre_entry	1568111.0
Ashdod	Ashdod-Legacy	2011	1	24133	Q1	full_port_pre_entry	1448705.2000000002
Ashdod	Ashdod-Legacy	2011	2	24134	Q1	full_port_pre_entry	1526429.2
Ashdod	Ashdod-Legacy	2011	3	24135	Q1	full_port_pre_entry	1992598.4000000001
Ashdod	Ashdod-Legacy	2011	4	24136	Q2	full_port_pre_entry	1612125.0999999999
Ashdod	Ashdod-Legacy	2011	5	24137	Q2	full_port_pre_entry	1639217.7999999998
Ashdod	Ashdod-Legacy	2011	6	24138	Q2	full_port_pre_entry	1607785.5999999999
Ashdod	Ashdod-Legacy	2011	7	24139	Q3	full_port_pre_entry	1577841.4
Ashdod	Ashdod-Legacy	2011	8	24140	Q3	full_port_pre_entry	1750676.8
Ashdod	Ashdod-Legacy	2011	9	24141	Q3	full_port_pre_entry	1464863.9000000001
Ashdod	Ashdod-Legacy	2011	10	24142	Q4	full_port_pre_entry	1552159.1
Ashdod	Ashdod-Legacy	2011	11	24143	Q4	full_port_pre_entry	1478645.5
Ashdod	Ashdod-Legacy	2011	12	24144	Q4	full_port_pre_entry	1564385.8
Ashdod	Ashdod-Legacy	2012	1	24145	Q1	full_port_pre_entry	1654667.0
Ashdod	Ashdod-Legacy	2012	2	24146	Q1	full_port_pre_entry	1303313.7
Ashdod	Ashdod-Legacy	2012	3	24147	Q1	full_port_pre_entry	1624453.2
Ashdod	Ashdod-Legacy	2012	4	24148	Q2	full_port_pre_entry	1735597.7
