port	year	quarter	TEU_port_q
Ashdod	2020	Q1	363440.231285615
Ashdod	2020	Q2	372009.518865418
Ashdod	2020	Q3	424749.74092526495
Ashdod	2020	Q4	424331.806131712
Ashdod	2021	Q1	389525.919054056
Ashdod	2021	Q2	416742.646700406
Ashdod	2021	Q3	417261.5249293955
Ashdod	2021	Q4	413060.8564675369
Ashdod	2022	Q1	380818.0
Ashdod	2022	Q2	400765.0
Ashdod	2022	Q3	434678.0
Ashdod	2022	Q4	381013.25
Ashdod	2023	Q1	391116.0
Ashdod	2023	Q2	441149.75
Ashdod	2023	Q3	437282.25
Ashdod	2023	Q4	327465.25
Ashdod	2024	Q1	382997.75
Ashdod	2024	Q2	447246.0
Ashdod	2024	Q3	528094.5
Ashdod	2024	Q4	489763.75
Haifa	2020	Q1	373762.6354816
Haifa	2020	Q2	365659.492939106
Haifa	2020	Q3	351668.334019134
Haifa	2020	Q4	373374.707128551
Haifa	2021	Q1	376309.770020586
Haifa	2021	Q2	385966.177645203
Haifa	2021	Q3	356500.1379145693
Haifa	2021	Q4	377313.9363411509
Haifa	2022	Q1	405964.75
Haifa	2022	Q2	420786.0
Haifa	2022	Q3	364015.25
Haifa	2022	Q4	330042.25
Haifa	2023	Q1	392356.0
Haifa	2023	Q2	423116.75
Haifa	2023	Q3	391051.5
Haifa	2023	Q4	338359.0
Haifa	2024	Q1	324755.75
Haifa	2024	Q2	280715.5
Haifa	2024	Q3	302056.75
Haifa	2024	Q4	303506.0
