port	year	month	date	L_hours_port
Ashdod	2018	1	2018-01-31	2944.6411283756097
Ashdod	2018	2	2018-02-28	2944.6411283756097
Ashdod	2018	3	2018-03-31	2944.6411283756097
Ashdod	2018	4	2018-04-30	3007.98648357777
Ashdod	2018	5	2018-05-31	3007.98648357777
Ashdod	2018	6	2018-06-30	3007.98648357777
Ashdod	2018	7	2018-07-31	3028.1183638244293
Ashdod	2018	8	2018-08-31	3028.1183638244293
Ashdod	2018	9	2018-09-30	3028.1183638244293
Ashdod	2018	10	2018-10-31	3029.0995526774736
Ashdod	2018	11	2018-11-30	3029.0995526774736
Ashdod	2018	12	2018-12-31	3029.0995526774736
Ashdod	2019	1	2019-01-31	2955.5498509479307
Ashdod	2019	2	2019-02-28	2955.5498509479307
Ashdod	2019	3	2019-03-31	2955.5498509479307
Ashdod	2019	4	2019-04-30	3110.9009540512707
Ashdod	2019	5	2019-05-31	3110.9009540512707
Ashdod	2019	6	2019-06-30	3110.9009540512707
Ashdod	2019	7	2019-07-31	3244.768891659122
Ashdod	2019	8	2019-08-31	3244.768891659122
Ashdod	2019	9	2019-09-30	3244.768891659122
Ashdod	2019	10	2019-10-31	2891.923160484535
Ashdod	2019	11	2019-11-30	2891.923160484535
Ashdod	2019	12	2019-12-31	2891.923160484535
Ashdod	2020	1	2020-01-31	3177.832503248949
Ashdod	2020	2	2020-02-29	3177.832503248949
Ashdod	2020	3	2020-03-31	3177.832503248949
Ashdod	2020	4	2020-04-30	3328.4624153558893
Ashdod	2020	5	2020-05-31	3328.4624153558893
Ashdod	2020	6	2020-06-30	3328.4624153558893
Ashdod	2020	7	2020-07-31	3461.4382537092774
Ashdod	2020	8	2020-08-31	3461.4382537092774
Ashdod	2020	9	2020-09-30	3461.4382537092774
Ashdod	2020	10	2020-10-31	3574.9933234123782
Ashdod	2020	11	2020-11-30	3574.9933234123782
Ashdod	2020	12	2020-12-31	3574.9933234123782
Ashdod	2021	1	2021-01-31	3533.370792343458
Ashdod	2021	2	2021-02-28	3533.370792343458
Ashdod	2021	3	2021-03-31	3533.370792343458
Ashdod	2021	4	2021-04-30	3510.538025282764
Ashdod	2021	5	2021-05-31	3510.538025282764
Ashdod	2021	6	2021-06-30	3510.538025282764
Ashdod	2021	7	2021-07-31	3458.7483112771297
Ashdod	2021	8	2021-08-31	3458.7483112771297
Ashdod	2021	9	2021-09-30	3458.7483112771297
Ashdod	2021	10	2021-10-31	3654.171319775131
Ashdod	2021	11	2021-11-30	3654.171319775131
Ashdod	2021	12	2021-12-31	3654.171319775131
Ashdod	2022	1	2022-01-31	3817.5627370158663
Ashdod	2022	2	2022-02-28	3817.5627370158663
Ashdod	2022	3	2022-03-31	3817.5627370158663
Ashdod	2022	4	2022-04-30	3916.0474346963283
Ashdod	2022	5	2022-05-31	3916.0474346963283
Ashdod	2022	6	2022-06-30	3916.0474346963283
Ashdod	2022	7	2022-07-31	3687.016001634623
Ashdod	2022	8	2022-08-31	3687.016001634623
Ashdod	2022	9	2022-09-30	3687.016001634623
Ashdod	2022	10	2022-10-31	3343.6356509775055
Ashdod	2022	11	2022-11-30	3343.6356509775055
Ashdod	2022	12	2022-12-31	3343.6356509775055
Ashdod	2023	1	2023-01-31	4253.721456777668
Ashdod	2023	2	2023-02-28	4253.721456777668
Ashdod	2023	3	2023-03-31	4253.721456777668
Ashdod	2023	4	2023-04-30	4226.800912396677
Ashdod	2023	5	2023-05-31	4226.800912396677
Ashdod	2023	6	2023-06-30	4226.800912396677
Ashdod	2023	7	2023-07-31	4334.829913587811
Ashdod	2023	8	2023-08-31	4334.829913587811
Ashdod	2023	9	2023-09-30	4334.829913587811
Ashdod	2023	10	2023-10-31	3525.1745029521317
Ashdod	2023	11	2023-11-30	3525.1745029521317
Ashdod	2023	12	2023-12-31	3525.1745029521317
Ashdod	2024	1	2024-01-31	3457.9511416800383
Ashdod	2024	2	2024-02-29	3457.9511416800383
Ashdod	2024	3	2024-03-31	3457.9511416800383
Ashdod	2024	4	2024-04-30	3299.6071285426274
Ashdod	2024	5	2024-05-31	3299.6071285426274
Ashdod	2024	6	2024-06-30	3299.6071285426274
Ashdod	2024	7	2024-07-31	3622.5789261983396
Ashdod	2024	8	2024-08-31	3622.5789261983396
Ashdod	2024	9	2024-09-30	3622.5789261983396
Ashdod	2024	10	2024-10-31	3540.3231141915917
Ashdod	2024	11	2024-11-30	3540.3231141915917
Ashdod	2024	12	2024-12-31	3540.3231141915917
Haifa	2018	1	2018-01-31	2328.0509464562333
Haifa	2018	2	2018-02-28	2328.0509464562333
Haifa	2018	3	2018-03-31	2328.0509464562333
Haifa	2018	4	2018-04-30	2443.263640406322
Haifa	2018	5	2018-05-31	2443.263640406322
Haifa	2018	6	2018-06-30	2443.263640406322
Haifa	2018	7	2018-07-31	2083.374379524898
Haifa	2018	8	2018-08-31	2083.374379524898
Haifa	2018	9	2018-09-30	2083.374379524898
Haifa	2018	10	2018-10-31	2214.1381941063732
Haifa	2018	11	2018-11-30	2214.1381941063732
Haifa	2018	12	2018-12-31	2214.1381941063732
Haifa	2019	1	2019-01-31	2148.707040602077
Haifa	2019	2	2019-02-28	2148.707040602077
Haifa	2019	3	2019-03-31	2148.707040602077
Haifa	2019	4	2019-04-30	2098.7219331547817
Haifa	2019	5	2019-05-31	2098.7219331547817
Haifa	2019	6	2019-06-30	2098.7219331547817
Haifa	2019	7	2019-07-31	1938.2624355949836
Haifa	2019	8	2019-08-31	1938.2624355949836
Haifa	2019	9	2019-09-30	1938.2624355949836
Haifa	2019	10	2019-10-31	2023.56454302911
Haifa	2019	11	2019-11-30	2023.56454302911
Haifa	2019	12	2019-12-31	2023.56454302911
Haifa	2020	1	2020-01-31	2623.634884949111
Haifa	2020	2	2020-02-29	2623.634884949111
Haifa	2020	3	2020-03-31	2623.634884949111
Haifa	2020	4	2020-04-30	2304.6957395468435
Haifa	2020	5	2020-05-31	2304.6957395468435
Haifa	2020	6	2020-06-30	2304.6957395468435
Haifa	2020	7	2020-07-31	2226.396076742002
Haifa	2020	8	2020-08-31	2226.396076742002
Haifa	2020	9	2020-09-30	2226.396076742002
Haifa	2020	10	2020-10-31	2232.6707346594794
Haifa	2020	11	2020-11-30	2232.6707346594794
Haifa	2020	12	2020-12-31	2232.6707346594794
Haifa	2021	1	2021-01-31	2711.6076441931177
Haifa	2021	2	2021-02-28	2711.6076441931177
Haifa	2021	3	2021-03-31	2711.6076441931177
Haifa	2021	4	2021-04-30	2752.095288583881
