port	terminal	year	month	date	L_hours
Ashdod	Ashdod-HCT	2018	1	2018-01-31	0.0
Ashdod	Ashdod-HCT	2018	2	2018-02-28	0.0
Ashdod	Ashdod-HCT	2018	3	2018-03-31	0.0
Ashdod	Ashdod-HCT	2018	4	2018-04-30	0.0
Ashdod	Ashdod-HCT	2018	5	2018-05-31	0.0
Ashdod	Ashdod-HCT	2018	6	2018-06-30	0.0
Ashdod	Ashdod-HCT	2018	7	2018-07-31	0.0
Ashdod	Ashdod-HCT	2018	8	2018-08-31	0.0
Ashdod	Ashdod-HCT	2018	9	2018-09-30	0.0
Ashdod	Ashdod-HCT	2018	10	2018-10-31	0.0
Ashdod	Ashdod-HCT	2018	11	2018-11-30	0.0
Ashdod	Ashdod-HCT	2018	12	2018-12-31	0.0
Ashdod	Ashdod-HCT	2019	1	2019-01-31	0.0
Ashdod	Ashdod-HCT	2019	2	2019-02-28	0.0
Ashdod	Ashdod-HCT	2019	3	2019-03-31	0.0
Ashdod	Ashdod-HCT	2019	4	2019-04-30	0.0
Ashdod	Ashdod-HCT	2019	5	2019-05-31	0.0
Ashdod	Ashdod-HCT	2019	6	2019-06-30	0.0
Ashdod	Ashdod-HCT	2019	7	2019-07-31	0.0
Ashdod	Ashdod-HCT	2019	8	2019-08-31	0.0
Ashdod	Ashdod-HCT	2019	9	2019-09-30	0.0
Ashdod	Ashdod-HCT	2019	10	2019-10-31	0.0
Ashdod	Ashdod-HCT	2019	11	2019-11-30	0.0
Ashdod	Ashdod-HCT	2019	12	2019-12-31	0.0
Ashdod	Ashdod-HCT	2020	1	2020-01-31	0.0
Ashdod	Ashdod-HCT	2020	2	2020-02-29	0.0
Ashdod	Ashdod-HCT	2020	3	2020-03-31	0.0
Ashdod	Ashdod-HCT	2020	4	2020-04-30	0.0
Ashdod	Ashdod-HCT	2020	5	2020-05-31	0.0
Ashdod	Ashdod-HCT	2020	6	2020-06-30	0.0
Ashdod	Ashdod-HCT	2020	7	2020-07-31	0.0
Ashdod	Ashdod-HCT	2020	8	2020-08-31	0.0
Ashdod	Ashdod-HCT	2020	9	2020-09-30	0.0
Ashdod	Ashdod-HCT	2020	10	2020-10-31	0.0
