port	terminal	year	month	month_index	quarter	tons_port_m	tons_i_m	tons_i_q	w_month_in_q	TEU_i_q	TEU_i_m	TEU_port_m	share_i_p_q	teu_month_source	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	anchor_mode	kpi_backfill_source	quarter_index	tons_port_q	activity_i_q_raw	activity_i_y	w_i_q_in_year	L_hours_i_q	active_months_in_q	is_active_month	L_hours_i_m	w_i_m_in_year	labor_weight_source
Ashdod	Ashdod-HCT	2018	1	201801	Q1	2003195.046	0.0	0.0	0.0	0.0	0.0	121784.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20181	11511486.814	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	2	201802	Q1	1853087.047	0.0	0.0	0.0	0.0	0.0	108885.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20181	11511486.814	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	3	201803	Q1	1899461.314	0.0	0.0	0.0	0.0	0.0	122666.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20181	11511486.814	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	4	201804	Q2	1925889.287	0.0	0.0	0.0	0.0	0.0	117145.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20182	11759122.838	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	5	201805	Q2	1982586.069	0.0	0.0	0.0	0.0	0.0	109438.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20182	11759122.838	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	6	201806	Q2	1971086.063	0.0	0.0	0.0	0.0	0.0	132217.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20182	11759122.838	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	7	201807	Q3	2204184.377	0.0	0.0	0.0	0.0	0.0	142318.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20183	11837824.406	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	8	201808	Q3	2189938.196	0.0	0.0	0.0	0.0	0.0	136641.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20183	11837824.406	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	9	201809	Q3	1524789.63	0.0	0.0	0.0	0.0	0.0	95956.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20183	11837824.406	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
Ashdod	Ashdod-HCT	2018	10	201810	Q4	2025302.49	0.0	0.0	0.0	0.0	0.0	137108.0	0.0	quarter_benchmarked_by_tons	0.0			work_only		20184	11841660.168	0.0	0.0	0.0		0	0.0	0.0	0.0	quarter_flat_with_first_supported_quarter
