port	year	month	date	L_hours_port
Ashdod	2018	1	2018-01-31	3074.5066815014848
Ashdod	2018	2	2018-02-28	2844.120705460928
Ashdod	2018	3	2018-03-31	2915.295998164419
Ashdod	2018	4	2018-04-30	2955.8576897127723
Ashdod	2018	5	2018-05-31	3042.8759935103512
Ashdod	2018	6	2018-06-30	3025.2257675101887
Ashdod	2018	7	2018-07-31	3382.9854001883778
Ashdod	2018	8	2018-08-31	3361.1203407884755
Ashdod	2018	9	2018-09-30	2340.2493504964345
Ashdod	2018	10	2018-10-31	3108.4372188321563
Ashdod	2018	11	2018-11-30	3154.6268124625567
Ashdod	2018	12	2018-12-31	2824.234626737709
Ashdod	2019	1	2019-01-31	3037.889184246873
Ashdod	2019	2	2019-02-28	2884.8064394164103
Ashdod	2019	3	2019-03-31	2943.9539291805095
Ashdod	2019	4	2019-04-30	3104.5445125603133
Ashdod	2019	5	2019-05-31	3188.37990139243
Ashdod	2019	6	2019-06-30	3039.7784482010698
Ashdod	2019	7	2019-07-31	3410.932986829162
Ashdod	2019	8	2019-08-31	3386.0138392335266
Ashdod	2019	9	2019-09-30	2937.359848914675
Ashdod	2019	10	2019-10-31	2782.098272383966
Ashdod	2019	11	2019-11-30	3076.479223229404
Ashdod	2019	12	2019-12-31	2817.1919858402352
Ashdod	2020	1	2020-01-31	3110.1879224760405
Ashdod	2020	2	2020-02-29	3276.6008141655475
Ashdod	2020	3	2020-03-31	3146.708773105259
Ashdod	2020	4	2020-04-30	3135.649807299514
Ashdod	2020	5	2020-05-31	3384.4389816442263
Ashdod	2020	6	2020-06-30	3465.2984571239285
Ashdod	2020	7	2020-07-31	3527.2054224632298
Ashdod	2020	8	2020-08-31	3558.640564778977
Ashdod	2020	9	2020-09-30	3298.468773885623
Ashdod	2020	10	2020-10-31	3570.3089080356804
Ashdod	2020	11	2020-11-30	3541.9058955122437
Ashdod	2020	12	2020-12-31	3612.7651666892143
Ashdod	2021	1	2021-01-31	3504.453737287137
Ashdod	2021	2	2021-02-28	3320.575365208844
Ashdod	2021	3	2021-03-31	3639.9109410963456
Ashdod	2021	4	2021-04-30	3328.3822201114367
Ashdod	2021	5	2021-05-31	3434.7805947959464
Ashdod	2021	6	2021-06-30	3634.152415903552
